Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2000-01-03,74.35,74.75,71.4,74.75,74.75,286260.0,209.54
2000-01-04,73.05,78.5,71.0,73.25,73.05,296264.0,217.39
2000-01-05,70.0,73.5,67.5,70.0,69.5,227624.0,161.28
2000-01-06,71.0,74.0,69.55,69.75,70.05,275149.0,198.21
2000-01-07,69.0,72.5,66.0,67.0,67.4,138809.0,95.39
2000-01-10,67.0,71.0,67.0,70.0,69.9,249656.0,174.21
2000-01-11,69.15,70.45,66.1,69.0,69.35,307601.0,211.91
2000-01-12,69.0,74.9,69.0,74.9,74.9,88395.0,65.72
2000-01-13,80.0,80.9,78.0,79.0,79.35,494679.0,397.89
2000-01-14,78.0,80.8,75.0,80.05,79.0,703072.0,549.44
2000-01-17,81.8,85.35,81.8,85.35,85.35,242095.0,206.55
2000-01-18,88.1,88.1,82.0,85.05,84.8,332383.0,281.49
2000-01-19,88.7,91.6,87.0,91.6,91.6,319504.0,291.68
2000-01-20,98.9,98.95,95.0,96.15,96.35,562692.0,546.9
2000-01-21,103.75,103.75,90.65,100.0,99.35,497788.0,484.33
2000-01-24,101.0,107.3,101.0,107.3,107.3,238959.0,254.71
2000-01-25,112.0,115.9,105.9,115.9,115.9,377898.0,431.74
2000-01-27,125.2,125.2,125.15,125.2,125.2,55421.0,69.39
2000-01-28,130.0,135.25,125.2,135.25,135.25,140552.0,188.18
2000-01-31,145.0,146.1,142.8,146.1,146.1,48483.0,70.81
2000-02-01,157.8,157.8,154.1,157.8,157.8,294448.0,462.82
2000-02-02,170.4,170.45,170.4,170.45,170.45,77058.0,131.34
2000-02-03,180.9,184.1,156.85,156.85,156.85,1096584.0,1801.61
2000-02-04,160.0,160.0,144.3,144.3,144.4,916856.0,1335.09
2000-02-07,153.5,155.95,141.0,154.2,155.6,346954.0,537.69
2000-02-08,160.0,162.0,145.0,151.75,151.55,518908.0,784.86
2000-02-09,163.0,163.0,147.0,158.0,156.55,574437.0,879.57
2000-02-10,160.0,169.1,160.0,169.1,169.1,477509.0,803.76
2000-02-11,178.85,178.85,158.9,158.9,160.3,358089.0,591.7
2000-02-14,161.7,173.0,161.7,172.9,171.7,680012.0,1149.65
2000-02-15,171.9,178.0,162.0,166.05,164.2,333939.0,554.66
2000-02-16,173.7,177.35,168.0,177.35,177.05,365906.0,628.52
2000-02-17,179.95,187.45,175.0,179.65,179.75,524041.0,956.62
2000-02-18,179.0,180.0,172.2,174.0,174.35,206088.0,360.19
2000-02-21,177.0,177.0,168.25,170.0,170.2,216847.0,369.82
2000-02-22,171.0,172.0,157.55,159.0,158.9,302490.0,492.81
2000-02-23,163.0,169.8,156.0,156.05,156.9,138078.0,222.33
2000-02-24,163.0,163.0,144.5,148.75,148.8,158543.0,240.82
2000-02-25,154.0,160.7,147.5,160.7,160.3,168818.0,264.31
2000-02-28,167.0,173.15,155.0,173.15,173.15,207492.0,353.98
2000-02-29,186.2,187.0,165.65,168.0,171.3,485692.0,890.05
2000-03-01,170.0,185.0,170.0,185.0,185.0,134657.0,244.87
2000-03-02,199.8,199.8,199.8,199.8,199.8,60344.0,120.57
2000-03-03,215.8,215.8,215.8,215.8,215.8,54422.0,117.44
2000-03-06,233.1,233.1,199.8,233.1,233.1,253604.0,585.1
2000-03-07,245.0,250.0,214.45,235.0,238.15,505774.0,1156.6
2000-03-08,249.5,249.5,219.1,219.1,219.35,188461.0,430.61
2000-03-09,213.0,221.05,201.8,201.8,201.8,105191.0,215.89
2000-03-10,199.9,217.95,185.7,215.2,211.65,370944.0,751.51
