Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2000-01-03,237.5,251.7,237.5,251.7,251.7,4456424.0,11113.19
2000-01-04,258.4,271.85,251.3,271.85,271.85,9487878.0,25002.22
2000-01-05,256.65,287.9,256.65,286.75,282.5,26833684.0,73736.97
2000-01-06,289.0,300.7,289.0,293.5,294.35,15682286.0,46332.54
2000-01-07,295.0,317.9,293.0,314.5,314.55,19870977.0,61383.88
2000-01-10,317.4,318.7,305.3,306.65,308.5,13417057.0,41908.55
2000-01-11,307.95,310.95,283.85,288.5,288.5,12544322.0,37181.92
2000-01-12,289.0,305.0,282.15,304.7,301.7,12109507.0,35670.81
2000-01-13,306.0,316.4,304.1,309.75,311.85,17076042.0,53241.81
2000-01-14,309.5,321.65,309.5,317.0,316.3,13460592.0,42558.79
2000-01-17,318.25,322.9,307.05,307.5,308.75,10729180.0,33879.84
2000-01-18,309.0,318.95,305.55,318.25,314.2,10083321.0,31473.65
2000-01-19,322.85,324.9,316.2,318.8,319.6,11481392.0,36874.9
2000-01-20,320.0,324.9,310.55,311.5,312.85,15428711.0,49209.49
2000-01-21,312.7,328.4,312.0,327.5,326.35,17137072.0,55190.48
2000-01-24,325.5,331.85,322.0,326.5,326.15,13163301.0,43158.81
2000-01-25,325.05,325.3,318.25,321.05,319.95,9752949.0,31382.18
2000-01-27,329.0,336.8,322.7,334.5,334.95,15014556.0,49798.63
2000-01-28,335.9,341.9,331.6,337.25,338.35,11734252.0,39658.18
2000-01-31,334.45,336.0,326.55,327.05,328.15,10191331.0,33780.08
2000-02-01,330.8,337.45,328.0,336.05,334.05,10707804.0,35801.37
2000-02-02,342.9,346.9,338.55,339.1,340.15,9950848.0,34138.84
2000-02-03,342.0,343.5,336.4,342.5,341.65,6771527.0,23034.47
2000-02-04,344.0,347.35,341.7,342.75,344.15,7106910.0,24509.31
2000-02-07,341.1,349.45,338.05,343.0,343.6,8193641.0,28341.54
2000-02-08,345.5,346.9,341.05,342.1,342.4,6430661.0,22121.47
2000-02-09,349.0,354.65,344.8,346.7,350.4,11436821.0,40030.89
2000-02-10,348.8,363.8,344.9,363.0,355.75,10792579.0,38088.65
2000-02-11,364.0,374.0,360.05,361.4,363.3,8155627.0,29889.97
2000-02-14,359.0,360.9,350.0,350.8,352.1,5127399.0,18223.1
2000-02-15,352.0,354.4,342.05,343.5,344.35,8124337.0,28351.27
2000-02-16,350.0,353.8,343.1,346.75,348.15,7876392.0,27481.57
2000-02-17,347.7,356.8,347.5,355.4,354.55,7670820.0,27124.54
2000-02-18,356.9,357.95,348.0,350.3,349.45,5030667.0,17763.89
2000-02-21,348.4,352.0,341.65,344.0,345.65,2944404.0,10236.2
2000-02-22,346.0,347.0,332.5,335.25,334.35,7192242.0,24352.71
2000-02-23,344.7,344.7,327.3,330.0,329.8,4831725.0,16273.21
2000-02-24,332.9,340.7,329.3,339.0,336.75,5663873.0,19037.05
2000-02-25,341.4,342.9,326.1,326.9,328.6,3912097.0,13081.48
2000-02-28,324.85,337.25,310.0,337.25,333.1,5026004.0,16432.7
2000-02-29,337.9,342.85,306.45,309.5,310.85,9970107.0,32954.22
2000-03-01,315.0,329.85,299.0,317.25,316.8,10765888.0,33790.65
2000-03-02,318.85,322.0,291.5,291.5,291.75,12536245.0,38196.42
2000-03-03,286.1,286.1,268.45,268.45,268.45,4636776.0,12629.36
2000-03-06,268.45,283.85,247.0,254.7,253.95,10430713.0,27840.24
2000-03-07,257.0,259.0,240.0,244.5,242.3,9560450.0,23628.7
2000-03-08,246.9,250.5,230.0,234.3,232.95,7256376.0,17471.86
2000-03-09,235.9,242.4,224.15,230.9,231.3,5545792.0,12894.48
2000-03-10,234.0,234.8,214.6,218.4,216.85,6597169.0,14722.15
2000-03-13,219.9,229.5,200.3,203.3,203.2,10765401.0,23400.23
2000-03-14,205.5,219.5,197.15,219.0,219.2,10106318.0,21454.37
2000-03-15,224.0,236.75,216.0,236.75,236.75,5711222.0,13263.09
2000-03-16,239.5,247.8,230.1,235.5,234.85,10564295.0,25200.35
2000-03-21,238.8,242.8,227.6,242.5,237.9,6838036.0,16008.24
2000-03-22,245.0,248.5,241.2,243.0,243.4,4931613.0,12061.67
2000-03-23,245.25,245.8,238.55,239.95,240.95,4286132.0,10343.19
2000-03-24,239.2,242.95,237.65,242.9,240.6,2637850.0,6342.81
2000-03-27,243.0,259.85,243.0,259.85,259.85,4141666.0,10577.83
2000-03-28,263.1,280.65,263.1,280.65,280.65,7026761.0,19123.42
2000-03-29,284.8,289.9,269.0,271.25,271.3,10277833.0,28623.65
2000-03-30,269.0,293.0,258.3,293.0,293.0,17168324.0,47796.04
2000-03-31,297.0,316.45,280.1,316.45,316.45,19704184.0,59887.83
2000-04-03,327.65,333.7,318.1,328.0,328.6,21353020.0,69567.7
2000-04-04,326.0,326.0,302.35,302.35,302.35,13530488.0,41977.03
2000-04-05,303.4,312.0,278.25,301.0,302.25,25186375.0,74730.67
2000-04-06,303.0,326.45,302.55,326.45,326.15,16239068.0,50826.74
2000-04-07,329.8,352.25,329.8,352.25,352.25,11686144.0,40592.25
2000-04-10,369.9,380.0,359.5,363.45,364.55,22110719.0,81658.06
2000-04-11,358.0,359.0,346.5,358.0,353.75,9759550.0,34487.98
2000-04-12,357.0,360.0,334.4,335.4,337.95,17263869.0,59870.45
2000-04-13,331.1,331.1,310.95,310.95,310.95,225213.0,701.04
2000-04-17,286.1,300.8,286.1,297.0,298.4,15931668.0,46685.48
2000-04-18,297.1,308.9,294.0,299.0,300.05,8775778.0,26568.85
2000-04-19,307.7,324.05,303.1,316.0,314.85,16293725.0,51250.24
2000-04-20,313.0,340.05,309.25,340.05,337.75,19387991.0,62636.33
2000-04-24,346.0,360.6,323.0,323.6,336.95,17618258.0,61479.74
2000-04-25,322.3,339.5,311.65,333.0,332.05,15809540.0,50664.36
2000-04-26,340.0,358.65,340.0,358.65,357.95,16998445.0,59932.13
2000-04-27,360.8,366.0,338.3,343.5,345.65,29547592.0,104172.66
2000-04-28,347.5,351.9,340.3,344.4,345.05,13426369.0,46481.58
2000-05-02,348.0,354.65,325.25,329.3,329.15,16424665.0,55360.63
