Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2000-01-03,236.0,243.65,234.25,243.65,243.65,2373228.0,5715.34
2000-01-04,243.65,262.0,238.85,258.0,259.1,4495741.0,11305.06
2000-01-05,249.0,264.7,245.0,249.05,248.45,3434058.0,8666.01
2000-01-06,252.0,268.0,252.0,260.5,261.0,6658801.0,17458.17
2000-01-07,261.5,279.9,255.0,279.0,273.3,7873985.0,21182.87
2000-01-10,280.0,289.85,265.2,266.0,269.5,5519316.0,15442.48
2000-01-11,266.8,267.0,247.95,247.95,247.95,2427606.0,6182.19
2000-01-12,244.0,251.5,236.6,244.0,244.75,2805072.0,6836.16
2000-01-13,246.0,255.6,243.1,243.15,244.5,3226776.0,8068.35
2000-01-14,245.0,245.0,238.1,239.05,239.2,1506543.0,3624.06
2000-01-17,244.4,251.0,232.3,236.1,235.9,4385887.0,10535.88
2000-01-18,236.9,241.0,233.75,236.5,236.45,2706614.0,6430.74
2000-01-19,240.9,247.5,240.0,243.0,243.95,2511949.0,6145.08
2000-01-20,243.0,244.8,236.25,237.9,237.7,1158464.0,2787.38
2000-01-21,238.75,239.75,235.5,237.0,237.45,1178627.0,2799.96
2000-01-24,236.65,240.35,227.1,228.1,228.3,1855636.0,4358.36
2000-01-25,226.0,227.9,222.6,225.5,224.85,2226513.0,5012.33
2000-01-27,229.0,235.5,228.0,230.8,230.15,2000745.0,4643.9
2000-01-28,232.7,248.6,232.7,248.6,248.5,4978231.0,12210.55
2000-01-31,246.0,256.75,242.5,242.95,244.7,4829071.0,12130.05
2000-02-01,245.0,250.7,242.75,250.0,246.5,2196468.0,5397.59
2000-02-02,257.0,258.7,246.0,246.9,247.5,2328315.0,5874.5
2000-02-03,250.0,264.9,248.6,257.85,258.8,7332794.0,18956.79
2000-02-04,260.0,264.75,254.5,256.5,255.9,3206295.0,8324.89
2000-02-07,258.7,258.7,243.6,245.5,247.4,2058676.0,5180.62
2000-02-08,247.0,248.5,240.8,242.5,242.3,2398279.0,5875.6
2000-02-09,254.0,254.0,243.15,244.0,245.4,1411153.0,3502.38
2000-02-10,242.2,250.95,242.2,248.6,248.8,1843760.0,4566.21
2000-02-11,251.0,257.7,246.6,249.0,250.1,2983767.0,7530.48
2000-02-14,252.0,270.15,251.35,270.15,266.6,6388369.0,16765.78
2000-02-15,271.9,272.0,247.0,250.0,253.9,4747733.0,12331.31
2000-02-16,257.0,257.0,247.5,248.4,250.0,2045899.0,5179.07
2000-02-17,248.0,253.8,247.0,249.0,250.0,1740649.0,4366.96
2000-02-18,251.75,252.8,239.0,242.0,241.1,1509713.0,3703.86
2000-02-21,243.0,248.9,240.0,244.25,244.2,2012722.0,4918.99
2000-02-22,245.0,246.4,234.0,236.1,237.1,1651462.0,3971.54
2000-02-23,244.9,248.0,232.0,235.75,234.05,1276651.0,3046.6
2000-02-24,236.0,247.0,234.25,242.5,243.35,1575066.0,3807.97
2000-02-25,242.0,246.5,239.15,240.25,241.0,1045776.0,2535.32
2000-02-28,241.0,248.7,237.3,247.4,245.45,1473359.0,3596.95
2000-02-29,248.9,262.0,225.85,226.0,228.75,3891344.0,9711.03
2000-03-01,233.0,241.5,225.0,237.0,236.2,2048520.0,4826.09
2000-03-02,239.0,241.4,223.0,225.5,226.0,2301423.0,5310.57
2000-03-03,223.0,227.9,207.95,209.3,208.2,1742872.0,3743.14
2000-03-06,214.7,224.0,203.15,214.1,212.1,2374676.0,5133.65
2000-03-07,212.1,213.5,202.5,207.55,207.5,2046689.0,4237.08
2000-03-08,209.0,209.0,190.9,191.5,191.45,1713711.0,3415.62
2000-03-09,191.5,194.0,176.15,177.2,178.9,2347673.0,4223.68
2000-03-10,180.9,180.9,168.15,171.35,170.4,1314953.0,2272.67
2000-03-13,173.25,179.0,163.0,164.7,164.35,1824161.0,3104.27
2000-03-14,168.5,177.5,161.1,177.5,177.5,2123749.0,3632.46
2000-03-15,177.6,191.0,175.0,185.45,186.5,2364998.0,4366.34
2000-03-16,185.9,201.45,182.5,200.2,199.7,3630383.0,7055.89
2000-03-21,203.9,215.6,198.3,213.05,212.9,3182185.0,6583.72
2000-03-22,214.7,217.5,206.85,211.45,212.1,2320305.0,4930.37
2000-03-23,210.0,211.75,197.25,200.0,200.4,1836243.0,3711.69
2000-03-24,199.0,201.5,194.35,197.4,197.25,1149127.0,2269.2
