Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2001-01-01,529.0,549.0,520.05,523.0,523.85,549300.0,2934.95
2001-01-02,527.0,528.5,512.0,524.65,525.85,479050.0,2501.64
2001-01-03,518.0,523.9,501.0,517.05,515.4,447535.0,2311.74
2001-01-04,519.0,597.9,519.0,590.0,587.4,1072207.0,6178.55
2001-01-05,587.0,614.0,582.05,607.0,609.45,677842.0,4100.92
2001-01-08,596.0,604.0,565.0,572.0,575.1,516744.0,3009.1
2001-01-09,565.1,599.0,565.1,592.5,588.4,540406.0,3175.24
2001-01-10,597.9,634.9,597.0,603.0,606.9,679020.0,4172.49
2001-01-11,609.0,618.0,578.55,579.0,582.75,464944.0,2744.75
2001-01-12,591.0,617.0,581.0,602.0,609.0,562786.0,3401.91
2001-01-15,608.9,644.0,601.0,616.25,613.1,766576.0,4755.1
2001-01-16,621.9,628.0,607.0,625.0,619.05,345406.0,2138.19
2001-01-17,625.0,642.0,609.0,621.0,614.75,394371.0,2468.47
2001-01-18,626.9,663.95,621.0,656.0,655.9,1159804.0,7515.94
2001-01-19,662.4,749.0,662.0,745.0,731.45,1137876.0,8010.15
2001-01-22,745.0,755.0,673.0,677.0,678.95,1283148.0,9013.19
2001-01-23,675.2,689.0,635.0,646.0,641.45,1109878.0,7332.51
2001-01-24,650.0,677.0,645.0,675.0,672.4,932669.0,6192.37
2001-01-25,677.0,690.0,656.0,662.4,662.8,834415.0,5582.59
2001-01-29,660.0,660.0,610.0,636.9,636.2,407329.0,2577.75
2001-01-30,640.0,665.0,637.65,659.0,656.85,523835.0,3432.01
2001-01-31,665.0,665.9,646.0,648.0,649.85,275967.0,1807.25
2001-02-01,645.0,645.0,610.1,618.0,619.8,346128.0,2166.73
2001-02-02,613.0,649.0,608.5,620.0,619.35,825595.0,5202.2
2001-02-05,612.0,626.5,605.0,615.0,614.1,254383.0,1568.51
2001-02-06,620.0,634.85,612.4,617.7,618.55,688722.0,4293.14
2001-02-07,624.0,642.65,614.0,619.0,618.25,555168.0,3492.38
2001-02-08,611.0,627.9,610.0,622.0,621.6,221753.0,1378.71
2001-02-09,620.25,635.0,595.0,602.0,603.15,532944.0,3280.55
2001-02-12,599.9,612.0,590.55,608.9,608.1,387169.0,2330.77
2001-02-13,610.0,624.0,598.2,599.4,600.4,586985.0,3594.99
2001-02-14,600.0,616.0,596.0,615.2,613.5,240376.0,1464.39
2001-02-15,618.0,654.0,617.0,640.0,641.1,936175.0,6024.62
2001-02-16,645.0,655.0,618.0,626.0,622.3,637455.0,4069.68
2001-02-19,617.7,626.0,610.1,616.0,616.4,334776.0,2070.91
2001-02-20,619.0,623.9,608.2,609.0,610.9,456548.0,2806.52
2001-02-21,604.9,611.5,581.0,594.0,592.15,319821.0,1905.03
2001-02-22,590.0,590.0,525.0,568.0,571.2,657013.0,3661.95
2001-02-23,556.1,575.0,543.0,543.5,550.15,418550.0,2344.29
2001-02-26,554.0,569.75,546.1,566.45,565.25,384968.0,2152.04
2001-02-27,567.95,610.5,560.0,589.0,583.2,1027628.0,6011.16
2001-02-28,575.05,663.7,555.5,627.0,622.9,953041.0,5849.69
2001-03-01,626.8,635.0,552.5,572.0,568.6,510990.0,3058.74
2001-03-02,580.0,580.0,477.65,480.55,484.5,842407.0,4203.56
2001-03-05,476.0,496.8,416.1,459.0,451.75,692527.0,3107.33
2001-03-07,476.0,524.05,471.65,524.05,520.1,771551.0,3795.44
2001-03-08,528.0,528.0,462.35,478.1,477.8,624417.0,3044.34
2001-03-09,472.3,473.9,416.35,462.0,462.1,487325.0,2172.79
2001-03-12,450.0,459.0,394.1,397.0,399.7,505802.0,2144.21
2001-03-13,368.3,431.7,345.0,400.3,389.1,1006399.0,3891.4
2001-03-14,385.0,451.4,385.0,451.4,451.2,374410.0,1619.39
2001-03-15,438.0,487.0,423.0,476.95,478.3,606425.0,2841.98
2001-03-16,470.1,537.0,461.0,505.3,498.8,642782.0,3234.0
2001-03-19,495.0,515.0,468.3,478.0,474.2,283692.0,1372.2
2001-03-20,480.0,484.0,451.7,460.0,458.9,264032.0,1219.25
2001-03-21,438.0,448.9,422.2,444.0,443.5,318721.0,1393.24
2001-03-22,443.0,450.0,401.25,427.8,425.35,476296.0,2024.62
2001-03-23,433.0,439.8,394.0,410.1,408.35,410405.0,1691.84
2001-03-26,407.0,417.0,371.25,411.75,407.9,533396.0,2101.46
2001-03-27,410.0,432.95,393.1,414.7,414.1,775418.0,3200.14
2001-03-28,421.9,450.0,421.9,437.0,436.65,515119.0,2255.89
2001-03-29,430.5,430.5,402.0,414.4,411.15,547514.0,2246.81
2001-03-30,412.0,412.0,364.15,367.75,369.7,449882.0,1715.57
2001-04-02,348.0,360.0,315.0,344.8,348.7,673391.0,2239.78
2001-04-03,340.0,374.85,332.05,370.0,363.05,729716.0,2615.22
2001-04-04,344.85,392.1,339.0,375.15,381.55,550057.0,1975.72
2001-04-06,392.0,412.1,385.0,394.0,395.15,461068.0,1835.95
2001-04-09,390.0,396.4,366.1,367.5,370.8,310818.0,1184.22
2001-04-10,374.0,375.0,325.4,329.05,332.45,462364.0,1592.15
2001-04-11,345.0,354.9,279.3,279.3,279.3,514995.0,1561.87
2001-04-12,257.0,257.0,234.65,234.65,234.65,1009894.0,2394.18
2001-04-16,217.3,249.0,202.2,236.15,238.75,1768963.0,4084.4
2001-04-17,235.5,272.0,222.5,258.0,261.75,1662765.0,4168.96
2001-04-18,267.7,303.65,265.0,303.65,303.65,133199.0,396.23
2001-04-19,327.95,352.25,324.0,352.25,352.25,983138.0,3354.53
2001-04-20,380.45,406.5,341.3,384.0,381.35,1437227.0,5411.03
2001-04-23,389.0,404.0,362.0,383.3,390.5,1047128.0,4034.65
2001-04-24,382.0,390.0,352.15,386.0,383.35,866802.0,3224.97
2001-04-25,387.0,406.85,375.25,391.0,392.4,747276.0,2942.43
2001-04-26,399.0,413.85,375.3,378.0,385.0,1239565.0,4906.74
2001-04-27,377.25,377.25,323.4,331.0,324.9,875990.0,3014.68
2001-04-30,323.4,376.9,312.0,376.9,374.8,626502.0,2193.2
2001-05-02,404.8,424.7,391.55,404.0,400.75,1272675.0,5166.55
2001-05-03,404.5,426.7,387.2,412.05,405.6,1489812.0,6014.79
2001-05-04,405.0,416.0,386.6,409.0,411.3,1269404.0,5111.09
2001-05-07,406.0,447.85,406.0,435.0,435.9,1340707.0,5818.75
2001-05-08,436.0,457.0,435.0,453.3,451.7,1033097.0,4637.84
2001-05-09,462.0,464.85,411.55,417.1,418.7,842671.0,3601.64
2001-05-10,414.0,428.5,406.7,420.9,419.45,898981.0,3765.91
2001-05-11,413.35,418.0,401.3,412.5,411.25,585455.0,2400.97
2001-05-14,410.0,414.0,395.25,402.0,400.65,592035.0,2391.84
2001-05-15,396.0,400.8,368.7,398.0,395.6,554108.0,2147.14
2001-05-16,402.0,418.9,402.0,409.8,412.9,601334.0,2470.52
2001-05-17,413.0,429.0,411.05,428.0,425.65,603476.0,2557.07
2001-05-18,430.0,443.5,427.2,438.3,437.55,762711.0,3336.85
2001-05-21,432.1,439.0,426.0,428.0,430.2,348630.0,1509.71
2001-05-22,431.0,450.0,431.0,449.5,446.6,806590.0,3562.57
2001-05-23,449.5,461.0,445.0,453.0,456.3,762691.0,3478.16
2001-05-24,451.0,454.65,419.8,429.4,429.3,1096204.0,4745.05
2001-05-25,429.95,436.95,411.1,418.6,417.35,798076.0,3349.71
2001-05-28,419.0,434.0,417.0,431.45,432.7,647339.0,2770.12
2001-05-29,432.2,437.9,418.2,420.15,423.7,589306.0,2524.37
2001-05-30,419.0,425.0,400.0,401.85,403.35,974354.0,4010.51
2001-05-31,395.0,395.0,373.0,394.0,391.95,690446.0,2675.67
2001-06-01,394.0,408.55,383.0,387.0,385.65,1009948.0,3999.79
2001-06-04,386.0,391.0,357.3,362.0,360.75,725506.0,2673.02
2001-06-05,359.25,371.8,346.6,350.0,354.25,1046611.0,3770.56
2001-06-06,362.0,377.4,359.15,361.5,362.9,630128.0,2305.5
2001-06-07,361.5,386.9,347.0,386.0,378.6,1566750.0,5710.02
2001-06-08,389.0,394.7,373.0,387.9,389.15,1546601.0,5970.55
2001-06-11,387.0,387.0,372.0,373.35,374.3,771065.0,2911.99
2001-06-12,371.05,372.1,361.1,364.0,366.0,768056.0,2818.28
2001-06-13,369.5,375.95,362.0,363.25,365.8,855519.0,3168.42
2001-06-14,361.2,370.0,355.0,361.1,364.2,1119665.0,4060.09
2001-06-15,361.0,367.7,348.1,364.9,361.95,1630799.0,5853.59
2001-06-18,359.1,373.0,351.65,371.0,368.2,1226317.0,4435.38
2001-06-19,366.5,383.0,363.8,372.65,368.65,1409249.0,5268.04
2001-06-20,370.9,370.9,353.0,358.65,361.1,688160.0,2482.67
2001-06-21,360.0,364.9,338.55,339.0,350.0,679262.0,2418.48
2001-06-22,344.75,344.9,302.3,312.0,310.2,1422943.0,4599.6
2001-06-25,307.1,307.1,260.6,260.6,260.6,1080280.0,2927.7
2001-06-26,242.0,292.4,239.75,266.1,269.8,3177674.0,8634.14
2001-06-27,272.0,287.4,251.65,261.0,260.75,2402720.0,6464.76
2001-06-28,263.65,273.95,255.5,266.35,266.8,1397148.0,3728.14
2001-06-29,270.0,303.0,269.05,266.35,289.4,1347464.0,3829.8
2001-07-02,305.0,305.0,271.2,274.0,277.8,237746.0,686.31
2001-07-03,269.8,276.0,261.0,268.35,270.0,314381.0,849.31
2001-07-04,268.35,270.7,251.1,256.0,256.0,299512.0,776.95
2001-07-05,260.0,268.5,257.3,258.5,261.9,278316.0,731.67
2001-07-06,255.0,277.7,253.0,268.0,271.45,393723.0,1039.78
2001-07-09,265.25,279.0,261.0,278.0,275.75,272299.0,739.71
2001-07-10,285.0,293.4,270.0,270.0,273.15,544734.0,1540.87
2001-07-11,269.75,279.0,268.3,278.0,274.55,182092.0,497.55
2001-07-12,280.1,305.0,280.1,304.75,299.15,728142.0,2133.45
2001-07-13,310.0,315.0,281.55,283.5,284.75,592425.0,1777.46
2001-07-16,285.0,299.9,278.25,280.0,282.2,271068.0,777.97
2001-07-17,272.2,299.8,252.2,293.0,289.85,437337.0,1238.33
2001-07-18,294.0,299.85,284.0,297.95,295.2,708564.0,2064.42
2001-07-19,286.0,292.9,277.05,290.15,291.05,594237.0,1693.47
2001-07-20,295.0,300.0,286.0,288.0,294.6,598981.0,1752.22
2001-07-23,283.1,290.0,279.0,285.5,286.85,8521.0,24.27
2001-07-24,281.1,286.0,259.1,263.0,264.25,749084.0,1995.06
2001-07-25,251.0,270.85,241.0,267.0,266.7,1114352.0,2871.48
2001-07-26,261.0,265.8,250.15,253.5,255.0,678290.0,1756.86
2001-07-27,257.85,264.7,248.25,254.0,255.7,799532.0,2053.52
2001-07-30,254.0,258.95,235.1,237.0,239.55,749808.0,1840.09
2001-07-31,235.5,249.0,229.85,244.0,245.35,1153907.0,2758.27
2001-08-01,246.5,267.9,244.1,257.1,261.55,1005502.0,2607.54
2001-08-02,260.8,277.0,255.2,277.0,272.55,799708.0,2120.91
2001-08-03,280.0,301.0,278.25,282.0,283.15,1525589.0,4438.4
2001-08-06,280.0,296.9,280.0,292.55,291.5,1037522.0,3015.86
2001-08-07,294.9,295.0,241.55,258.5,255.15,5314454.0,13922.09
2001-08-08,255.5,267.0,239.35,240.0,244.15,5878726.0,14918.87
2001-08-09,240.0,240.0,216.6,217.5,219.85,6484242.0,14596.07
2001-08-10,220.1,237.8,220.0,229.4,228.35,6637587.0,15269.91
2001-08-13,232.8,235.0,223.6,229.65,228.85,2873125.0,6554.47
2001-08-14,231.0,244.9,228.0,236.75,240.1,2663427.0,6288.32
