Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2007-01-02,264.7,266.0,260.4,265.9,264.85,219811.0,578.28
2007-01-03,264.5,266.1,260.5,261.4,260.85,457961.0,1205.88
2007-01-04,265.7,267.85,259.0,265.0,265.05,749438.0,1978.78
2007-01-05,264.0,278.0,262.5,275.55,275.95,1259023.0,3427.38
2007-01-08,275.0,282.95,272.15,273.65,274.85,1131602.0,3144.28
2007-01-09,284.0,285.6,272.5,284.9,284.95,1380399.0,3913.48
2007-01-10,284.7,289.5,279.15,285.0,285.25,1590592.0,4532.77
2007-01-11,284.9,284.9,276.0,282.0,280.6,1715835.0,4811.92
2007-01-12,284.45,284.7,276.5,282.05,281.2,754379.0,2120.45
2007-01-15,282.5,291.9,279.75,281.0,281.5,1211269.0,3473.02
2007-01-16,282.0,282.0,276.0,278.0,278.05,459055.0,1276.09
2007-01-17,279.75,279.9,273.6,276.9,275.0,402402.0,1114.41
2007-01-18,276.5,284.1,272.25,281.5,281.85,628349.0,1764.84
2007-01-19,284.0,284.8,278.15,279.85,280.65,163817.0,459.83
2007-01-22,281.5,283.45,275.0,275.15,275.55,197638.0,549.71
2007-01-23,275.0,281.45,273.0,276.45,275.8,347027.0,964.11
2007-01-24,276.0,281.6,275.5,278.5,278.6,627422.0,1747.34
2007-01-25,280.5,285.0,278.95,284.0,284.8,1237104.0,3496.55
2007-01-29,286.0,288.5,281.25,284.25,284.95,1395743.0,4000.03
2007-01-31,285.0,285.0,278.05,281.0,281.25,702110.0,1978.46
2007-02-01,275.0,287.0,275.0,287.0,284.05,274904.0,773.63
2007-02-02,289.9,293.4,278.0,293.0,292.0,753725.0,2184.33
2007-02-05,293.0,296.6,285.0,292.5,295.15,845662.0,2486.12
2007-02-06,295.0,296.25,288.0,291.45,293.15,491620.0,1446.77
2007-02-07,295.4,295.4,287.0,289.1,292.2,371561.0,1087.06
2007-02-08,286.25,294.0,282.2,293.0,291.75,336484.0,967.88
2007-02-09,290.0,295.0,287.0,294.5,294.3,493730.0,1437.81
2007-02-12,295.0,301.5,288.1,293.6,293.8,1183495.0,3485.56
2007-02-13,290.0,303.2,285.0,302.0,301.45,645549.0,1923.15
2007-02-14,311.0,311.0,290.5,294.0,298.25,480975.0,1434.91
2007-02-15,300.0,300.0,288.0,296.0,296.15,406123.0,1199.93
