Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2007-01-02,403.45,414.0,398.9,401.5,400.4,387255.0,1569.13
2007-01-03,404.05,415.5,402.5,405.2,409.45,439154.0,1802.75
2007-01-04,412.0,428.1,410.15,415.5,415.8,742634.0,3120.92
2007-01-05,416.9,426.3,409.1,415.0,411.95,448650.0,1868.1
2007-01-08,409.9,421.15,409.35,419.9,416.45,203474.0,845.91
2007-01-09,420.0,422.95,403.15,408.0,406.45,218199.0,896.81
2007-01-10,406.0,411.65,401.05,405.3,404.55,116956.0,476.44
2007-01-11,412.9,415.0,401.15,414.1,413.4,147473.0,603.48
2007-01-12,419.95,424.0,417.05,424.0,422.3,130634.0,549.66
2007-01-15,424.4,430.95,420.0,424.0,424.7,189844.0,807.07
2007-01-16,429.95,436.95,421.2,422.0,422.7,244833.0,1050.1
2007-01-17,422.7,434.9,422.7,433.0,430.4,171466.0,737.48
2007-01-18,435.6,435.6,418.4,427.1,427.1,164913.0,707.51
2007-01-19,444.0,449.85,423.0,447.5,446.1,241069.0,1059.79
2007-01-22,465.0,486.9,444.0,485.0,483.15,1019812.0,4772.61
2007-01-23,495.0,495.0,458.2,459.0,463.4,377678.0,1777.35
2007-01-24,467.0,481.9,460.0,469.0,471.35,341452.0,1606.04
2007-01-25,473.0,480.0,469.05,476.0,474.65,286095.0,1358.32
2007-01-29,470.0,486.35,380.9,469.1,472.95,925502.0,4433.23
2007-01-31,472.0,479.85,464.0,466.0,466.85,319720.0,1504.76
2007-02-01,469.0,472.9,461.55,463.5,464.0,160390.0,750.23
2007-02-02,471.0,508.7,466.0,488.85,488.05,977832.0,4799.74
2007-02-05,490.0,511.75,483.0,505.0,506.05,806735.0,4037.35
2007-02-06,510.0,524.5,499.0,508.6,508.55,732531.0,3764.42
2007-02-07,512.0,516.9,502.5,508.15,510.3,482510.0,2462.58
2007-02-08,514.75,528.85,510.0,515.5,512.65,861649.0,4466.45
2007-02-09,515.0,524.4,501.05,502.3,505.15,561282.0,2872.16
2007-02-12,505.15,505.9,466.55,469.0,472.3,270768.0,1297.86
2007-02-13,465.0,486.0,455.0,477.0,474.1,382134.0,1823.84
2007-02-14,451.5,483.0,430.0,479.25,479.45,653118.0,3014.47
2007-02-15,496.0,496.0,474.0,486.9,484.45,234645.0,1137.7
2007-02-19,494.0,500.0,485.15,486.0,489.45,131374.0,648.37
2007-02-20,495.0,495.0,470.0,474.0,473.15,167509.0,799.86
2007-02-21,485.0,485.0,467.0,471.0,469.8,101967.0,482.91
2007-02-22,474.9,489.75,434.0,443.95,447.0,564499.0,2560.41
2007-02-23,451.0,451.0,430.0,440.3,438.65,313623.0,1378.26
2007-02-26,449.9,449.9,422.05,441.9,436.6,367130.0,1593.22
2007-02-27,441.05,448.5,432.1,436.0,437.95,376956.0,1663.35
2007-02-28,415.0,439.0,402.3,424.75,424.9,415652.0,1771.69
2007-03-01,421.0,434.9,402.2,422.5,421.25,436463.0,1810.0
2007-03-02,424.0,440.0,421.0,427.0,429.5,363953.0,1564.23
2007-03-05,427.5,427.5,402.0,412.9,412.95,489468.0,2039.94
2007-03-06,422.0,435.5,422.0,435.0,433.15,343121.0,1471.75
2007-03-07,444.0,444.0,429.0,439.0,437.1,372669.0,1608.57
2007-03-08,433.0,452.9,430.0,452.9,448.9,154250.0,679.32
2007-03-09,451.0,459.9,430.25,432.0,438.2,582046.0,2577.38
2007-03-12,439.9,447.6,431.0,440.0,440.6,140905.0,620.66
2007-03-13,440.6,443.9,433.25,437.2,438.35,168476.0,739.63
2007-03-14,420.0,434.0,420.0,426.2,429.6,620399.0,2667.38
2007-03-15,430.0,437.5,427.15,427.25,429.8,377415.0,1623.66
2007-03-16,433.0,435.95,426.0,426.0,429.65,597421.0,2568.9
2007-03-19,429.95,443.0,429.95,432.0,433.45,193543.0,844.36
2007-03-20,439.9,439.9,426.5,428.0,428.85,360490.0,1553.15
2007-03-21,428.85,436.7,425.1,429.35,429.85,627404.0,2704.02
2007-03-22,437.7,444.95,434.1,439.0,439.0,489632.0,2153.93
2007-03-23,444.5,467.85,438.0,460.0,461.4,896392.0,4103.04
2007-03-26,463.0,475.8,455.0,458.5,463.4,660221.0,3099.55
2007-03-28,464.0,470.0,446.0,460.4,461.15,699929.0,3241.43
2007-03-29,457.0,472.85,457.0,462.0,461.75,875908.0,4085.52
2007-03-30,462.1,481.0,452.0,478.9,479.4,899938.0,4296.02
2007-04-02,460.0,470.0,441.9,456.0,458.7,1001656.0,4612.13
2007-04-03,470.0,480.0,456.05,461.25,465.45,1439159.0,6745.15
2007-04-04,468.8,483.0,465.0,466.55,469.6,935202.0,4447.0
2007-04-05,469.9,477.5,461.0,470.85,471.05,358645.0,1696.68
2007-04-09,475.0,508.0,472.0,506.0,505.1,800332.0,3964.15
2007-04-10,510.0,511.85,494.05,498.0,499.05,797540.0,3995.31
2007-04-11,495.0,510.2,483.0,485.5,485.45,632892.0,3148.52
2007-04-12,485.0,485.0,475.15,479.95,479.45,326787.0,1566.75
2007-04-13,480.0,494.9,480.0,488.25,489.5,325132.0,1593.22
2007-04-16,495.0,499.0,489.15,490.0,491.75,243484.0,1199.08
2007-04-17,496.0,535.0,485.0,494.6,492.7,499467.0,2476.53
2007-04-18,490.0,504.9,490.0,496.3,496.85,308385.0,1543.44
2007-04-19,489.0,502.9,478.25,500.0,498.6,286385.0,1424.59
2007-04-20,500.5,507.0,495.0,503.15,504.45,412584.0,2075.68
2007-04-23,509.5,517.9,490.0,492.45,493.4,637048.0,3223.44
2007-04-24,490.2,512.5,490.0,502.0,500.45,1460126.0,7320.45
