Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2008-01-01,1139.0,1146.0,1091.05,1135.0,1134.1,10556.0,118.56
2008-01-02,1135.0,1165.0,1112.05,1135.0,1136.3,19188.0,217.87
2008-01-03,1141.0,1148.9,1123.0,1148.9,1139.05,13351.0,151.39
2008-01-04,1150.0,1157.9,1111.0,1111.0,1140.9,20838.0,239.65
2008-01-07,1140.9,1221.0,1077.7,1205.0,1212.4,22228.0,262.87
2008-01-08,1212.0,1299.9,1179.0,1262.15,1248.2,40367.0,490.66
2008-01-09,1248.2,1299.0,1186.0,1196.05,1202.9,143704.0,1756.02
2008-01-10,1206.95,1206.95,1151.2,1190.0,1172.25,6844.0,80.77
2008-01-11,1175.0,1175.0,1122.5,1140.1,1157.2,4953.0,56.81
2008-01-14,1090.65,1159.0,1090.65,1112.25,1124.1,5185.0,58.48
2008-01-15,1180.0,1180.0,1090.0,1097.0,1099.6,8443.0,92.98
2008-01-16,1099.0,1112.0,1075.0,1080.0,1086.2,36487.0,399.78
2008-01-17,1080.0,1099.0,1060.0,1098.9,1086.75,9112.0,97.95
2008-01-18,1052.0,1090.0,1015.0,1040.0,1035.2,21726.0,229.19
2008-01-21,1079.95,1079.95,1031.05,1048.0,1045.6,104043.0,1090.47
2008-01-22,963.0,1199.0,903.0,950.0,962.6,35810.0,360.42
2008-01-23,1040.0,1045.0,971.0,995.0,1002.65,110206.0,1145.97
2008-01-24,1011.05,1059.9,990.0,1015.0,1016.15,279283.0,2906.91
2008-01-25,1015.0,1110.1,1015.0,1020.0,1046.95,27453.0,289.11
2008-01-28,1040.0,1139.9,1002.0,1124.9,1127.15,23594.0,260.68
2008-01-29,1127.0,1149.9,1067.0,1102.0,1107.8,8807.0,96.77
2008-01-30,1110.0,1200.0,1100.0,1180.0,1181.75,25202.0,288.02
2008-01-31,1178.0,1319.95,1102.0,1235.1,1246.15,53794.0,669.45
2008-02-01,1260.0,1260.0,1133.1,1161.5,1170.0,18608.0,218.68
2008-02-04,1201.3,1238.0,1176.0,1199.9,1196.05,74747.0,889.69
2008-02-05,1205.0,1230.0,1195.0,1218.0,1216.4,21233.0,256.8
2008-02-06,1160.0,1214.0,1160.0,1211.0,1207.75,271860.0,3238.21
2008-02-07,1180.0,1205.0,1119.65,1150.0,1140.55,32797.0,381.21
2008-02-08,1150.0,1190.0,1105.0,1170.0,1180.0,152036.0,1775.87
2008-02-11,1180.0,1200.0,1130.0,1160.0,1151.65,7923.0,91.08
2008-02-12,1155.0,1160.0,1100.55,1150.0,1151.6,11707.0,134.31
2008-02-13,1154.0,1180.0,1130.0,1155.0,1147.7,10702.0,123.0
2008-02-14,1167.0,1169.0,1150.0,1152.5,1153.65,6332.0,73.24
2008-02-15,1155.0,1167.0,1150.0,1150.25,1153.6,4116.0,47.69
2008-02-18,1168.0,1170.0,1141.25,1157.95,1150.35,2090.0,24.1
2008-02-19,1157.0,1162.9,1105.0,1116.0,1111.6,8552.0,97.29
2008-02-20,1120.0,1144.95,1079.0,1088.0,1087.3,4327.0,47.92
2008-02-21,1100.0,1124.5,1040.0,1055.9,1053.85,11178.0,118.83
2008-02-22,1051.0,1115.0,1041.0,1090.1,1096.2,3883.0,42.32
2008-02-25,1135.0,1189.0,1090.0,1150.0,1134.95,10864.0,121.19
2008-02-26,1140.0,1140.0,1120.0,1135.0,1130.95,6887.0,77.89
2008-02-27,1135.0,1203.95,1131.0,1193.1,1198.45,45281.0,534.84
2008-02-28,1190.0,1190.0,1101.4,1143.9,1136.3,21947.0,252.52
2008-02-29,1149.0,1149.0,1100.0,1105.0,1115.0,9051.0,101.54
2008-03-03,1100.0,1178.0,1092.0,1160.0,1160.25,13499.0,155.12
2008-03-04,1120.0,1179.0,1120.0,1163.0,1165.9,8770.0,100.39
2008-03-05,1168.0,1168.0,1125.05,1125.05,1136.0,21715.0,250.13
2008-03-07,1125.0,1139.9,1101.2,1125.05,1123.95,63393.0,713.94
2008-03-10,1110.2,1170.0,1098.0,1162.0,1159.7,225128.0,2564.85
2008-03-11,1147.0,1200.0,1140.0,1165.0,1164.75,17714.0,207.84
2008-03-12,1161.0,1185.0,1144.0,1144.0,1156.7,8234.0,95.86
2008-03-13,1151.0,1156.0,1126.0,1136.9,1133.2,37556.0,424.07
2008-03-14,1148.0,1180.0,1132.0,1140.0,1140.8,504421.0,5736.9
2008-03-17,1105.0,1140.0,1052.0,1110.0,1105.75,50299.0,559.61
2008-03-18,1100.0,1140.0,1090.0,1135.0,1133.85,10813.0,120.82
2008-03-19,1112.0,1208.0,1100.0,1170.25,1175.05,1218079.0,14310.58
2008-03-24,1175.0,1195.0,1150.0,1156.0,1167.75,28449.0,329.68
2008-03-25,1178.0,1178.0,1150.5,1159.0,1157.75,10882.0,125.94
2008-03-26,1160.0,1160.0,1150.0,1152.15,1157.1,5688.0,65.71
2008-03-27,1150.0,1174.95,1149.0,1160.5,1164.7,174010.0,2028.88
2008-03-28,1172.0,1185.0,1155.0,1173.5,1178.95,12107.0,142.37
2008-03-31,1170.0,1205.0,1160.0,1199.9,1199.9,18848.0,225.6
