Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2008-01-01,1330.0,1363.0,1310.4,1322.0,1319.3,373599.0,4986.85
2008-01-02,1328.0,1340.0,1286.3,1295.0,1304.0,286604.0,3736.22
2008-01-03,1257.0,1349.95,1257.0,1338.0,1342.25,534941.0,7061.61
2008-01-04,1340.0,1365.8,1330.0,1330.0,1334.9,622538.0,8405.27
2008-01-07,1315.0,1339.7,1283.6,1300.0,1299.15,1081929.0,14085.12
2008-01-08,1344.7,1349.0,1243.4,1250.0,1261.3,1070700.0,13804.52
2008-01-09,1279.45,1279.45,1216.0,1227.0,1225.0,648005.0,8015.13
2008-01-10,1230.05,1268.0,1186.0,1210.0,1204.55,383070.0,4726.67
2008-01-11,1210.0,1219.1,1180.0,1208.0,1201.15,291355.0,3481.55
2008-01-14,1205.0,1240.0,1190.0,1234.0,1230.05,366643.0,4494.21
2008-01-15,1235.0,1242.2,1192.0,1210.3,1211.15,413693.0,5049.27
2008-01-16,1199.9,1199.9,1128.0,1145.2,1145.1,593371.0,6841.88
2008-01-17,1160.0,1184.7,1136.0,1157.0,1157.3,447930.0,5186.41
2008-01-18,1157.3,1168.0,1078.0,1084.1,1098.6,628659.0,7038.47
2008-01-21,1055.55,1055.55,816.0,965.2,970.8,1211195.0,11899.76
2008-01-22,901.0,949.7,782.15,890.0,886.25,802511.0,6647.53
2008-01-23,930.0,998.7,930.0,975.0,967.25,566216.0,5403.08
2008-01-24,1014.0,1014.0,862.0,881.0,870.6,674938.0,6129.6
2008-01-25,900.0,988.0,900.0,957.0,976.15,759014.0,7259.43
2008-01-28,900.0,960.0,875.5,953.0,946.1,524301.0,4896.7
2008-01-29,975.0,999.0,963.0,978.0,980.45,258154.0,2526.33
2008-01-30,982.3,1053.0,978.0,1015.0,1006.75,1878097.0,19214.7
2008-01-31,1037.0,1037.0,952.35,979.0,969.55,875476.0,8620.8
2008-02-01,990.0,1049.1,981.15,1035.0,1034.8,1033342.0,10358.89
2008-02-04,1050.0,1163.7,1045.0,1160.0,1151.95,1266253.0,14241.59
2008-02-05,1140.0,1194.0,1110.0,1166.55,1173.15,789693.0,8994.57
2008-02-06,1140.0,1155.05,1105.35,1132.1,1134.75,179987.0,2043.62
