Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2008-01-01,1000.0,1000.0,986.0,991.0,991.55,183163.0,1817.5
2008-01-02,1005.0,1009.95,978.6,993.1,997.05,351365.0,3483.59
2008-01-03,999.0,999.0,969.95,972.65,973.2,455664.0,4474.32
2008-01-04,975.0,982.5,959.0,964.0,964.15,798963.0,7718.59
2008-01-07,952.0,970.0,952.0,964.0,963.75,683162.0,6583.85
2008-01-08,965.0,970.0,936.0,938.0,939.8,644368.0,6130.25
2008-01-09,944.9,1055.0,912.5,918.9,924.75,601337.0,5642.32
2008-01-10,931.0,941.75,905.05,909.9,909.2,510754.0,4708.74
2008-01-11,927.0,927.0,888.0,892.0,899.7,857643.0,7720.55
2008-01-14,899.7,909.0,840.0,852.0,863.45,698561.0,6129.42
2008-01-15,873.95,881.35,852.0,870.0,871.35,1000759.0,8716.69
2008-01-16,868.0,868.0,827.0,840.0,847.7,558884.0,4694.9
2008-01-17,855.0,894.9,842.15,860.25,864.8,602636.0,5231.06
2008-01-18,860.0,865.55,835.1,835.1,842.0,444882.0,3779.4
2008-01-21,824.0,834.5,755.05,790.0,803.2,614102.0,4935.93
2008-01-22,780.0,840.0,700.0,794.0,807.05,949563.0,7224.27
2008-01-23,835.0,859.0,785.0,820.0,826.15,777635.0,6409.83
2008-01-24,850.0,850.0,761.0,790.0,788.75,1045605.0,8514.16
2008-01-25,823.0,845.0,794.0,835.0,833.7,563334.0,4654.62
2008-01-28,775.05,874.0,775.05,861.0,864.7,358055.0,2955.22
2008-01-29,870.0,881.0,816.3,866.6,863.0,739339.0,6295.98
2008-01-30,870.0,870.0,833.0,845.0,844.9,462356.0,3891.66
2008-01-31,843.0,864.8,825.0,838.25,850.2,702863.0,5951.51
2008-02-01,833.15,918.0,826.0,902.0,905.75,425624.0,3738.17
2008-02-04,920.0,923.9,891.2,895.5,897.35,773011.0,7030.97
2008-02-05,912.0,920.0,869.0,872.0,872.6,296903.0,2627.24
2008-02-06,855.1,860.0,827.0,832.9,832.25,400676.0,3353.94
2008-02-07,845.0,845.0,790.0,793.0,800.0,549229.0,4484.95
2008-02-08,802.0,814.0,780.1,799.0,805.75,588532.0,4709.4
2008-02-11,805.75,850.0,775.0,811.0,813.35,467655.0,3787.55
2008-02-12,815.4,827.0,796.25,804.9,807.7,313845.0,2543.21
2008-02-13,812.0,824.95,802.15,816.2,817.25,394845.0,3223.12
2008-02-14,821.1,845.0,820.0,830.3,829.2,245041.0,2040.72
2008-02-15,825.0,829.0,805.0,812.65,812.45,658133.0,5353.98
2008-02-18,830.0,830.0,801.0,805.7,806.2,212449.0,1716.5
2008-02-19,813.0,819.0,805.15,809.0,809.4,394126.0,3207.6
2008-02-20,808.0,808.0,763.0,771.5,769.7,750169.0,5848.77
2008-02-21,777.0,790.0,754.45,765.0,763.15,631746.0,4859.07
2008-02-22,765.0,774.8,750.1,765.0,766.35,599096.0,4555.68
2008-02-25,775.0,805.5,768.25,795.95,800.55,623552.0,4938.54
2008-02-26,811.3,816.0,791.0,813.0,813.3,349139.0,2810.51
2008-02-27,815.0,840.0,815.0,835.0,832.9,678206.0,5590.41
