Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2009-01-01,715.0,725.0,708.3,716.75,719.95,1682474.0,12051.55
2009-01-02,721.55,722.0,699.0,705.65,704.9,3882492.0,27462.3
2009-01-05,710.25,714.0,677.25,685.4,685.65,5494411.0,37581.94
2009-01-06,699.4,699.4,651.25,657.4,657.0,7906040.0,52748.67
2009-01-07,665.9,668.9,612.0,648.85,650.0,7575718.0,49164.17
2009-01-09,646.0,654.0,607.65,638.0,638.9,7346007.0,46344.8
2009-01-12,632.3,637.3,608.15,621.6,623.85,4111385.0,25610.64
2009-01-13,620.05,629.0,593.85,608.0,607.05,4905444.0,29822.94
2009-01-14,619.7,635.0,610.0,623.5,622.75,3794274.0,23682.24
2009-01-15,615.0,615.0,584.0,606.9,603.65,4271995.0,25711.9
2009-01-16,616.8,639.0,608.0,634.65,634.75,3164861.0,19848.41
2009-01-19,634.0,653.8,630.0,645.25,646.85,2044938.0,13162.06
2009-01-20,637.0,637.0,610.0,614.0,616.35,3032402.0,18708.74
2009-01-21,553.35,608.7,553.35,576.9,583.05,5017559.0,29863.34
2009-01-22,585.0,623.7,580.0,620.0,619.2,8164592.0,49962.16
2009-01-23,615.0,625.0,603.25,614.5,613.15,3243187.0,19899.11
2009-01-27,615.65,649.9,614.5,646.85,647.4,4630340.0,29694.72
2009-01-28,651.6,660.0,635.2,657.5,652.15,5257798.0,33995.2
2009-01-29,665.0,665.0,620.3,623.2,627.4,6317490.0,40165.1
2009-01-30,620.0,636.0,612.2,632.1,633.95,3241361.0,20316.71
2009-02-02,629.7,629.7,607.05,615.0,615.8,3345852.0,20555.87
2009-02-03,623.0,636.95,613.8,626.05,625.0,2647279.0,16562.6
2009-02-04,633.05,640.0,626.2,637.35,634.3,2964754.0,18777.62
2009-02-05,646.0,646.0,618.0,630.75,628.65,2268100.0,14192.97
2009-02-06,635.0,649.4,632.1,648.15,647.05,2075176.0,13334.14
2009-02-09,648.9,669.0,639.2,666.2,665.75,1840986.0,12067.05
2009-02-10,662.8,667.0,648.1,664.0,663.55,2824743.0,18588.52
2009-02-11,650.15,679.0,645.0,677.3,673.45,2249780.0,14876.12
2009-02-12,670.0,674.5,645.0,646.6,650.85,2885648.0,19041.15
2009-02-13,658.8,665.0,643.55,650.3,651.75,3330438.0,21763.22
2009-02-16,651.75,651.75,628.1,638.0,637.75,3299995.0,21027.63
