Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2009-01-01,187.0,194.8,180.1,193.05,192.95,646225.0,1230.07
2009-01-02,194.0,196.1,190.5,191.9,191.6,699934.0,1356.82
2009-01-05,194.8,195.7,187.15,191.0,190.95,769893.0,1463.54
2009-01-06,191.0,195.95,189.1,193.0,192.95,1454055.0,2811.13
2009-01-07,194.0,195.95,181.1,185.05,185.9,1050320.0,1956.38
2009-01-09,182.5,191.45,182.5,185.3,188.85,2172087.0,4095.33
2009-01-12,185.05,189.9,183.0,186.5,187.1,1451209.0,2686.48
2009-01-13,185.0,189.65,184.0,184.35,185.35,901712.0,1681.74
2009-01-14,185.0,189.5,184.1,188.0,187.95,854608.0,1604.86
2009-01-15,187.5,187.5,180.55,181.5,181.95,1173467.0,2146.25
2009-01-16,183.0,184.85,180.5,183.5,183.2,354218.0,648.41
2009-01-19,184.0,185.0,179.1,179.75,180.25,497987.0,903.74
2009-01-20,180.0,180.0,175.6,178.25,177.65,502791.0,891.12
2009-01-21,177.0,181.5,175.15,179.0,180.05,571151.0,1029.63
2009-01-22,179.0,182.0,171.35,172.5,172.85,1178646.0,2056.21
2009-01-23,174.0,191.65,174.0,186.45,186.05,3318641.0,6175.84
2009-01-27,190.0,192.5,188.0,190.8,191.1,2256952.0,4302.34
2009-01-28,191.0,195.0,190.05,194.2,194.2,734560.0,1414.55
2009-01-29,194.0,196.5,190.0,190.05,191.0,1056632.0,2027.87
2009-01-30,190.7,196.7,188.6,191.95,191.95,1444472.0,2791.62
2009-02-02,192.0,194.0,189.0,192.75,192.05,2245568.0,4305.38
2009-02-03,192.05,196.0,191.2,192.5,192.4,784180.0,1514.71
2009-02-04,192.0,196.5,190.5,193.5,195.05,1683362.0,3260.95
2009-02-05,195.25,196.4,192.6,193.5,194.0,4309535.0,8348.78
2009-02-06,194.5,194.9,190.4,191.05,191.2,1339529.0,2572.02
2009-02-09,191.75,193.5,188.65,191.75,192.35,1021311.0,1947.39
2009-02-10,192.5,195.85,191.0,194.5,194.7,1379506.0,2670.82
2009-02-11,194.0,195.0,191.45,192.3,192.35,1976588.0,3809.58
2009-02-12,193.0,193.1,190.0,191.3,191.0,247387.0,471.94
2009-02-13,191.0,193.9,190.35,190.95,191.75,943004.0,1819.17
2009-02-16,191.8,191.9,188.3,189.9,189.95,953703.0,1810.43
2009-02-17,189.0,190.55,186.35,189.75,189.55,1346506.0,2537.67
2009-02-18,189.55,193.4,189.25,192.65,192.35,1053146.0,2025.7
2009-02-19,193.0,194.45,190.8,191.65,192.0,515175.0,991.85
2009-02-20,192.0,192.4,187.0,188.3,188.35,375266.0,708.94
2009-02-24,188.0,188.0,185.15,186.3,186.0,540971.0,1008.49
2009-02-25,186.5,188.3,185.5,186.25,187.0,780987.0,1458.59
2009-02-26,186.0,194.9,185.75,194.0,192.55,895205.0,1702.32
2009-02-27,193.05,195.5,187.8,191.5,191.5,768972.0,1461.99
2009-03-02,188.0,193.5,186.5,191.0,191.0,955447.0,1823.19
2009-03-03,190.25,195.0,190.0,194.0,192.5,540074.0,1044.8
2009-03-04,192.25,204.45,191.15,202.1,202.55,1370181.0,2701.72
2009-03-05,203.0,206.4,199.0,202.0,201.6,2248902.0,4578.46
2009-03-06,201.0,205.0,198.1,203.15,203.65,838999.0,1687.24
2009-03-09,202.5,204.3,200.0,202.0,202.3,603619.0,1221.75
2009-03-12,202.5,205.9,199.6,202.8,203.75,910369.0,1846.95
2009-03-13,204.0,209.75,200.0,203.25,202.95,2269315.0,4641.2
2009-03-16,203.0,205.0,200.55,201.65,201.7,837398.0,1698.48
2009-03-17,202.0,203.5,199.25,200.6,200.6,758151.0,1524.37
2009-03-18,201.0,204.45,198.2,198.5,199.7,525076.0,1058.73
2009-03-19,200.1,200.1,194.8,197.5,197.0,727592.0,1430.01
2009-03-20,197.0,200.0,195.15,196.8,197.65,978149.0,1940.69
2009-03-23,198.0,203.75,198.0,200.6,201.7,1113473.0,2249.19
2009-03-24,201.0,205.0,200.1,202.0,203.3,1081170.0,2203.69
2009-03-25,203.0,206.9,201.25,203.6,203.55,1248608.0,2544.56
2009-03-26,203.6,210.0,203.0,208.3,208.5,1717463.0,3544.72
2009-03-27,209.75,222.0,208.6,221.1,219.4,2225416.0,4799.9
2009-03-30,214.05,223.9,213.65,216.2,217.4,1277724.0,2787.56
2009-03-31,220.0,223.0,217.05,220.1,220.05,1434356.0,3170.2
2009-04-01,218.5,220.1,215.05,218.75,218.85,1075019.0,2345.43
2009-04-02,219.5,227.0,219.5,225.9,225.2,1470398.0,3306.14
