Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2009-01-01,473.9,474.9,463.0,466.5,467.6,86010.0,402.13
2009-01-02,470.5,474.35,466.0,468.7,468.0,317223.0,1488.06
2009-01-05,475.0,478.0,468.0,470.0,471.25,200154.0,944.15
2009-01-06,474.5,492.0,468.1,489.95,486.7,702599.0,3412.27
2009-01-07,499.85,506.0,452.35,461.0,464.9,759716.0,3594.19
2009-01-09,466.0,488.8,455.0,457.0,459.9,227697.0,1056.53
2009-01-12,460.1,478.0,460.1,469.95,468.45,434823.0,2053.01
2009-01-13,465.75,478.0,448.0,453.0,452.75,544994.0,2517.0
2009-01-14,458.9,487.0,458.9,487.0,475.95,451523.0,2118.82
2009-01-15,471.25,480.0,440.2,446.0,445.2,400584.0,1803.89
2009-01-16,448.05,454.9,433.5,449.95,447.3,245106.0,1083.72
2009-01-19,453.0,461.7,446.05,456.0,457.45,244816.0,1112.89
2009-01-20,455.0,471.25,449.05,466.0,467.9,396897.0,1829.56
2009-01-21,464.9,464.9,442.05,442.05,447.05,506395.0,2280.68
2009-01-22,450.0,455.0,418.05,430.5,428.5,458202.0,1975.66
2009-01-23,422.0,441.1,421.0,432.0,432.2,217054.0,939.83
2009-01-27,440.0,447.0,431.1,441.25,443.9,144589.0,636.91
2009-01-28,445.0,449.9,440.1,441.0,442.55,108407.0,481.59
2009-01-29,440.0,458.95,435.0,455.0,453.05,275559.0,1234.77
2009-01-30,441.65,455.5,440.5,449.95,449.8,208004.0,941.29
2009-02-02,446.05,455.1,444.2,449.5,448.9,65220.0,293.53
2009-02-03,450.0,453.0,432.2,437.35,437.8,166678.0,737.7
2009-02-04,437.0,449.8,432.0,435.4,436.6,219596.0,963.82
2009-02-05,438.0,450.05,438.0,448.55,447.95,354983.0,1591.77
2009-02-06,453.0,462.0,452.0,462.0,458.9,119667.0,547.12
2009-02-09,462.0,467.9,460.0,462.0,465.05,251204.0,1160.68
2009-02-10,468.8,468.8,459.05,464.8,464.35,64897.0,300.06
2009-02-11,455.0,458.9,441.0,445.0,444.95,301539.0,1351.47
2009-02-12,443.0,450.0,431.5,434.9,434.8,326181.0,1422.23
2009-02-13,440.0,444.9,430.0,431.5,430.5,581019.0,2515.56
2009-02-16,430.0,431.0,407.3,410.0,410.3,702467.0,2925.84
2009-02-17,410.0,410.3,393.3,406.0,401.2,497743.0,1994.66
2009-02-18,397.5,409.9,388.0,395.9,398.15,575236.0,2285.61
2009-02-19,403.0,408.5,393.3,404.0,405.95,553193.0,2216.81
2009-02-20,400.0,400.25,389.05,395.5,395.2,376725.0,1486.24
2009-02-24,389.0,402.0,388.0,396.7,397.7,788196.0,3130.16
2009-02-25,400.0,407.5,396.2,403.0,403.25,366607.0,1481.51
2009-02-26,403.0,409.5,400.25,403.95,406.6,630629.0,2567.54
2009-02-27,401.55,409.0,386.1,391.2,391.85,681801.0,2698.28
2009-03-02,390.0,401.85,382.65,397.0,398.75,429811.0,1703.17
2009-03-03,400.0,402.0,391.0,394.15,397.2,272765.0,1085.88
2009-03-04,399.65,399.65,381.5,392.35,389.8,535819.0,2085.2
2009-03-05,392.0,397.9,355.25,378.0,374.0,1316113.0,4912.26
2009-03-06,372.0,392.85,357.0,379.0,385.6,1257331.0,4684.24
2009-03-09,380.1,384.95,369.5,375.15,376.65,688828.0,2579.73
2009-03-12,365.65,401.95,365.65,399.9,398.05,846804.0,3275.22
2009-03-13,419.1,425.9,401.2,410.05,412.5,413139.0,1726.18
2009-03-16,415.5,435.25,411.2,435.0,433.9,278622.0,1187.47
2009-03-17,434.9,440.5,420.1,425.8,424.95,154849.0,658.86
2009-03-18,429.0,442.4,428.0,435.1,436.8,226776.0,991.74
2009-03-19,435.0,443.8,423.15,437.25,436.4,257379.0,1109.5
2009-03-20,443.4,448.7,415.0,420.3,422.45,329241.0,1386.35
2009-03-23,425.95,439.9,415.65,437.1,435.7,273135.0,1169.46
2009-03-24,440.2,440.2,415.2,417.6,425.2,230244.0,986.1
2009-03-25,426.0,428.25,421.5,424.0,425.25,210846.0,897.81
2009-03-26,430.0,454.75,428.95,443.1,444.85,490372.0,2142.68
2009-03-27,444.0,479.0,444.0,473.0,474.25,493878.0,2319.58
2009-03-30,465.0,474.45,450.0,469.1,466.35,398373.0,1850.35
2009-03-31,466.0,495.0,461.25,490.0,490.2,715093.0,3456.15
2009-04-01,495.0,495.0,475.3,484.35,482.0,338154.0,1624.94
2009-04-02,483.1,514.85,480.0,494.05,502.5,525757.0,2622.83
2009-04-06,500.0,519.5,500.0,515.5,514.1,259674.0,1330.97
2009-04-08,509.9,529.8,490.5,519.0,520.5,668523.0,3417.52
2009-04-09,522.1,528.9,511.5,516.0,517.1,131800.0,685.5
2009-04-13,520.15,541.8,520.15,528.0,529.7,130309.0,695.79
2009-04-15,526.0,558.0,524.15,554.5,545.95,141284.0,760.33
2009-04-16,550.0,564.0,521.0,522.5,526.95,298451.0,1596.41
2009-04-17,522.05,543.0,522.05,535.0,535.75,277278.0,1481.29
2009-04-20,536.0,554.7,530.0,543.0,544.45,295045.0,1590.11
2009-04-21,535.0,546.8,534.8,537.15,535.85,114421.0,619.04
2009-04-22,543.0,556.25,532.0,551.0,553.25,385359.0,2103.87
2009-04-23,536.2,574.7,536.2,568.0,566.15,142695.0,800.22
2009-04-24,563.0,563.0,541.25,546.05,554.5,251504.0,1382.86
2009-04-27,554.0,579.9,541.0,579.0,567.9,419415.0,2342.76
2009-04-28,570.25,570.25,536.7,548.0,548.25,260955.0,1439.93
2009-04-29,555.0,559.75,533.65,546.9,544.75,307685.0,1679.54
2009-05-04,544.75,584.9,544.75,570.0,567.45,284424.0,1589.0
2009-05-05,560.0,569.0,552.0,554.0,560.45,320550.0,1789.98
2009-05-06,560.0,575.0,555.0,570.1,568.45,252051.0,1424.41
2009-05-07,579.0,582.0,568.05,574.0,574.9,194636.0,1118.72
2009-05-08,573.9,590.0,537.3,550.0,551.0,504347.0,2825.35
2009-05-11,553.0,569.0,551.5,560.1,558.9,113753.0,635.03
2009-05-12,555.0,599.7,545.5,595.05,594.45,434588.0,2527.81
2009-05-13,595.0,598.8,575.2,590.0,584.95,429993.0,2545.01
2009-05-14,579.0,590.95,568.2,590.0,587.15,76188.0,443.86
2009-05-15,592.2,599.85,568.05,572.95,573.55,236616.0,1370.07
2009-05-18,595.0,650.0,595.0,620.0,612.95,707.0,4.33
2009-05-19,630.0,632.85,563.55,590.3,591.95,738882.0,4371.79
2009-05-20,593.9,644.9,593.9,631.9,630.25,819622.0,5136.28
2009-05-21,630.25,657.75,628.4,640.05,638.25,530147.0,3388.9
2009-05-22,641.0,675.9,619.85,670.0,660.95,666266.0,4379.33
2009-05-25,662.1,662.1,635.2,650.65,650.65,603848.0,3917.28
2009-05-26,655.0,674.0,654.85,660.0,661.15,512383.0,3404.67
2009-05-27,670.0,681.5,661.1,672.0,674.35,480125.0,3235.72
2009-05-28,674.0,679.7,653.2,657.5,662.0,567299.0,3763.07
2009-05-29,670.0,674.0,635.2,645.0,647.5,1025725.0,6755.67
2009-06-01,648.0,659.7,631.0,634.5,636.15,1053153.0,6723.5
2009-06-02,641.35,644.0,608.05,617.9,616.05,644144.0,4005.78
2009-06-03,620.0,637.7,595.5,619.0,621.95,629324.0,3910.38
2009-06-04,627.0,649.95,614.05,648.0,645.25,1018625.0,6571.45
2009-06-05,650.0,700.0,642.0,683.05,686.3,1284944.0,8639.83
2009-06-08,687.0,699.0,677.0,689.0,685.7,600940.0,4133.78
2009-06-09,686.0,723.85,682.0,712.0,711.8,641181.0,4551.92
2009-06-10,715.0,767.0,712.0,747.05,751.65,1117227.0,8363.88
2009-06-11,751.8,766.95,724.0,740.05,741.05,339521.0,2525.21
2009-06-12,750.0,750.0,700.0,701.0,705.1,215252.0,1558.03
2009-06-15,699.0,721.9,672.1,711.0,705.55,415984.0,2876.39
2009-06-16,700.0,745.0,694.0,715.35,712.9,563854.0,4063.36
2009-06-17,707.15,737.8,695.0,718.0,715.25,459822.0,3306.6
2009-06-18,715.0,744.9,713.05,728.7,728.4,654352.0,4807.51
2009-06-19,730.0,745.0,730.0,732.5,734.7,1042628.0,7712.29
2009-06-22,735.0,750.9,719.95,740.0,734.85,352066.0,2590.67
2009-06-23,725.0,747.9,721.65,745.35,744.7,246364.0,1809.72
2009-06-24,751.0,759.5,740.1,741.1,743.65,249637.0,1877.35
2009-06-25,755.1,775.1,745.05,750.0,756.95,938107.0,7127.8
2009-06-26,750.0,789.0,750.0,771.0,770.2,743913.0,5788.96
2009-06-29,777.0,792.0,773.0,782.0,782.8,230680.0,1802.92
2009-06-30,790.0,800.0,770.3,783.8,779.85,141313.0,1104.02
2009-07-01,780.0,798.9,773.0,794.9,787.25,496492.0,3911.81
2009-07-02,799.7,808.5,776.2,790.1,787.35,414694.0,3287.26
2009-07-03,792.0,805.5,792.0,796.15,797.45,447202.0,3572.36
2009-07-06,796.0,796.0,758.0,765.0,766.65,244662.0,1882.05
2009-07-07,770.25,794.5,770.25,790.5,784.8,389784.0,3062.97
2009-07-08,785.25,815.2,785.25,815.2,806.55,403187.0,3224.94
2009-07-09,809.75,824.0,802.25,811.1,808.5,396044.0,3212.99
