Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2009-01-01,785.0,825.0,775.0,824.0,821.75,2509034.0,20142.98
2009-01-02,815.55,838.7,815.35,824.5,825.35,2249575.0,18604.71
2009-01-05,848.0,861.95,832.2,855.0,857.3,2509321.0,21319.32
2009-01-06,845.0,869.9,833.8,849.0,850.2,3400423.0,28892.36
2009-01-07,860.0,861.7,759.7,772.0,774.65,3768280.0,30244.22
2009-01-09,767.7,767.7,652.2,723.0,720.85,6501868.0,46443.29
2009-01-12,700.0,730.0,680.0,690.5,688.3,4621188.0,32221.02
2009-01-13,685.0,714.8,680.0,702.0,699.85,1696265.0,11925.74
2009-01-14,710.0,719.4,697.7,710.0,709.2,1833665.0,12988.44
2009-01-15,690.0,719.95,670.0,708.0,706.9,2622282.0,18465.78
2009-01-16,711.0,729.9,700.35,715.1,717.15,2294269.0,16473.38
2009-01-19,722.0,736.5,715.0,724.5,727.65,2000051.0,14550.86
2009-01-20,707.05,718.0,702.2,707.0,708.7,1934552.0,13747.26
2009-01-21,695.0,705.0,680.25,686.3,685.15,2062466.0,14322.28
2009-01-22,697.0,704.0,651.1,661.0,664.65,3227986.0,21753.96
2009-01-23,660.0,668.25,637.0,639.3,641.05,2820443.0,18243.8
2009-01-27,640.1,660.0,605.55,635.0,637.75,3610828.0,22776.0
2009-01-28,645.0,677.8,639.2,671.3,671.7,4560010.0,29996.41
2009-01-29,681.35,694.7,652.0,661.0,661.05,3840813.0,25855.18
2009-01-30,653.8,695.0,646.4,690.0,690.25,6013127.0,40695.18
2009-02-02,679.0,698.0,655.0,656.0,660.55,3154211.0,21342.81
2009-02-03,670.0,679.0,646.5,660.25,657.6,3339657.0,22169.65
2009-02-04,665.15,674.9,650.2,654.15,655.3,3255309.0,21589.45
2009-02-05,659.0,663.7,632.0,633.5,636.6,2722173.0,17471.01
2009-02-06,640.0,649.8,635.1,638.2,638.9,2253329.0,14490.76
2009-02-09,650.0,678.0,639.25,677.0,674.4,3244637.0,21367.42
2009-02-10,670.0,704.5,670.0,697.75,698.55,3697820.0,25446.8
2009-02-11,681.1,697.45,673.85,688.0,689.45,2731974.0,18735.08
2009-02-12,680.0,692.8,676.4,681.1,682.45,1819269.0,12462.81
2009-02-13,688.0,710.45,685.0,696.0,702.2,2579847.0,18132.64
2009-02-16,699.95,710.0,661.05,664.0,666.8,2692627.0,18342.63
2009-02-17,657.95,664.85,651.0,656.65,658.4,2291841.0,15092.66
2009-02-18,655.0,663.5,646.2,652.25,651.95,2083484.0,13645.87
2009-02-19,659.0,662.7,638.1,639.5,640.35,2662442.0,17180.21
2009-02-20,635.0,636.0,615.1,623.0,621.45,2487029.0,15513.74
2009-02-24,615.0,631.0,605.2,623.4,624.5,2484413.0,15414.92
2009-02-25,648.0,648.0,609.45,610.95,611.9,2984669.0,18641.97
2009-02-26,619.0,628.5,606.15,611.5,609.9,4050132.0,25001.05
2009-02-27,630.0,630.0,598.4,613.0,613.75,3562942.0,21703.29
2009-03-02,595.05,608.0,581.35,582.5,584.2,2515769.0,14946.34
2009-03-03,584.0,592.5,570.0,570.7,572.0,2852371.0,16577.84
2009-03-04,575.0,585.9,573.05,581.1,580.45,2378856.0,13798.29
2009-03-05,585.0,587.0,565.5,568.8,568.75,2453164.0,14112.26
