Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2009-01-01,180.6,183.0,180.1,182.0,182.5,1921993.0,3491.35
2009-01-02,183.0,185.6,180.5,184.1,184.15,3771502.0,6915.71
2009-01-05,185.5,185.7,178.7,180.8,180.8,3795013.0,6885.14
2009-01-06,184.0,184.0,174.1,177.2,177.05,4749272.0,8432.41
2009-01-07,178.0,178.5,168.5,171.2,171.45,7234736.0,12477.78
2009-01-09,170.95,179.85,167.1,177.9,178.25,9264054.0,16106.03
2009-01-12,171.0,177.85,169.0,170.05,170.9,5381242.0,9207.19
2009-01-13,168.0,171.45,165.25,168.5,168.0,7991180.0,13447.73
2009-01-14,168.1,177.9,165.75,177.0,171.6,4903764.0,8330.55
2009-01-15,170.1,170.1,165.35,167.0,166.7,4136898.0,6919.82
2009-01-16,167.75,181.0,167.5,180.2,179.85,8632308.0,15241.58
2009-01-19,180.0,181.9,176.75,178.25,178.4,3140164.0,5617.09
2009-01-20,176.1,187.5,174.5,185.0,185.95,13283145.0,24428.03
2009-01-21,182.7,186.75,178.05,178.05,179.95,9512265.0,17435.11
2009-01-22,182.0,182.3,176.6,177.6,178.55,4730770.0,8462.95
2009-01-23,178.0,181.4,173.6,179.2,179.85,4995860.0,8849.07
2009-01-27,180.55,191.4,179.0,189.45,190.1,7549066.0,14077.81
2009-01-28,190.1,193.1,187.15,191.3,191.25,6342404.0,12051.72
2009-01-29,189.9,192.7,183.6,188.05,190.25,12174912.0,22882.9
2009-01-30,187.4,190.6,184.15,189.75,189.65,4854677.0,9101.74
2009-02-02,188.5,189.5,180.2,180.6,181.2,3909266.0,7190.25
2009-02-03,182.0,184.0,175.4,176.85,176.9,8473773.0,15182.52
2009-02-04,177.0,180.6,174.4,177.0,176.85,4942712.0,8781.9
2009-02-05,177.0,177.7,174.5,176.95,176.85,2568606.0,4523.84
2009-02-06,180.0,182.15,178.0,180.7,180.35,4699089.0,8467.74
2009-02-09,182.0,183.75,178.15,182.3,182.95,3754451.0,6812.28
2009-02-10,183.9,183.9,178.5,180.0,180.3,7969360.0,14442.78
2009-02-11,178.1,182.95,177.15,180.8,180.45,4676271.0,8475.03
2009-02-12,179.0,181.95,178.95,180.0,179.85,3930798.0,7085.09
2009-02-13,180.7,184.45,180.5,182.65,182.95,4294146.0,7858.63
2009-02-16,184.5,185.0,177.1,177.9,178.05,4647715.0,8354.43
2009-02-17,177.05,178.95,173.1,173.85,174.15,2802460.0,4908.66
2009-02-18,172.0,177.3,171.1,176.6,176.4,5843740.0,10267.74
2009-02-19,176.0,179.45,175.5,179.45,179.1,3520225.0,6262.01
2009-02-20,179.0,179.0,175.0,178.2,177.75,5559226.0,9836.53
2009-02-24,175.1,179.7,175.1,178.1,178.2,3994006.0,7103.93
2009-02-25,180.5,180.9,178.35,180.75,180.2,3758218.0,6758.1
2009-02-26,180.3,185.8,178.65,183.8,184.75,7040086.0,12843.04
2009-02-27,183.5,186.0,179.15,185.9,185.0,6074883.0,11076.59
2009-03-02,182.0,182.0,176.5,177.1,178.85,3569830.0,6447.78
2009-03-03,177.0,182.1,175.6,178.7,178.8,3380585.0,6075.53
2009-03-04,179.5,180.7,176.25,179.9,179.85,4340043.0,7738.1
2009-03-05,180.0,181.2,171.0,172.65,172.8,7935026.0,13854.18
2009-03-06,172.0,178.9,169.0,176.65,177.65,5902447.0,10253.78
2009-03-09,175.0,177.9,174.1,176.65,176.65,2922572.0,5138.47
2009-03-12,179.95,180.4,171.15,171.25,174.05,5982246.0,10482.48
2009-03-13,175.95,176.9,169.05,170.3,170.25,12924981.0,22075.79
2009-03-16,171.0,172.5,167.25,170.7,171.15,7820974.0,13282.9
2009-03-17,172.4,175.5,171.0,173.4,173.85,7468553.0,12946.51
2009-03-18,174.0,176.95,174.0,175.0,175.1,4957725.0,8700.7
2009-03-19,175.25,179.5,174.0,178.0,178.6,3387453.0,6000.98
2009-03-20,179.0,179.0,175.65,176.85,177.55,3440002.0,6108.8
2009-03-23,178.15,184.5,178.15,183.2,183.7,3441028.0,6292.38
2009-03-24,184.0,186.9,178.7,179.2,181.2,5674293.0,10417.27
2009-03-25,181.1,181.1,175.4,177.5,177.0,7593575.0,13489.18
2009-03-26,179.4,184.9,176.7,177.7,181.3,9604409.0,17327.6
2009-03-27,181.85,183.9,178.65,182.4,182.1,4827864.0,8780.85
2009-03-30,167.5,185.5,167.5,183.0,183.5,5219799.0,9599.4
