Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2009-01-01,390.0,398.0,387.0,395.1,395.5,7357.0,28.88
2009-01-02,393.0,415.0,380.0,387.0,386.3,27526.0,108.05
2009-01-05,395.0,403.0,380.0,385.4,384.85,151682.0,586.76
2009-01-06,374.35,434.8,374.35,431.05,429.2,104725.0,429.44
2009-01-07,431.75,438.0,390.1,405.25,409.4,191934.0,819.31
2009-01-09,393.0,409.1,385.0,395.0,396.75,21875.0,87.13
2009-01-12,396.0,399.5,375.2,378.0,379.35,10162.0,38.95
2009-01-13,372.0,375.0,365.0,365.0,365.15,139981.0,515.03
2009-01-14,374.0,376.95,352.7,360.0,359.55,55060.0,204.91
2009-01-15,345.0,362.0,341.25,356.45,358.8,28469.0,101.89
2009-01-16,374.0,376.95,351.0,375.0,370.65,274541.0,1014.86
2009-01-19,375.0,403.9,360.25,378.25,380.7,383538.0,1489.79
2009-01-20,381.0,394.8,371.1,389.0,388.95,102021.0,391.12
2009-01-21,388.0,395.8,381.1,390.3,389.7,100172.0,391.09
2009-01-22,397.0,405.0,375.3,397.0,388.9,35398.0,137.06
2009-01-23,390.05,399.0,383.25,397.65,395.8,26258.0,103.17
2009-01-27,391.0,405.0,385.2,387.0,391.0,272174.0,1072.61
2009-01-28,394.0,418.0,387.0,411.6,412.15,29708.0,119.93
2009-01-29,416.0,431.0,401.2,415.9,415.2,231205.0,961.22
2009-01-30,393.0,419.0,391.0,393.1,395.95,48360.0,195.2
2009-02-02,394.0,409.0,387.0,388.0,388.45,17658.0,69.33
2009-02-03,393.5,417.0,391.1,409.0,412.95,59712.0,243.46
2009-02-04,420.0,420.0,406.15,415.0,412.8,19430.0,80.4
2009-02-05,402.5,414.75,383.9,411.9,412.1,28756.0,117.77
2009-02-06,415.3,420.0,412.15,414.0,416.05,17100.0,71.24
2009-02-09,418.15,422.0,410.2,411.65,413.05,13112.0,54.41
2009-02-10,413.05,420.0,410.1,419.0,418.9,188736.0,788.94
2009-02-11,418.0,422.9,410.0,421.0,420.6,17827.0,74.6
2009-02-12,423.0,423.0,409.0,409.0,412.05,39805.0,166.15
2009-02-13,419.75,427.95,413.1,420.95,420.7,42314.0,178.01
2009-02-16,420.7,436.9,417.5,422.0,422.35,37872.0,162.53
2009-02-17,419.0,422.95,405.25,408.0,409.85,51762.0,213.96
2009-02-18,384.25,429.0,384.25,420.0,420.2,45041.0,188.02
2009-02-19,422.5,426.95,407.7,414.05,419.15,33581.0,141.09
2009-02-20,415.0,421.5,410.05,417.0,416.95,20485.0,85.19
2009-02-24,408.0,429.7,408.0,422.05,424.15,43710.0,183.94
2009-02-25,439.0,449.8,427.1,442.0,440.65,63502.0,277.7
2009-02-26,458.0,483.0,440.1,474.0,476.0,580163.0,2639.58
2009-02-27,477.0,488.0,455.0,461.35,470.1,148244.0,701.8
2009-03-02,456.0,463.9,450.15,452.5,452.05,73126.0,331.91
2009-03-03,480.0,480.0,443.05,456.6,457.95,51772.0,236.85
2009-03-04,471.0,487.0,443.5,471.1,475.3,138978.0,659.53
2009-03-05,499.0,499.0,470.5,475.0,477.4,104111.0,494.63
2009-03-06,520.0,520.0,466.0,496.0,497.5,101678.0,497.43
2009-03-09,520.0,520.0,463.0,465.0,467.55,80500.0,385.4
2009-03-12,479.45,479.45,449.1,451.0,454.6,63997.0,292.76
2009-03-13,465.0,474.0,456.3,473.0,471.0,50776.0,236.51
2009-03-16,452.0,487.0,452.0,482.0,482.5,34667.0,165.98
2009-03-17,494.9,494.9,468.0,479.5,478.4,143572.0,685.45
2009-03-18,488.0,488.0,462.0,464.0,464.25,18325.0,86.6
2009-03-19,473.8,480.0,456.0,470.0,473.1,23689.0,110.9
2009-03-20,482.95,482.95,457.1,475.0,471.65,53036.0,248.36
2009-03-23,480.0,523.8,472.15,516.5,509.85,72807.0,360.93
2009-03-24,523.9,540.0,488.0,510.15,512.45,73871.0,376.06
2009-03-25,517.5,534.85,496.0,509.1,512.75,63739.0,328.24
2009-03-26,513.0,525.0,507.0,524.75,519.95,235113.0,1221.55
2009-03-27,520.0,538.0,516.1,525.7,529.2,70672.0,373.74
2009-03-30,526.0,544.5,513.4,534.2,530.95,100138.0,528.48
2009-03-31,520.1,562.45,520.0,550.0,551.35,116125.0,631.54
