Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2009-01-01,76.2,78.95,75.55,77.9,78.0,483130.0,375.34
2009-01-02,79.7,82.0,77.6,81.95,81.4,921137.0,743.64
2009-01-05,86.0,89.4,83.2,89.35,88.25,1570974.0,1354.22
2009-01-06,89.9,91.9,85.25,87.6,87.65,1085012.0,967.03
2009-01-07,88.1,89.45,76.55,79.95,78.7,844505.0,699.44
2009-01-09,77.0,80.9,73.2,75.45,75.9,494775.0,377.44
2009-01-12,76.0,77.85,72.15,74.8,74.65,471836.0,353.39
2009-01-13,75.0,75.0,68.6,71.0,70.5,589194.0,428.0
2009-01-14,72.7,75.0,71.25,74.1,73.9,308754.0,224.86
2009-01-15,74.0,74.0,69.3,71.9,71.2,519325.0,367.54
2009-01-16,71.4,74.85,71.2,73.7,74.2,247674.0,181.56
2009-01-19,74.9,77.4,73.6,73.9,74.05,342338.0,257.22
2009-01-20,73.0,73.0,71.0,71.0,71.45,318558.0,228.26
2009-01-21,71.0,75.0,66.8,67.05,68.25,4513869.0,3220.66
2009-01-22,69.7,72.0,65.25,65.8,66.55,1589826.0,1085.09
2009-01-23,66.35,67.55,62.55,63.25,63.5,1538148.0,998.13
2009-01-27,60.0,67.0,57.25,58.4,58.4,2965185.0,1785.0
2009-01-28,59.0,61.1,59.0,60.2,60.1,1706703.0,1025.53
2009-01-29,61.0,62.25,60.5,60.8,60.7,1210090.0,743.37
2009-01-30,61.0,62.7,59.5,61.5,61.15,1316289.0,806.76
2009-02-02,61.15,62.45,59.6,60.05,60.15,903554.0,553.93
2009-02-03,61.0,61.5,58.2,59.15,58.7,958104.0,568.55
2009-02-04,58.7,60.25,58.2,58.8,58.65,719209.0,426.99
2009-02-05,59.5,59.6,58.0,58.3,58.4,588829.0,344.36
2009-02-06,59.0,60.45,58.3,58.85,58.8,1009948.0,599.03
2009-02-09,59.7,60.75,59.1,60.1,60.15,846351.0,507.95
2009-02-10,60.25,62.45,59.8,60.3,60.2,1443492.0,884.16
2009-02-11,59.9,61.4,58.2,60.9,60.55,715511.0,429.4
2009-02-12,60.5,61.35,59.4,59.95,59.65,606529.0,366.3
2009-02-13,60.7,61.25,59.3,59.4,59.65,625803.0,377.63
2009-02-16,59.0,60.3,57.65,58.0,57.95,507457.0,298.6
2009-02-17,57.9,57.9,56.0,56.55,56.6,367984.0,208.27
2009-02-18,57.0,57.0,55.2,56.65,56.3,533599.0,299.04
2009-02-19,57.0,57.25,55.35,56.1,55.75,444756.0,250.11
2009-02-20,56.0,56.0,53.45,53.9,53.7,565169.0,305.13
2009-02-24,54.5,55.2,51.35,52.2,52.1,394430.0,205.9
2009-02-25,53.0,54.25,52.55,53.75,53.55,370998.0,199.17
2009-02-26,54.0,54.0,51.5,51.85,51.95,924308.0,481.03
2009-02-27,52.0,52.2,49.55,51.55,51.3,923452.0,468.39
2009-03-02,50.3,50.3,48.65,48.85,49.0,454882.0,225.74
2009-03-03,49.8,49.95,46.0,46.6,46.9,839809.0,404.4
2009-03-04,47.0,48.5,45.55,45.8,45.95,478865.0,224.28
2009-03-05,48.0,48.0,43.15,43.4,43.55,960146.0,430.11
2009-03-06,43.55,44.75,42.2,42.35,42.45,1011600.0,437.29
2009-03-09,43.0,43.0,40.6,41.5,41.6,451884.0,188.43
2009-03-12,43.0,43.45,41.8,42.1,42.3,490360.0,208.23
2009-03-13,43.0,45.05,43.0,43.9,43.85,1370286.0,604.25
2009-03-16,45.0,45.0,43.6,44.0,44.1,1371073.0,606.63
2009-03-17,44.5,46.5,43.7,44.55,44.7,2579812.0,1169.38
2009-03-18,45.5,47.2,45.35,45.6,45.6,2125294.0,980.9
2009-03-19,46.6,47.1,44.55,46.0,45.4,1498566.0,684.55
2009-03-20,45.1,45.6,44.2,44.8,44.7,713912.0,319.4
2009-03-23,44.95,46.75,44.8,46.0,46.25,2556295.0,1170.62
2009-03-24,48.0,51.75,46.4,48.5,48.65,5182270.0,2573.86
2009-03-25,48.5,50.4,48.15,49.65,49.85,3538017.0,1743.21
2009-03-26,50.8,55.3,50.5,53.5,53.85,5088185.0,2690.15
2009-03-27,54.45,56.25,53.05,55.55,55.45,2405700.0,1324.73
2009-03-30,55.0,55.0,49.3,50.05,49.95,1449518.0,741.83
2009-03-31,54.0,54.0,47.7,49.8,50.0,3334049.0,1668.3
2009-04-01,50.9,52.3,49.5,51.7,51.65,2870753.0,1471.09
2009-04-02,53.0,56.0,53.0,53.9,53.75,4205641.0,2295.17
2009-04-06,54.5,56.5,52.35,53.85,53.95,4924667.0,2668.82
2009-04-08,52.1,58.75,49.6,56.8,56.8,8361000.0,4665.99
2009-04-09,57.9,64.9,57.25,61.85,62.65,9658593.0,5954.88
2009-04-13,63.4,75.55,62.15,68.0,68.9,11126054.0,7819.7
2009-04-15,67.5,74.9,66.25,74.3,74.05,6998575.0,5053.93
2009-04-16,75.75,78.0,66.5,68.1,67.95,6760508.0,4911.48
2009-04-17,69.8,75.0,68.5,71.65,70.35,4184631.0,3033.5
2009-04-20,72.65,75.2,71.05,74.15,74.0,4035938.0,2984.56
2009-04-21,72.5,81.25,70.25,80.7,79.95,10096482.0,7766.13
2009-04-22,81.9,87.4,75.0,77.1,76.5,17579884.0,14298.24
2009-04-23,78.0,78.7,71.55,73.9,73.6,6754749.0,4986.47
2009-04-24,74.8,77.15,73.5,76.1,76.2,4163531.0,3153.83
2009-04-27,77.0,79.8,74.5,78.5,78.95,3387919.0,2642.75
2009-04-28,78.95,80.7,73.0,73.75,73.7,3519871.0,2689.1
2009-04-29,74.15,77.8,74.15,77.35,77.2,3281186.0,2501.77
2009-05-04,79.0,84.8,77.8,83.8,83.65,5461170.0,4480.08
2009-05-05,84.6,86.0,82.05,84.95,84.55,5605610.0,4707.39
2009-05-06,85.0,85.4,79.25,80.5,80.2,1936400.0,1594.54
2009-05-07,81.0,84.4,80.3,84.05,83.85,2061215.0,1706.79
2009-05-08,84.35,84.8,78.9,80.55,80.55,2126163.0,1724.39
2009-05-11,81.1,82.4,76.5,76.7,77.1,1913000.0,1497.77
2009-05-12,75.15,80.85,73.75,80.1,79.85,4014035.0,3095.14
2009-05-13,80.8,90.9,78.2,87.6,88.35,11738332.0,10148.5
2009-05-14,86.0,98.55,83.55,95.6,95.35,21559397.0,20343.64
2009-05-15,96.85,98.1,94.35,95.7,95.45,7372650.0,7070.48
2009-05-18,109.7,122.8,103.5,117.0,119.55,33968.0,40.1
2009-05-19,122.0,145.0,100.8,131.4,131.0,11238887.0,14384.08
2009-05-20,132.0,138.0,130.0,134.05,133.95,4127329.0,5558.46
2009-05-21,134.0,134.0,122.0,125.3,124.35,4101906.0,5261.51
2009-05-22,124.0,127.9,118.55,125.45,125.35,2614614.0,3243.49
2009-05-25,126.9,132.35,123.65,127.1,127.5,2339361.0,2982.21
2009-05-26,129.4,130.45,119.4,121.5,120.9,2350185.0,2924.16
2009-05-27,123.1,128.5,122.35,127.7,126.85,2604094.0,3274.1
2009-05-28,128.55,129.9,122.65,124.6,124.9,3684836.0,4620.53
2009-05-29,123.0,127.9,123.0,126.0,125.65,2990118.0,3777.24
2009-06-01,127.9,133.4,125.5,126.7,126.5,2294086.0,2923.02
2009-06-02,128.0,128.7,120.25,124.4,124.05,2180372.0,2686.51
2009-06-03,124.5,135.35,122.55,134.8,133.2,9513531.0,12370.52
2009-06-04,133.0,136.85,132.05,135.75,135.25,7644592.0,10330.83
2009-06-05,137.0,142.0,127.5,134.0,133.6,8169361.0,11263.51
2009-06-08,133.6,135.8,118.5,120.6,123.95,3915964.0,5013.03
2009-06-09,117.0,131.85,115.0,130.65,129.75,5815865.0,7296.61
2009-06-10,132.0,137.8,130.0,134.0,133.7,4976327.0,6708.45
2009-06-11,132.0,134.95,128.3,130.75,130.7,2155853.0,2820.68
2009-06-12,132.0,132.5,128.0,128.05,129.0,2092645.0,2721.7
2009-06-15,126.1,133.45,126.0,128.6,129.1,2413085.0,3140.26
2009-06-16,129.0,137.85,124.3,137.0,136.1,5671854.0,7526.26
2009-06-17,136.0,139.9,130.0,130.8,130.75,7094062.0,9587.22
2009-06-18,131.5,132.85,121.05,130.0,128.0,3674635.0,4696.58
2009-06-19,131.4,135.0,126.0,133.85,133.15,3424884.0,4482.96
2009-06-22,135.0,137.2,129.5,130.0,131.1,2407082.0,3219.3
2009-06-23,120.0,141.4,120.0,139.4,139.9,4527418.0,6110.11
2009-06-24,140.0,143.15,136.05,139.15,140.65,4408683.0,6166.72
2009-06-25,141.9,144.7,137.8,141.55,139.6,4444828.0,6280.97
2009-06-26,142.0,144.8,141.0,142.65,143.3,2595067.0,3711.42
2009-06-29,140.0,155.65,140.0,151.8,151.6,7185889.0,10810.67
2009-06-30,153.95,154.5,144.9,148.2,148.85,6091159.0,9095.36
2009-07-01,148.2,150.85,140.25,143.9,143.6,3591192.0,5214.54
2009-07-02,144.0,145.7,140.05,142.05,142.5,1731365.0,2471.93
2009-07-03,135.1,144.4,135.1,142.2,142.8,1113263.0,1587.82
2009-07-06,144.0,144.4,132.5,132.8,134.1,2816505.0,3877.14
2009-07-07,135.0,136.8,130.05,135.0,135.05,1888347.0,2534.78
2009-07-08,132.0,141.3,128.1,133.2,134.4,3000141.0,4021.68
2009-07-09,135.0,136.1,130.5,133.5,133.05,1496555.0,1994.17
2009-07-10,133.2,134.8,126.7,129.0,128.6,1604730.0,2111.08
2009-07-13,121.0,129.55,121.0,127.5,127.1,1102577.0,1392.21
2009-07-14,129.95,137.4,128.9,137.0,135.8,2015555.0,2697.0
2009-07-15,137.9,143.2,137.9,143.0,141.15,1560408.0,2186.02
2009-07-16,144.05,146.5,137.05,138.9,138.55,1464751.0,2067.82
2009-07-17,140.0,145.4,139.5,144.5,144.45,1293160.0,1855.73
2009-07-20,146.85,155.0,146.0,154.8,153.4,3212100.0,4843.99
2009-07-21,155.0,162.0,151.15,152.65,153.35,10618804.0,16832.55
2009-07-22,155.85,158.4,152.5,156.2,155.9,3841479.0,5993.0
2009-07-23,156.0,158.0,151.8,158.0,157.5,2208597.0,3446.09
2009-07-24,160.1,161.0,156.0,160.8,160.6,2500935.0,3987.67
2009-07-27,160.5,162.0,157.55,161.05,161.65,1582924.0,2536.78
2009-07-28,162.0,165.9,158.0,162.65,163.5,2859955.0,4667.03
2009-07-29,163.5,163.5,152.7,159.3,159.05,1253816.0,1987.99
2009-07-30,159.05,160.9,157.0,160.65,160.1,879223.0,1400.95
2009-07-31,163.0,163.0,157.15,160.35,159.65,1282267.0,2049.37
2009-08-03,160.0,160.0,156.1,160.0,159.4,622989.0,985.08
2009-08-04,161.0,161.5,150.5,154.0,152.35,1533146.0,2376.11
2009-08-05,154.95,156.8,151.35,153.15,153.6,932959.0,1434.19
2009-08-06,153.5,159.25,150.1,152.8,152.3,1315888.0,2051.37
