Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-09-29,780.0,805.0,770.0,776.0,774.6,26000.0,203.69
2010-09-30,775.0,783.45,766.25,772.0,773.55,17350.0,134.35
2010-10-01,763.0,797.3,760.25,773.6,774.95,35941.0,280.42
2010-10-04,788.0,795.0,775.0,786.65,783.4,31160.0,245.19
2010-10-05,775.1,788.0,772.05,778.95,779.0,32141.0,250.31
2010-10-06,812.0,812.0,773.0,799.95,799.45,69177.0,551.32
2010-10-07,791.0,807.0,778.2,786.9,783.85,38093.0,303.35
2010-10-08,780.0,799.0,776.55,779.5,779.25,20060.0,157.3
2010-10-11,782.5,798.0,782.5,792.0,793.65,16798.0,133.34
2010-10-12,782.1,803.95,782.1,800.0,798.15,22402.0,177.7
2010-10-13,791.0,805.0,791.0,797.95,797.6,36541.0,292.17
2010-10-14,798.0,807.0,798.0,805.0,805.4,47108.0,378.72
2010-10-15,795.0,806.0,782.05,785.0,784.9,14809.0,117.41
2010-10-18,799.0,799.0,745.0,760.0,759.95,64137.0,490.38
2010-10-19,775.0,775.0,747.0,750.05,751.2,52109.0,397.47
2010-10-20,760.0,775.0,757.0,765.8,765.8,26636.0,204.62
2010-10-21,770.0,774.0,768.0,771.95,771.6,24106.0,185.83
2010-10-22,777.0,777.0,770.0,772.0,772.9,8814.0,68.1
2010-10-25,772.0,797.25,770.0,790.45,791.2,18209.0,143.38
2010-10-26,788.0,797.9,775.2,784.0,783.95,8898.0,70.24
2010-10-27,784.2,789.85,770.0,780.1,777.35,7409.0,57.75
2010-10-28,771.0,780.0,770.1,770.15,770.6,5769.0,44.71
2010-10-29,768.45,790.0,739.8,790.0,774.45,36854.0,282.67
2010-11-01,790.0,801.0,781.5,796.95,798.6,22483.0,178.79
2010-11-02,805.0,838.0,799.0,805.0,806.4,158531.0,1302.17
2010-11-03,810.0,818.65,795.0,800.0,799.25,21687.0,174.9
2010-11-04,785.5,811.8,785.5,810.0,810.3,16533.0,133.78
2010-11-05,812.0,820.0,805.0,807.0,811.9,7313.0,59.42
2010-11-08,811.95,817.0,801.55,806.95,809.15,13274.0,107.39
2010-11-09,803.0,828.0,803.0,812.0,815.8,34403.0,279.77
2010-11-10,810.0,823.9,808.0,809.9,809.9,24918.0,202.61
2010-11-11,812.0,814.0,786.0,795.0,795.9,39459.0,315.43
2010-11-12,795.9,798.0,775.1,775.2,782.75,35124.0,276.47
2010-11-15,778.0,799.9,778.0,780.15,781.55,21302.0,167.27
2010-11-16,780.1,794.85,751.1,781.0,778.6,35834.0,276.5
2010-11-18,798.0,798.0,736.0,774.95,772.3,16263.0,123.72
2010-11-19,769.95,786.9,750.15,760.0,761.6,14753.0,112.09
2010-11-22,760.0,776.0,752.0,776.0,763.85,10724.0,81.35
2010-11-23,765.0,772.0,753.0,772.0,764.2,11373.0,86.64
2010-11-24,757.0,774.55,755.0,756.0,758.55,8722.0,66.91
2010-11-25,761.0,761.0,725.05,725.05,734.65,18648.0,138.12
2010-11-26,729.0,742.0,650.0,742.0,730.15,53587.0,378.62
2010-11-29,730.15,730.15,676.2,721.0,713.6,43622.0,307.38
2010-11-30,706.0,719.9,696.0,700.7,707.35,9093.0,64.36
2010-12-01,710.0,731.8,710.0,712.0,713.3,9889.0,71.08
2010-12-02,718.0,748.0,712.4,746.0,741.85,11280.0,82.9
2010-12-03,742.0,742.0,710.0,720.0,719.95,6205.0,44.99
2010-12-06,725.0,728.0,705.0,709.4,707.15,4518.0,32.49
2010-12-07,729.0,729.0,665.0,673.0,671.75,65152.0,444.66
2010-12-08,675.0,681.0,660.0,670.0,670.05,24946.0,167.29
2010-12-09,689.95,689.95,639.0,660.0,661.0,66998.0,440.01
2010-12-10,689.8,699.0,632.0,699.0,687.45,12216.0,81.31
2010-12-13,687.25,709.0,662.25,699.7,698.65,6963.0,47.81
2010-12-14,704.0,709.7,683.0,706.0,705.5,5716.0,40.29
2010-12-15,692.0,700.0,681.4,696.95,690.5,1747.0,12.11
2010-12-16,697.0,697.0,682.05,690.0,688.05,1216.0,8.38
2010-12-20,686.0,698.95,675.0,690.0,688.0,9371.0,64.48
2010-12-21,685.0,698.0,678.1,678.35,684.25,9127.0,62.91
2010-12-22,683.0,694.8,680.0,680.0,681.7,4128.0,28.36
2010-12-23,693.0,703.0,683.5,700.1,701.4,14064.0,98.1
2010-12-24,690.4,703.0,688.05,689.0,693.0,13384.0,93.45
2010-12-27,700.05,709.0,685.15,692.0,689.05,4644.0,32.3
2010-12-28,699.95,709.75,695.15,699.0,699.95,19000.0,133.34
2010-12-29,705.0,709.0,688.5,699.0,699.1,16164.0,112.43
2010-12-30,704.9,705.0,700.0,704.0,703.85,6563.0,46.21
2010-12-31,704.0,707.0,699.9,704.0,703.6,22015.0,155.09
