Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-11-04,291.0,344.9,291.0,342.0,342.55,479716245.0,1570039.58
2010-11-05,343.0,356.5,343.0,348.3,349.85,31927173.0,111674.72
2010-11-08,351.8,355.9,329.5,331.4,330.75,46932779.0,157311.75
2010-11-09,330.15,333.4,325.0,325.4,326.05,23741956.0,77813.83
2010-11-10,325.4,327.8,320.05,321.3,322.8,21057129.0,68179.82
2010-11-11,323.0,336.95,321.85,329.6,328.55,26548372.0,87990.18
2010-11-12,330.0,332.95,318.0,320.55,320.15,15004107.0,48878.72
2010-11-15,321.2,322.9,315.05,318.1,317.2,9917395.0,31675.44
2010-11-16,320.0,323.95,316.1,317.5,318.05,12100114.0,38624.6
2010-11-18,319.6,328.95,310.0,327.3,326.9,23983896.0,76529.41
2010-11-19,330.25,339.95,328.1,329.0,333.55,51723739.0,173672.03
2010-11-22,336.0,337.0,315.0,333.4,333.35,11494521.0,38422.08
2010-11-23,330.5,332.4,317.5,320.0,320.15,13147667.0,42758.39
2010-11-24,329.35,329.35,310.0,310.7,310.8,16243562.0,51077.34
2010-11-25,314.0,318.35,311.1,313.75,313.2,6489260.0,20407.86
2010-11-26,315.0,316.0,301.0,313.5,312.7,13657322.0,42242.44
2010-11-29,311.4,319.7,308.2,319.0,317.45,6493219.0,20390.73
2010-11-30,315.0,319.0,312.0,318.4,317.25,6050064.0,19084.3
2010-12-01,317.0,322.5,315.0,321.3,320.95,5053942.0,16149.11
2010-12-02,322.2,325.95,321.15,324.5,324.85,6143344.0,19909.66
2010-12-03,318.1,325.7,318.1,322.9,321.95,2453815.0,7896.47
2010-12-06,321.0,324.9,318.5,320.3,320.4,2895539.0,9318.36
2010-12-07,320.5,322.75,317.25,320.0,320.0,3484977.0,11164.32
2010-12-08,318.6,322.7,317.25,318.5,318.85,2877153.0,9170.42
2010-12-09,318.0,320.0,309.0,313.6,313.2,5313081.0,16600.27
2010-12-10,312.0,322.0,312.0,316.45,317.3,5799900.0,18432.83
2010-12-13,318.0,324.35,317.0,323.55,323.15,2809522.0,9019.22
2010-12-14,324.45,331.0,322.75,325.3,325.3,7075931.0,23158.72
2010-12-15,325.6,330.0,323.0,328.1,327.85,5380352.0,17629.06
2010-12-16,326.75,327.0,317.4,320.5,320.7,2893052.0,9288.29
2010-12-20,323.0,323.0,315.05,315.15,316.0,2905355.0,9227.49
2010-12-21,318.8,318.8,311.2,312.75,313.3,4427901.0,13905.74
2010-12-22,315.1,319.7,312.7,313.2,314.05,5425074.0,17115.02
2010-12-23,315.05,315.95,312.0,312.45,312.95,3326534.0,10448.28
2010-12-24,313.0,313.9,310.1,312.2,312.15,1859093.0,5803.61
2010-12-27,312.15,314.3,306.5,307.0,307.3,5273320.0,16293.77
2010-12-28,308.0,309.95,301.0,304.4,303.75,8055446.0,24474.44
2010-12-29,306.1,311.4,304.3,310.0,310.25,5772875.0,17794.28
2010-12-30,311.0,311.6,307.0,308.2,308.05,2643251.0,8147.45
2010-12-31,309.5,316.45,308.3,314.0,314.75,4960987.0,15598.99
