Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,2487.05,2551.0,2476.0,2550.0,2544.1,242897.0,6118.63
2010-01-05,2555.0,2639.0,2550.0,2630.0,2628.15,296799.0,7746.9
2010-01-06,2629.9,2756.4,2615.1,2747.0,2736.95,423946.0,11345.54
2010-01-07,2737.0,2747.9,2665.3,2668.0,2674.5,229856.0,6199.22
2010-01-08,2691.0,2776.7,2670.15,2755.0,2757.3,352687.0,9658.08
2010-01-11,2762.0,2834.75,2711.0,2803.95,2812.6,258989.0,7215.29
2010-01-12,2814.95,2832.75,2771.0,2785.15,2796.5,215476.0,6042.95
2010-01-13,2785.0,2861.2,2761.0,2855.0,2831.55,192870.0,5409.03
2010-01-14,2839.9,2889.0,2830.1,2840.0,2842.2,176588.0,5066.43
2010-01-15,2835.1,2873.9,2825.0,2835.0,2847.4,197834.0,5653.09
2010-01-18,2835.0,2838.5,2776.2,2786.2,2787.45,127656.0,3583.87
2010-01-19,2798.0,2809.0,2714.15,2720.0,2720.4,113109.0,3112.98
2010-01-20,2750.0,2754.4,2681.15,2696.1,2694.25,104129.0,2825.72
2010-01-21,2680.0,2731.5,2652.0,2652.0,2660.85,115108.0,3109.32
2010-01-22,2625.0,2650.0,2569.95,2620.3,2619.8,177517.0,4647.7
2010-01-25,2630.0,2655.0,2580.05,2616.0,2623.15,131649.0,3446.12
2010-01-27,2639.0,2639.0,2550.0,2550.0,2569.2,133842.0,3472.61
2010-01-28,2590.0,2624.6,2536.5,2575.0,2591.4,208412.0,5378.33
2010-01-29,2639.85,2639.85,2531.2,2586.0,2599.2,134667.0,3480.6
2010-02-01,2600.0,2680.0,2566.0,2677.8,2661.35,146073.0,3862.68
2010-02-02,2680.1,2715.0,2580.0,2586.0,2609.65,121267.0,3238.97
2010-02-03,2612.1,2698.0,2612.1,2689.0,2686.05,134838.0,3604.86
2010-02-04,2686.5,2709.0,2603.5,2619.7,2635.15,129664.0,3463.04
2010-02-05,2588.7,2607.8,2565.0,2565.0,2575.9,77338.0,2000.56
2010-02-06,2599.0,2599.0,2565.05,2575.0,2585.85,14554.0,376.63
2010-02-08,2570.1,2591.8,2536.1,2555.0,2557.85,118701.0,3038.59
2010-02-09,2559.85,2698.9,2544.75,2677.0,2678.55,179580.0,4725.43
2010-02-10,2685.0,2735.0,2648.2,2704.25,2701.7,274148.0,7406.48
2010-02-11,2719.0,2754.0,2701.0,2701.3,2710.45,276142.0,7536.84
2010-02-15,2705.0,2749.5,2666.15,2686.2,2690.15,139831.0,3779.66
2010-02-16,2700.0,2729.9,2682.4,2725.7,2721.75,224072.0,6076.13
2010-02-17,2740.1,2769.0,2731.0,2735.8,2746.1,222506.0,6124.01
2010-02-18,2740.0,2756.0,2693.25,2705.0,2707.45,116683.0,3184.89
2010-02-19,2690.0,2718.0,2664.05,2671.35,2681.95,108640.0,2924.11
2010-02-22,2719.9,2760.0,2620.0,2635.0,2640.9,98733.0,2651.43
2010-02-23,2640.0,2679.75,2626.05,2658.5,2664.4,102277.0,2728.22
2010-02-24,2655.0,2675.0,2637.1,2653.45,2650.0,86284.0,2288.19
2010-02-25,2655.0,2705.0,2601.1,2684.0,2660.8,178042.0,4698.39
2010-02-26,2665.0,2723.0,2656.15,2690.0,2696.45,326512.0,8811.75
2010-03-02,2710.0,2738.0,2680.0,2715.0,2717.15,385509.0,10501.2
2010-03-03,2716.95,2762.45,2716.95,2755.0,2754.95,331844.0,9138.56
2010-03-04,2760.0,2798.95,2731.0,2789.05,2790.6,210865.0,5856.15
2010-03-05,2800.0,2835.0,2800.0,2815.0,2813.75,164782.0,4648.8
2010-03-08,2820.0,2840.0,2813.15,2820.0,2822.5,185444.0,5242.36
2010-03-09,2824.0,2843.85,2812.2,2831.0,2827.0,85155.0,2407.86
2010-03-10,2825.0,2855.5,2820.1,2849.05,2846.45,143068.0,4074.1
2010-03-11,2846.45,2897.0,2846.45,2895.1,2883.75,155685.0,4471.5
2010-03-12,2890.0,2915.0,2880.0,2881.1,2890.95,172165.0,4984.62
2010-03-15,2860.0,2890.0,2814.0,2881.45,2878.5,92988.0,2673.06
2010-03-16,2870.0,2915.0,2867.0,2902.2,2901.15,104907.0,3034.25
2010-03-17,2905.0,2956.0,2896.15,2916.0,2919.05,237693.0,6970.27
2010-03-18,2925.0,2935.0,2891.1,2895.0,2905.4,191940.0,5590.86
2010-03-19,2988.0,2988.0,2892.0,2910.0,2913.6,89553.0,2610.97
2010-03-22,2900.0,2944.0,2869.0,2883.0,2892.0,90754.0,2646.45
2010-03-23,2890.0,2919.3,2843.0,2846.1,2852.9,105301.0,3024.86
2010-03-25,2850.0,2874.9,2828.5,2860.0,2843.9,126479.0,3597.35
2010-03-26,2850.0,2888.9,2850.0,2873.0,2874.1,85415.0,2455.41
2010-03-29,2890.0,2897.0,2858.2,2869.0,2871.35,128525.0,3703.48
2010-03-30,2865.0,2882.0,2801.0,2801.0,2810.05,81163.0,2307.88
2010-03-31,2816.0,2819.0,2791.0,2818.0,2814.85,93970.0,2639.86
2010-04-01,2816.6,2845.0,2805.0,2820.0,2828.5,72892.0,2064.46
