Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,140.5,144.8,140.05,143.0,142.85,1042676.0,1491.64
2010-01-05,144.7,144.75,141.75,142.7,142.7,551413.0,788.5
2010-01-06,143.9,147.0,142.3,146.05,146.1,995851.0,1449.07
2010-01-07,146.0,147.0,142.0,143.0,142.8,580803.0,833.75
2010-01-08,143.2,144.95,141.8,142.0,142.3,382686.0,546.83
2010-01-11,143.05,143.7,141.05,142.8,142.5,579567.0,825.63
2010-01-12,143.9,143.9,139.0,141.0,139.95,309096.0,437.25
2010-01-13,139.0,142.0,135.95,136.6,137.2,568627.0,783.49
2010-01-14,138.5,140.85,136.7,138.3,137.6,517203.0,715.1
2010-01-15,139.4,144.35,139.4,141.95,141.75,1864430.0,2658.11
2010-01-18,141.5,144.65,139.9,143.2,142.7,691462.0,988.62
2010-01-19,144.9,149.7,143.0,148.5,148.0,1543371.0,2254.58
2010-01-20,150.1,154.7,149.5,152.0,151.9,2238831.0,3427.42
2010-01-21,152.0,155.95,145.0,149.0,147.2,1115507.0,1676.14
2010-01-22,145.0,152.0,142.0,151.5,150.6,762809.0,1123.69
2010-01-25,151.0,152.0,142.6,143.35,144.85,660970.0,967.88
2010-01-27,143.0,143.9,136.75,139.35,140.15,1038743.0,1460.33
2010-01-28,142.0,147.0,140.55,146.8,145.6,793199.0,1151.83
2010-01-29,142.0,148.9,139.3,147.9,147.9,904441.0,1304.59
2010-02-01,147.7,149.9,145.0,148.8,148.55,417317.0,616.16
2010-02-02,150.0,153.65,149.1,151.4,151.55,877414.0,1326.91
2010-02-03,152.5,159.65,152.5,156.9,156.25,2106019.0,3316.51
2010-02-04,156.5,156.5,153.95,154.9,155.05,955491.0,1483.61
2010-02-05,150.0,152.8,143.35,146.85,146.1,898213.0,1319.77
2010-02-06,147.4,150.9,147.4,150.05,149.55,60791.0,90.56
2010-02-08,151.7,151.7,144.0,148.75,148.35,533258.0,784.36
2010-02-09,147.8,152.8,145.75,152.0,151.0,751119.0,1124.88
2010-02-10,152.0,153.0,149.05,150.3,150.15,395238.0,595.75
2010-02-11,151.0,151.85,149.1,149.6,149.85,205608.0,309.28
2010-02-15,149.85,152.0,148.95,151.1,149.85,204309.0,306.69
2010-02-16,150.3,151.95,149.55,151.4,151.05,319679.0,482.61
2010-02-17,152.6,156.3,151.05,152.75,153.8,584525.0,902.52
2010-02-18,152.1,154.9,151.6,154.75,153.75,607890.0,930.52
2010-02-19,151.35,156.95,151.35,155.6,155.55,632934.0,973.65
2010-02-22,158.5,160.8,154.0,154.1,154.6,342134.0,533.26
2010-02-23,154.6,154.6,147.15,148.4,148.55,1220032.0,1823.65
2010-02-24,148.0,151.1,146.3,150.0,149.95,723246.0,1083.77
2010-02-25,151.45,151.45,146.15,147.5,147.0,307061.0,456.03
2010-02-26,147.0,152.9,146.15,147.3,148.9,677344.0,1011.24
2010-03-02,150.6,155.9,149.6,153.5,152.5,1168171.0,1782.06
2010-03-03,153.95,167.3,152.7,166.95,164.8,2258245.0,3644.54
2010-03-04,166.0,168.4,158.1,159.9,159.55,1517950.0,2493.03
2010-03-05,160.05,162.95,157.85,158.0,159.75,857824.0,1380.37
2010-03-08,161.4,161.95,157.55,160.2,159.0,551828.0,883.1
2010-03-09,161.0,161.0,155.0,155.55,155.35,317483.0,497.31
2010-03-10,157.0,163.65,156.35,162.4,162.95,1022096.0,1646.16
2010-03-11,163.5,163.8,154.6,155.3,155.55,691260.0,1091.12
2010-03-12,156.75,162.7,156.5,161.8,162.1,1126288.0,1805.07
2010-03-15,160.1,161.45,158.0,160.45,160.35,250539.0,400.82
2010-03-16,159.0,167.0,159.0,165.3,165.5,983978.0,1615.05
2010-03-17,167.05,169.7,164.6,168.1,168.0,1147875.0,1925.39
2010-03-18,169.0,171.2,165.25,170.15,170.0,1357236.0,2294.91
2010-03-19,170.0,174.9,167.7,174.25,174.25,1241408.0,2150.46
2010-03-22,167.75,171.95,165.0,168.45,168.05,1056589.0,1775.26
2010-03-23,169.1,172.5,167.0,168.95,169.4,603425.0,1026.02
2010-03-25,169.4,171.95,169.0,170.9,170.75,294993.0,502.94
2010-03-26,169.7,179.0,169.7,178.55,178.25,894845.0,1570.06
2010-03-29,180.95,185.45,177.55,181.4,179.75,2037744.0,3702.96
2010-03-30,181.0,183.45,167.2,173.75,171.4,776190.0,1366.87
2010-03-31,173.5,175.8,168.85,171.5,170.1,438401.0,754.54
2010-04-01,171.0,177.9,171.0,177.4,177.2,431262.0,756.79
2010-04-05,177.1,182.9,177.1,181.1,180.8,1308907.0,2370.2
2010-04-06,182.4,182.9,179.1,181.25,180.35,1212356.0,2187.34
2010-04-07,180.8,184.6,179.15,179.9,180.0,541218.0,986.57
2010-04-08,177.75,181.95,176.95,178.05,178.5,356217.0,638.19
2010-04-09,179.0,181.7,178.5,179.0,178.8,258720.0,465.35
2010-04-12,179.0,181.0,176.0,177.5,177.1,232898.0,414.94
2010-04-13,178.45,182.35,176.3,181.5,181.15,451685.0,811.1
2010-04-15,183.0,183.7,178.25,179.7,179.95,552758.0,996.04
2010-04-16,182.0,184.0,174.15,176.4,176.35,2936842.0,5245.99
2010-04-19,180.0,184.25,172.2,183.05,182.1,2275598.0,4109.94
2010-04-20,183.0,185.95,179.65,183.7,184.15,1152243.0,2126.68
2010-04-21,184.9,194.9,183.7,194.6,193.85,2206666.0,4212.1
2010-04-22,193.0,196.45,189.0,190.25,189.9,724389.0,1389.72
2010-04-23,190.5,191.8,189.05,190.2,190.2,1342164.0,2552.83
2010-04-26,192.4,194.75,191.0,191.0,191.8,319104.0,614.78
2010-04-27,192.9,192.9,188.9,191.2,191.0,223929.0,426.56
2010-04-28,186.35,189.5,185.55,187.75,186.8,466426.0,872.61
2010-04-29,188.0,193.75,186.6,192.75,192.65,524902.0,998.64
2010-04-30,194.2,195.0,191.6,194.05,193.9,445536.0,862.7
2010-05-03,191.55,196.75,188.25,189.0,189.6,380979.0,728.11
2010-05-04,193.3,193.3,188.65,191.7,190.9,367751.0,703.5
2010-05-05,187.5,192.4,184.6,191.9,191.55,475360.0,896.23
2010-05-06,192.0,194.35,186.55,186.6,187.65,618201.0,1171.31
2010-05-07,184.7,186.95,178.25,178.5,179.5,547166.0,997.14
2010-05-10,180.6,186.6,180.25,181.9,181.65,645467.0,1178.92
2010-05-11,183.7,185.4,178.7,180.3,180.15,411451.0,749.63
2010-05-12,179.55,185.9,177.0,185.1,185.0,558173.0,1020.08
2010-05-13,186.4,187.35,181.25,185.75,185.2,366865.0,678.01
2010-05-14,185.0,185.4,182.8,184.7,184.65,236616.0,436.01
2010-05-17,182.0,185.9,174.1,179.55,180.05,565967.0,1010.29
2010-05-18,179.3,189.95,179.3,189.0,188.2,755224.0,1410.29
2010-05-19,187.0,191.9,180.0,180.8,180.8,675804.0,1251.21
2010-05-20,182.7,207.0,181.15,196.85,196.2,3019195.0,5928.99
2010-05-21,194.0,194.6,183.05,185.6,185.6,1266414.0,2366.24
2010-05-24,187.7,193.4,186.0,186.6,187.1,1162938.0,2212.64
2010-05-25,187.0,189.8,176.5,182.2,179.5,912161.0,1661.82
2010-05-26,183.6,185.9,177.1,177.15,178.3,4798012.0,8644.04
2010-05-27,178.5,188.3,178.5,187.45,187.35,3913662.0,7175.24
2010-05-28,187.0,194.7,187.0,194.7,191.9,2801348.0,5310.0
2010-05-31,193.55,199.0,190.05,197.0,196.1,1019093.0,1978.87
2010-06-01,196.2,197.55,185.15,187.0,187.0,894700.0,1692.42
2010-06-02,187.8,189.8,182.1,185.1,185.5,859331.0,1598.53
2010-06-03,188.4,190.7,185.15,186.55,187.15,2025558.0,3792.5
2010-06-04,188.5,190.95,186.1,190.55,190.35,602858.0,1143.09
2010-06-07,184.9,190.9,184.1,186.3,186.25,409845.0,766.71
2010-06-08,186.65,188.4,181.25,182.0,182.0,435836.0,804.9
2010-06-09,183.0,184.6,179.0,181.15,181.55,399187.0,726.33
2010-06-10,182.0,183.2,180.0,181.7,181.65,426924.0,774.87
2010-06-11,183.65,194.45,183.65,190.6,191.05,2215166.0,4220.92
2010-06-14,191.25,195.8,191.25,194.1,194.3,767895.0,1488.95
2010-06-15,195.7,195.9,189.75,191.6,192.25,722625.0,1381.95
2010-06-16,194.0,196.35,189.1,189.6,190.1,882500.0,1687.6
2010-06-17,189.25,195.1,187.55,193.15,192.65,501562.0,965.76
2010-06-18,192.05,195.9,192.05,195.1,195.25,766312.0,1493.63
2010-06-21,196.55,204.7,196.0,200.9,200.65,1497154.0,2997.14
2010-06-22,201.0,212.0,201.0,207.95,206.4,4075681.0,8469.44
2010-06-23,207.05,208.0,201.25,202.8,202.05,360762.0,736.56
2010-06-24,203.9,204.5,197.25,199.1,199.8,879714.0,1751.11
2010-06-25,199.5,202.5,196.0,196.65,196.5,393768.0,782.01
2010-06-28,195.2,203.35,195.2,200.5,200.5,562615.0,1123.81
2010-06-29,200.8,208.25,200.0,205.65,205.6,1010248.0,2070.93
2010-06-30,196.4,207.0,196.4,205.25,205.25,529019.0,1084.05
2010-07-01,204.0,207.35,203.0,205.75,205.55,286309.0,587.64
2010-07-02,205.55,208.5,204.9,205.9,205.95,340941.0,704.41
2010-07-05,205.0,209.9,205.0,206.7,207.8,399260.0,830.19
2010-07-06,207.75,210.9,207.6,210.1,210.15,497781.0,1043.73
2010-07-07,212.0,215.0,209.5,210.25,210.35,815717.0,1732.24
2010-07-08,213.0,220.8,213.0,219.0,218.85,1234906.0,2691.34
2010-07-09,221.4,225.4,210.65,215.0,215.1,2980002.0,6499.06
2010-07-12,216.0,219.75,212.65,212.95,214.55,1077564.0,2332.81
2010-07-13,214.0,214.65,210.3,211.55,211.4,373880.0,791.09
2010-07-14,215.0,216.5,208.0,209.0,208.9,662209.0,1405.8
