Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,1538.0,1538.0,1501.1,1508.55,1507.35,83117.0,1256.65
2010-01-05,1522.0,1558.8,1513.05,1555.0,1552.65,123199.0,1886.25
2010-01-06,1555.05,1581.5,1532.1,1570.0,1572.8,188249.0,2945.87
2010-01-07,1578.95,1578.95,1533.35,1540.0,1548.85,92310.0,1437.54
2010-01-08,1555.8,1605.0,1550.05,1569.2,1574.95,329808.0,5212.99
2010-01-11,1585.7,1594.4,1564.85,1575.5,1574.7,103297.0,1626.1
2010-01-12,1574.7,1589.8,1548.0,1577.7,1571.8,153408.0,2403.7
2010-01-13,1555.0,1573.65,1528.35,1550.0,1547.8,93488.0,1445.62
2010-01-14,1570.0,1581.0,1550.25,1557.0,1559.5,152030.0,2375.33
2010-01-15,1555.0,1567.5,1520.0,1524.0,1525.1,116556.0,1786.51
2010-01-18,1525.0,1547.85,1510.0,1515.0,1516.45,156122.0,2390.99
2010-01-19,1527.0,1527.0,1473.1,1480.15,1485.9,85262.0,1277.81
2010-01-20,1480.05,1493.8,1465.8,1477.0,1473.35,159656.0,2355.17
2010-01-21,1473.0,1493.8,1455.0,1455.0,1464.85,141740.0,2100.08
2010-01-22,1450.0,1450.0,1400.0,1430.0,1432.0,342349.0,4889.0
2010-01-25,1444.5,1456.0,1400.0,1440.0,1444.5,219632.0,3161.62
2010-01-27,1436.0,1444.85,1402.9,1420.0,1421.0,276758.0,3933.21
2010-01-28,1425.0,1489.95,1410.1,1432.35,1446.2,339969.0,4929.78
2010-01-29,1420.0,1525.0,1420.0,1490.0,1473.05,331405.0,4802.83
2010-02-01,1446.25,1524.9,1433.6,1500.0,1506.5,268844.0,4020.89
2010-02-02,1518.0,1538.05,1485.1,1505.05,1513.6,293951.0,4458.4
2010-02-03,1516.0,1535.0,1497.1,1500.0,1501.45,122459.0,1859.53
2010-02-04,1512.0,1515.0,1470.0,1494.0,1499.15,537830.0,8064.92
2010-02-05,1490.0,1499.7,1456.0,1460.0,1473.9,362552.0,5378.29
