Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2011-01-03,662.0,669.9,655.8,658.3,659.95,732616.0,4862.31
2011-01-04,661.0,664.0,650.05,653.45,653.55,679992.0,4474.88
2011-01-05,655.0,662.1,631.0,632.2,632.55,954860.0,6151.69
2011-01-06,636.0,637.0,613.55,617.95,618.75,1067995.0,6637.71
2011-01-07,619.0,627.5,615.0,616.9,616.95,428614.0,2658.4
2011-01-10,619.05,621.65,601.05,601.95,605.35,449454.0,2736.52
2011-01-11,603.5,618.0,593.0,616.0,609.8,536574.0,3259.88
2011-01-12,608.0,626.0,594.1,616.5,618.9,787024.0,4808.51
2011-01-13,619.0,619.05,594.6,598.65,597.9,798734.0,4834.11
2011-01-14,595.0,606.0,588.0,593.85,593.85,642072.0,3818.31
2011-01-17,613.9,616.6,583.15,586.0,585.6,991618.0,5930.08
2011-01-18,589.0,594.7,583.3,592.75,589.4,210208.0,1235.82
2011-01-19,589.4,598.4,581.1,584.0,584.3,364664.0,2154.48
2011-01-20,582.2,582.2,572.4,575.5,575.5,373300.0,2149.64
2011-01-21,573.15,593.8,565.15,592.0,590.9,661927.0,3879.92
2011-01-24,592.35,604.75,590.95,600.9,601.2,543812.0,3254.56
2011-01-25,605.8,635.7,602.5,630.0,630.95,1569587.0,9792.11
2011-01-27,633.0,645.0,616.4,632.1,636.7,1157797.0,7302.75
2011-01-28,639.9,639.9,620.2,631.0,632.45,309424.0,1943.31
2011-01-31,623.3,627.5,603.0,608.6,613.0,636624.0,3918.13
2011-02-01,604.85,633.0,576.05,576.5,580.5,827100.0,4872.28
2011-02-02,584.05,607.0,571.0,591.0,593.65,1162223.0,6908.69
2011-02-03,589.65,644.4,582.0,595.9,595.6,396788.0,2351.18
2011-02-04,592.4,607.5,585.1,590.0,588.45,334716.0,1992.95
2011-02-07,595.15,603.0,585.1,597.0,594.9,1066068.0,6325.39
2011-02-08,602.0,615.2,595.45,598.0,599.4,623000.0,3778.56
2011-02-09,599.2,601.8,576.1,587.9,584.95,605822.0,3563.94
2011-02-10,584.95,592.75,578.05,586.8,585.55,356996.0,2089.67
2011-02-11,585.0,592.8,547.3,592.8,582.95,845347.0,4792.9
2011-02-14,580.25,611.0,580.25,604.0,603.65,443906.0,2665.07
2011-02-15,608.8,621.0,600.0,606.5,603.9,745091.0,4563.21
2011-02-16,606.0,614.4,600.95,603.9,603.5,388939.0,2365.36
2011-02-17,605.9,617.8,592.0,615.0,615.4,745612.0,4532.41
2011-02-18,615.0,616.0,590.1,590.6,591.75,406274.0,2441.27
2011-02-21,590.0,592.0,576.75,587.0,589.5,336039.0,1958.43
2011-02-22,577.0,577.0,560.25,570.95,570.25,574498.0,3278.36
2011-02-23,561.0,568.3,557.15,562.1,562.75,525849.0,2960.6
2011-02-24,555.1,557.85,529.35,541.8,539.65,1272086.0,6903.74
2011-02-25,546.8,554.0,530.4,540.3,539.1,869894.0,4699.46
2011-02-28,541.6,564.9,538.2,557.0,553.45,716283.0,3972.19
2011-03-01,558.0,586.95,558.0,586.1,584.35,712513.0,4083.72
2011-03-03,569.0,592.5,561.25,571.9,570.8,770372.0,4429.29
2011-03-04,583.3,589.25,567.2,583.4,580.0,705367.0,4092.47
2011-03-07,560.0,570.0,553.0,557.0,556.6,395314.0,2218.78
2011-03-08,560.0,565.7,555.3,560.75,561.8,519044.0,2912.82
2011-03-09,569.8,572.45,543.0,551.0,551.5,1121181.0,6205.02
2011-03-10,545.0,547.85,538.1,543.55,543.35,742429.0,4027.65
2011-03-11,548.4,554.75,538.25,548.1,545.85,914661.0,4996.61
2011-03-14,551.5,572.9,551.2,571.4,570.45,795184.0,4468.2
2011-03-15,567.0,578.15,557.6,571.0,570.7,856206.0,4891.39
2011-03-16,580.0,590.0,573.3,575.25,576.55,732720.0,4271.57
2011-03-17,566.5,579.3,566.5,575.5,573.95,186294.0,1069.58
2011-03-18,562.5,567.9,555.0,556.8,558.85,364560.0,2046.21
2011-03-21,558.85,571.0,553.1,563.35,563.85,433870.0,2441.94
2011-03-22,563.5,568.0,557.9,566.0,565.7,234444.0,1318.92
2011-03-23,563.4,574.0,557.2,571.05,572.3,356756.0,2019.92
2011-03-24,572.3,581.5,567.2,579.0,577.25,254947.0,1463.97
2011-03-25,577.0,597.4,571.25,589.8,592.4,385369.0,2247.68
2011-03-28,594.0,599.5,583.0,586.2,588.6,345110.0,2046.2
2011-03-29,591.9,618.0,590.2,609.0,612.45,643376.0,3899.72
2011-03-30,614.9,619.7,605.75,609.9,613.55,578980.0,3550.7
2011-03-31,611.0,623.7,603.05,610.1,611.85,656036.0,4024.26
2011-04-01,601.5,608.95,597.25,606.6,605.9,275623.0,1663.95
2011-04-04,598.1,605.4,595.1,598.95,598.2,383212.0,2301.8
2011-04-05,595.4,602.0,592.7,595.35,595.3,339109.0,2021.3
2011-04-06,598.1,613.0,596.8,605.0,603.0,831521.0,5051.55
2011-04-07,605.0,616.8,603.05,614.0,613.8,554065.0,3396.49
2011-04-08,608.5,609.85,596.1,598.5,602.1,477825.0,2875.98
2011-04-11,589.5,592.7,586.15,586.15,587.5,319815.0,1882.97
2011-04-13,591.3,605.8,591.3,599.5,601.2,751188.0,4505.94
2011-04-15,595.6,603.5,590.5,597.3,599.4,340300.0,2036.58
2011-04-18,598.3,603.0,585.0,586.8,589.15,343149.0,2035.71
2011-04-19,592.0,607.9,585.5,605.0,605.1,650847.0,3877.75
2011-04-20,606.0,619.9,599.25,615.55,617.65,634561.0,3884.12
2011-04-21,610.05,621.8,608.8,617.5,619.75,270310.0,1662.79
2011-04-25,612.1,622.7,612.1,615.5,618.45,172758.0,1067.18
2011-04-26,627.0,633.7,622.0,627.2,630.0,505823.0,3182.27
2011-04-27,629.0,637.0,627.1,630.5,631.45,489575.0,3089.5
2011-04-28,635.0,637.0,627.0,635.5,634.65,276310.0,1749.06
2011-04-29,637.0,637.9,625.4,627.0,629.55,212050.0,1337.76
2011-05-02,630.0,644.4,626.2,633.7,633.4,565236.0,3598.32
2011-05-03,636.0,640.85,625.2,630.0,629.35,577027.0,3645.69
2011-05-04,634.7,664.0,631.25,655.65,654.5,1712087.0,11126.29
2011-05-05,660.0,665.0,641.05,643.95,643.35,657993.0,4298.37
2011-05-06,658.2,674.5,655.2,665.0,666.05,1611908.0,10704.02
2011-05-09,669.0,669.9,650.1,655.3,655.0,596715.0,3924.31
2011-05-10,660.65,664.85,637.35,646.6,651.55,1021703.0,6690.39
2011-05-11,649.0,662.0,640.0,658.55,658.9,935643.0,6126.85
2011-05-12,658.0,666.9,657.15,660.95,660.6,547274.0,3626.44
2011-05-13,667.0,667.0,649.35,662.0,660.4,1034859.0,6807.41
2011-05-16,675.0,680.6,644.95,665.0,652.35,1388353.0,9147.95
2011-05-17,658.9,661.2,642.35,645.2,645.2,527827.0,3424.83
2011-05-18,647.5,647.5,610.5,624.25,618.45,608070.0,3811.49
2011-05-19,625.0,627.0,615.0,617.95,617.75,317063.0,1964.12
2011-05-20,620.5,631.0,617.05,626.0,625.7,391269.0,2449.78
2011-05-23,626.1,632.45,612.0,624.0,629.3,573975.0,3588.53
2011-05-24,628.0,630.0,618.2,619.2,619.9,218591.0,1360.52
2011-05-25,619.9,620.0,600.1,601.05,603.75,223577.0,1357.0
2011-05-26,605.0,623.5,595.0,616.2,616.2,650772.0,3944.77
2011-05-27,618.05,632.8,617.25,629.0,628.15,970097.0,6050.63
2011-05-30,634.6,636.15,624.0,625.25,627.25,932927.0,5874.39
2011-05-31,632.7,635.0,627.7,633.2,633.0,470813.0,2975.63
2011-06-01,628.1,638.0,626.05,631.9,632.55,671985.0,4243.67
2011-06-02,629.75,638.55,625.7,626.5,628.65,549358.0,3471.71
2011-06-03,630.1,632.2,617.3,622.0,621.2,305897.0,1909.78
2011-06-06,621.7,621.7,610.0,610.55,612.05,306468.0,1877.59
2011-06-07,613.0,617.0,608.2,616.8,614.0,498878.0,3058.73
2011-06-08,612.1,625.3,610.05,624.1,624.75,552997.0,3438.51
2011-06-09,620.0,620.0,611.1,612.1,612.95,184478.0,1131.68
2011-06-10,609.85,611.8,603.7,607.9,605.9,207502.0,1260.43
2011-06-13,611.0,617.9,607.15,617.2,615.0,268107.0,1647.45
2011-06-14,620.0,622.95,616.0,616.0,617.15,219514.0,1359.24
2011-06-15,619.85,623.8,613.0,619.05,619.05,213969.0,1325.16
2011-06-16,622.0,632.85,621.1,629.0,629.7,564509.0,3537.9
2011-06-17,630.0,638.1,620.2,627.6,630.9,816304.0,5146.4
2011-06-20,635.0,636.4,598.2,627.3,627.65,608183.0,3785.09
2011-06-21,622.75,629.9,615.5,615.5,618.25,287709.0,1787.58
2011-06-22,620.0,625.05,611.15,615.0,615.7,158754.0,982.56
2011-06-23,616.55,634.25,606.75,617.75,617.2,832161.0,5186.77
2011-06-24,630.0,641.35,625.85,637.0,634.7,1685449.0,10679.32
2011-06-27,656.9,686.7,655.1,664.6,663.95,3228989.0,21625.11
2011-06-28,666.9,669.65,649.0,650.0,651.75,511812.0,3346.05
2011-06-29,651.05,653.3,637.2,646.0,643.9,505289.0,3263.51
2011-06-30,640.0,657.05,630.55,647.95,650.25,1067250.0,6868.46
2011-07-01,650.95,651.0,641.05,645.45,645.15,253109.0,1632.61
2011-07-04,647.85,651.2,637.0,645.5,646.95,292775.0,1892.84
2011-07-05,641.0,662.5,641.0,659.0,659.0,771432.0,5068.9
2011-07-06,653.4,654.0,642.0,650.0,651.05,331348.0,2148.69
2011-07-07,648.1,665.4,648.1,664.0,664.05,379390.0,2500.38
2011-07-08,658.65,796.9,648.15,664.0,669.25,1270739.0,8444.47
2011-07-11,665.0,674.95,661.35,665.3,667.1,275578.0,1845.75
2011-07-12,668.45,677.95,662.95,666.1,668.15,420832.0,2822.66
2011-07-13,669.85,673.9,665.05,668.0,668.75,617526.0,4130.78
2011-07-14,661.0,673.9,661.0,666.35,666.9,288345.0,1925.98
2011-07-15,673.95,676.9,668.0,673.4,672.05,440178.0,2962.79
2011-07-18,666.15,674.9,666.15,672.45,672.8,317917.0,2137.5
2011-07-19,674.5,676.7,668.55,671.05,672.05,323843.0,2179.38
2011-07-20,670.05,672.0,663.6,666.5,667.5,249856.0,1668.47
2011-07-21,660.0,666.65,658.1,660.0,660.7,191416.0,1266.37
2011-07-22,661.0,671.35,654.3,671.25,668.95,388649.0,2597.48
2011-07-25,666.0,676.0,666.0,671.0,671.3,205561.0,1382.35
2011-07-26,669.0,674.8,658.0,660.1,662.35,390734.0,2584.19
2011-07-27,666.0,666.0,655.3,659.55,658.7,132488.0,873.65
2011-07-28,659.35,663.9,652.0,655.0,654.4,260171.0,1704.89
2011-07-29,659.9,661.4,651.0,658.0,657.85,201224.0,1321.53
2011-08-01,661.1,665.3,652.0,654.8,655.3,157105.0,1033.82
2011-08-02,651.45,662.0,651.45,657.7,657.95,338937.0,2228.59
2011-08-03,657.8,670.0,657.0,669.5,665.75,366860.0,2430.49
2011-08-04,671.5,694.5,670.55,689.0,688.6,819353.0,5600.4
2011-08-05,688.0,709.0,686.0,701.5,702.3,1493199.0,10466.86
2011-08-08,705.0,714.45,698.0,700.6,702.95,704568.0,4987.59
2011-08-09,703.9,712.85,686.6,687.25,692.1,995005.0,6963.01
2011-08-10,694.0,699.0,679.95,695.0,693.7,546719.0,3755.04
2011-08-11,690.0,696.4,686.6,688.0,689.9,451538.0,3121.4
2011-08-12,689.9,694.9,682.1,688.8,690.85,965680.0,6650.98
2011-08-16,683.15,693.35,681.6,688.0,687.85,328703.0,2261.44
2011-08-17,687.75,699.0,681.75,683.7,685.5,513874.0,3544.19
2011-08-18,684.2,687.8,674.0,680.0,679.3,118124.0,804.45
2011-08-19,684.95,694.0,679.1,679.55,681.75,606781.0,4153.34
2011-08-22,683.55,694.25,683.2,694.0,691.0,419608.0,2892.29
2011-08-23,696.0,697.5,684.0,688.0,688.15,302888.0,2089.46
