Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2011-01-03,392.5,400.4,391.2,396.5,396.15,955669.0,3793.95
2011-01-04,396.2,397.5,391.5,392.45,392.15,1055830.0,4148.71
2011-01-05,394.6,398.7,389.65,391.35,391.5,1159102.0,4548.36
2011-01-06,391.5,392.9,386.15,386.35,387.4,1289269.0,5031.5
2011-01-07,389.0,394.0,385.0,389.5,390.05,1395302.0,5454.54
2011-01-10,391.0,391.0,378.5,380.1,380.05,479851.0,1834.35
2011-01-11,377.0,385.8,373.2,384.5,380.9,613294.0,2329.7
2011-01-12,380.0,384.05,374.1,380.5,382.05,539643.0,2047.42
2011-01-13,382.25,382.25,359.5,361.8,362.55,824485.0,3030.46
2011-01-14,363.0,369.5,355.1,360.15,359.95,544732.0,1977.29
2011-01-17,371.1,403.0,356.65,358.9,358.45,676251.0,2466.37
2011-01-18,359.0,364.0,353.25,360.25,358.35,234772.0,838.71
2011-01-19,360.0,365.3,356.1,360.2,359.55,275907.0,996.96
2011-01-20,355.25,358.4,347.8,351.65,352.1,484855.0,1708.44
2011-01-21,350.05,368.05,348.9,366.25,366.95,1407118.0,5121.02
2011-01-24,368.0,372.4,364.55,368.3,369.75,809740.0,2985.35
2011-01-25,372.1,385.5,371.5,379.95,378.65,1803439.0,6851.56
2011-01-27,382.0,383.35,359.1,366.0,361.75,3108679.0,11316.12
2011-01-28,362.35,367.8,351.85,366.2,365.2,858905.0,3103.0
2011-01-31,361.1,364.0,350.1,358.85,359.1,1194764.0,4275.01
2011-02-01,358.0,358.0,342.1,343.0,345.55,561064.0,1953.28
2011-02-02,346.7,352.9,336.3,339.9,341.3,1286579.0,4440.94
2011-02-03,340.5,344.1,333.95,340.6,340.85,612341.0,2080.96
2011-02-04,341.0,349.35,337.25,339.25,340.75,497389.0,1712.43
2011-02-07,343.0,348.95,337.0,348.95,347.55,626885.0,2167.99
2011-02-08,352.0,354.8,344.1,344.35,347.2,626194.0,2181.8
2011-02-09,344.35,351.35,333.1,340.0,337.8,907770.0,3108.9
2011-02-10,339.1,344.0,336.15,342.0,340.45,673124.0,2290.68
2011-02-11,341.15,343.9,325.6,343.5,341.4,689146.0,2304.83
2011-02-14,340.1,355.9,340.1,352.0,352.1,782439.0,2750.02
2011-02-15,355.35,363.8,349.15,352.5,352.85,1006435.0,3598.42
2011-02-16,356.05,361.0,354.1,356.45,356.15,472957.0,1693.74
2011-02-17,356.1,359.9,350.0,354.65,355.55,580733.0,2059.76
2011-02-18,356.0,358.4,340.65,341.0,341.65,347219.0,1206.64
2011-02-21,341.0,341.0,332.3,336.75,336.95,451757.0,1513.32
2011-02-22,330.0,332.0,320.05,320.85,321.9,866921.0,2824.35
2011-02-23,318.0,324.0,314.9,319.0,319.6,583867.0,1867.43
2011-02-24,317.5,317.6,303.85,311.0,308.85,3248410.0,10082.42
2011-02-25,314.8,321.45,307.6,313.55,312.35,603899.0,1903.73
2011-02-28,313.8,327.8,313.8,320.2,320.3,1398857.0,4480.71
2011-03-01,327.95,330.5,322.3,326.25,328.2,1718497.0,5627.61
2011-03-03,325.0,335.8,317.15,323.7,323.45,1887050.0,6162.44
2011-03-04,328.7,335.0,323.0,330.7,329.45,1383755.0,4556.55
2011-03-07,313.15,322.85,313.15,319.0,318.65,640124.0,2036.16
