Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2011-01-03,98.45,98.75,97.85,98.0,98.3,3198645.0,3146.36
2011-01-04,98.45,98.9,97.75,98.2,98.4,5556777.0,5466.12
2011-01-05,98.4,98.85,97.7,98.0,98.1,3688825.0,3630.57
2011-01-06,98.2,99.75,97.8,98.9,99.0,9515665.0,9428.18
2011-01-07,99.0,99.9,97.15,97.45,97.85,8873898.0,8802.88
2011-01-10,97.8,98.6,95.95,96.05,96.15,6607745.0,6445.77
2011-01-11,96.8,98.0,95.2,96.65,96.05,4726603.0,4570.48
2011-01-12,96.7,97.45,95.5,97.1,97.25,3012875.0,2908.8
2011-01-13,97.2,97.45,96.45,96.85,96.75,3285003.0,3178.9
2011-01-14,96.5,99.15,96.25,97.05,97.6,7660790.0,7528.67
2011-01-17,96.5,98.0,95.65,97.5,97.75,5750250.0,5586.74
2011-01-18,97.2,98.9,97.2,98.7,98.65,4795372.0,4703.85
2011-01-19,97.85,99.0,97.4,97.5,97.9,4602173.0,4523.72
2011-01-20,97.0,99.0,97.0,98.95,98.9,4563782.0,4485.53
2011-01-21,98.25,99.0,97.9,98.85,98.85,4085723.0,4026.93
2011-01-24,98.15,99.25,97.9,98.55,98.55,5951414.0,5877.59
2011-01-25,99.0,99.45,98.05,98.4,98.4,3248007.0,3209.71
2011-01-27,98.3,99.5,93.15,98.2,98.8,11986031.0,11854.0
2011-01-28,98.5,98.8,95.2,96.7,96.55,6840734.0,6601.95
2011-01-31,95.85,98.4,95.2,96.85,96.55,5834473.0,5659.84
2011-02-01,97.0,97.6,95.5,95.55,95.65,3198274.0,3073.56
2011-02-02,96.05,96.5,94.35,95.25,95.55,5489726.0,5252.72
2011-02-03,95.5,98.95,95.05,98.55,98.65,4653190.0,4546.84
2011-02-04,98.45,100.2,97.15,97.55,97.3,7641970.0,7548.78
2011-02-07,97.35,98.5,96.5,98.1,97.8,5667580.0,5527.39
2011-02-08,99.0,99.0,95.45,95.9,95.7,3920205.0,3813.07
2011-02-09,97.0,97.2,94.75,96.5,95.9,8951780.0,8591.4
2011-02-10,95.65,97.25,95.05,95.25,95.4,8460605.0,8129.67
2011-02-11,96.5,97.5,95.75,96.5,96.4,9018066.0,8697.43
2011-02-14,96.55,99.25,96.05,98.5,98.55,5314679.0,5206.5
2011-02-15,98.5,99.25,97.8,98.5,98.75,3742421.0,3697.59
2011-02-16,98.45,98.8,98.2,98.5,98.6,1727333.0,1702.23
2011-02-17,98.6,98.95,98.25,98.75,98.6,1356097.0,1337.29
2011-02-18,98.6,99.0,97.2,97.6,98.1,4490350.0,4424.24
2011-02-21,97.05,99.0,97.05,99.0,98.95,5106792.0,5028.2
2011-02-22,98.5,98.9,97.8,98.9,98.45,3550247.0,3487.15
2011-02-23,98.5,100.25,98.5,99.55,99.6,16054865.0,15995.3
2011-02-24,99.5,100.0,96.9,98.4,98.25,8025658.0,7888.94
2011-02-25,98.55,99.85,96.45,99.5,99.2,17975050.0,17744.59
2011-02-28,100.3,104.4,97.7,98.15,98.95,72110146.0,72245.79
2011-03-01,99.5,100.1,98.0,99.75,99.5,12428736.0,12315.94
2011-03-03,98.55,100.9,98.55,99.05,99.3,6781331.0,6784.26
2011-03-04,99.3,99.95,98.65,99.0,99.0,3261213.0,3229.02
2011-03-07,98.9,98.9,96.1,98.25,98.05,3850368.0,3749.7
2011-03-08,98.0,98.9,95.7,97.9,97.95,4668706.0,4556.48
2011-03-09,98.0,98.5,97.6,98.05,98.05,2803553.0,2747.03
2011-03-10,98.0,98.9,97.3,98.25,98.4,2792070.0,2741.91
2011-03-11,97.5,98.6,97.5,98.2,98.05,3458392.0,3390.89
2011-03-14,97.65,99.1,97.65,98.8,98.8,2668284.0,2628.1
2011-03-15,97.85,98.25,97.05,98.2,97.75,4115298.0,4026.83
2011-03-16,98.05,99.0,98.0,98.45,98.6,1995860.0,1967.81
2011-03-17,97.8,98.55,97.8,98.45,98.35,2425792.0,2382.81
2011-03-18,98.5,99.0,97.6,97.6,97.95,4283220.0,4202.17
2011-03-21,97.8,98.1,97.25,97.5,97.4,1953594.0,1904.37
2011-03-22,97.9,97.9,96.8,97.3,97.35,1989022.0,1936.87
2011-03-23,97.35,98.35,97.1,97.6,97.45,3181001.0,3102.17
2011-03-24,98.0,98.2,97.15,98.2,97.95,4391768.0,4290.13
2011-03-25,98.2,98.4,97.55,98.35,98.15,4838959.0,4740.21
2011-03-28,98.05,99.4,97.9,99.35,99.1,6474278.0,6392.05
2011-03-29,99.1,100.35,98.75,99.9,99.8,5054255.0,5043.49
2011-03-30,100.0,101.35,99.85,101.0,101.0,2718329.0,2732.61
2011-03-31,101.0,102.85,100.3,101.0,101.9,8801686.0,8935.52
2011-04-01,101.35,105.5,101.35,105.05,104.85,12439676.0,12973.6
2011-04-04,104.2,107.25,104.2,105.7,105.9,5659208.0,6000.91
2011-04-05,105.5,106.25,104.15,105.0,105.2,4360658.0,4578.7
2011-04-06,105.0,106.9,104.65,105.25,105.05,3021629.0,3180.63
2011-04-07,105.05,106.7,104.4,105.05,104.95,3312448.0,3489.46
2011-04-08,105.05,105.45,103.6,105.0,104.9,1846142.0,1931.17
2011-04-11,104.05,104.95,103.6,104.25,104.25,1553148.0,1616.99
2011-04-13,103.1,105.8,103.05,105.25,105.25,3220375.0,3380.28
2011-04-15,105.05,105.7,104.65,105.0,105.05,1533781.0,1611.2
2011-04-18,105.0,106.15,103.85,104.65,104.2,2163844.0,2270.94
2011-04-19,104.75,104.75,103.0,103.15,103.45,1198543.0,1242.5
2011-04-20,104.75,104.75,103.1,104.25,104.25,2147009.0,2224.2
2011-04-21,104.25,105.0,103.8,105.0,104.6,2140249.0,2231.03
2011-04-25,104.0,105.4,104.0,104.6,104.55,890852.0,931.83
2011-04-26,105.0,105.15,103.1,104.55,104.3,2469890.0,2568.21
2011-04-27,104.5,105.0,103.75,104.5,104.35,1601324.0,1667.4
2011-04-28,104.15,104.5,103.65,104.05,104.05,2901490.0,3017.49
2011-04-29,104.05,105.5,103.65,104.5,104.55,2033462.0,2125.48
2011-05-02,104.0,106.8,104.0,106.2,106.4,3223800.0,3408.09
2011-05-03,106.0,106.5,103.6,104.0,104.0,2140127.0,2233.82
2011-05-04,103.65,104.6,102.55,104.3,104.3,2275058.0,2360.33
2011-05-05,104.0,104.3,100.8,102.9,101.85,2927674.0,2994.19
2011-05-06,102.1,103.65,101.9,103.05,103.1,1672488.0,1723.63
2011-05-09,103.15,103.8,102.5,102.6,102.7,1926006.0,1991.21
2011-05-10,102.55,103.7,102.0,102.3,102.35,718052.0,738.71
2011-05-11,102.15,104.5,102.15,104.2,104.15,2910174.0,3013.4
2011-05-12,104.15,104.15,101.2,101.6,101.4,1237475.0,1265.18
2011-05-13,101.3,102.7,101.05,101.8,101.35,1906481.0,1940.86
2011-05-16,101.6,102.2,101.3,101.7,101.8,1487172.0,1512.22
2011-05-17,101.8,102.5,101.35,101.45,101.5,1148893.0,1170.12
