Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2011-01-03,1167.0,1176.95,1154.55,1158.0,1158.05,702521.0,8170.04
2011-01-04,1163.9,1166.15,1138.1,1142.1,1144.75,1251434.0,14443.51
2011-01-05,1145.25,1165.9,1141.75,1160.0,1158.95,1534837.0,17725.69
2011-01-06,1168.0,1182.0,1153.1,1181.0,1171.7,1423360.0,16573.62
2011-01-07,1176.0,1186.85,1138.15,1139.5,1142.65,1266362.0,14687.53
2011-01-10,1147.5,1149.0,1121.0,1123.7,1130.9,1976213.0,22397.93
2011-01-11,1123.0,1135.55,1087.8,1108.0,1098.5,1884365.0,20904.41
2011-01-12,1109.9,1151.6,1108.0,1132.0,1135.95,1580437.0,17870.87
2011-01-13,1128.95,1155.95,1116.2,1125.25,1124.25,2794599.0,31625.03
2011-01-14,1129.9,1150.0,1120.0,1120.2,1120.15,1575846.0,17741.64
2011-01-17,1121.2,1146.55,1120.0,1139.2,1137.4,1500106.0,17028.4
2011-01-18,1174.0,1208.9,1164.35,1196.45,1202.55,4240685.0,50381.38
2011-01-19,1203.45,1209.0,1185.0,1194.15,1193.0,1476020.0,17604.81
2011-01-20,1180.0,1218.75,1180.0,1213.0,1212.2,2272604.0,27495.24
2011-01-21,1210.0,1220.0,1204.0,1212.0,1211.65,1298702.0,15741.57
2011-01-24,1200.0,1220.0,1198.25,1206.0,1209.2,1008339.0,12200.05
2011-01-25,1214.8,1219.3,1180.0,1198.0,1188.55,1233547.0,14837.02
2011-01-27,1187.55,1209.95,1181.6,1200.0,1199.4,2357059.0,28215.76
2011-01-28,1195.0,1203.6,1165.25,1187.4,1181.35,1507289.0,17822.05
2011-01-31,1169.0,1169.0,1128.55,1160.0,1159.5,2970408.0,34006.28
2011-02-01,1165.0,1165.0,1133.0,1150.5,1150.15,2106354.0,24167.23
2011-02-02,1170.0,1198.9,1162.35,1191.0,1182.45,1968809.0,23349.98
2011-02-03,1184.7,1195.7,1170.65,1179.6,1183.7,941706.0,11160.3
2011-02-04,1176.0,1183.1,1140.25,1154.35,1148.8,1728800.0,19982.69
2011-02-07,1173.5,1173.5,1126.5,1131.45,1131.15,1289191.0,14740.03
2011-02-08,1132.0,1149.9,1118.5,1125.3,1125.1,2644319.0,30001.49
2011-02-09,1122.5,1129.6,1083.7,1107.0,1098.3,3006366.0,33400.66
2011-02-10,1100.0,1114.5,1072.0,1095.0,1090.75,2275911.0,24737.58
2011-02-11,1084.1,1104.2,1055.9,1085.25,1089.6,1472528.0,15868.18
2011-02-14,1091.0,1120.0,1087.0,1114.0,1112.3,1231274.0,13628.35
2011-02-15,1119.0,1119.0,1076.55,1099.0,1097.7,1812713.0,19790.76
2011-02-16,1105.0,1109.7,1081.0,1098.95,1096.5,1232296.0,13501.67
2011-02-17,1105.0,1114.45,1092.4,1108.0,1109.2,738880.0,8174.0
2011-02-18,1110.25,1132.4,1082.1,1092.05,1089.7,2038464.0,22704.97
2011-02-21,1090.0,1148.0,1058.2,1136.8,1138.6,2828900.0,31289.21
2011-02-22,1122.65,1147.7,1120.0,1138.25,1138.75,1652700.0,18789.95
2011-02-23,1128.15,1144.95,1123.1,1123.9,1125.55,939672.0,10638.43
2011-02-24,1119.0,1138.75,1091.3,1109.75,1111.8,2689415.0,29994.35
2011-02-25,1105.3,1117.0,1088.25,1110.2,1110.05,1535237.0,16953.89
2011-02-28,1101.2,1148.25,1100.0,1111.7,1110.25,1614698.0,18028.77
2011-03-01,1113.0,1132.0,1097.6,1119.85,1124.5,1583902.0,17670.04
2011-03-03,1119.9,1155.0,1107.0,1150.1,1150.2,1726300.0,19597.71
2011-03-04,1163.35,1163.35,1132.5,1135.3,1135.55,1030599.0,11820.37
2011-03-07,1124.0,1125.0,1094.45,1107.45,1108.25,2092294.0,23200.56
2011-03-08,1105.15,1128.8,1105.15,1120.85,1117.7,1973951.0,22104.04
2011-03-09,1122.55,1138.0,1118.5,1119.55,1126.7,1212243.0,13659.7
2011-03-10,1122.0,1122.0,1100.0,1108.25,1108.55,935662.0,10371.1
2011-03-11,1100.0,1102.4,1063.3,1080.6,1077.05,2506441.0,27105.8
2011-03-14,1071.0,1102.0,1058.4,1095.0,1097.55,1624309.0,17539.99
2011-03-15,1075.0,1095.45,1065.65,1092.85,1089.8,1705934.0,18508.65
2011-03-16,1092.0,1123.45,1091.15,1121.0,1114.85,1338937.0,14889.16
2011-03-17,1105.0,1118.9,1092.65,1099.1,1098.0,1028051.0,11326.39
2011-03-18,1093.5,1109.0,1076.1,1081.0,1082.75,1105674.0,11975.17
2011-03-21,1091.5,1091.5,1066.5,1071.0,1070.8,1309545.0,14089.87
2011-03-22,1075.1,1080.0,1063.0,1069.7,1069.5,1328887.0,14235.22
2011-03-23,1071.0,1071.0,1057.25,1063.95,1064.35,2176124.0,23158.44
2011-03-24,1071.0,1095.55,1070.0,1090.95,1093.4,1547417.0,16804.45
2011-03-25,1116.85,1128.5,1103.75,1117.8,1119.65,2073217.0,23149.68
2011-03-28,1123.85,1126.7,1108.0,1125.0,1119.9,1124321.0,12568.2
2011-03-29,1120.0,1151.9,1119.15,1139.15,1138.7,1579794.0,18006.75
2011-03-30,1148.0,1164.0,1144.9,1157.95,1151.95,1147385.0,13257.37
2011-03-31,1152.0,1198.0,1152.0,1182.0,1183.9,3697063.0,43757.47
2011-04-01,1185.0,1198.75,1172.55,1181.9,1180.15,899812.0,10635.11
2011-04-04,1185.0,1216.0,1184.0,1215.0,1213.2,1155808.0,13873.74
