Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-01-02,433.0,433.05,418.1,419.95,420.05,18284.0,77.55
2012-01-03,425.25,438.0,422.2,436.0,436.2,22588.0,97.33
2012-01-04,436.0,438.8,414.5,416.8,418.3,28536.0,121.9
2012-01-05,340.0,429.95,340.0,421.0,420.55,24254.0,102.76
2012-01-06,420.0,431.0,420.0,421.2,421.8,32065.0,136.52
2012-01-07,422.7,427.8,421.05,426.0,424.7,3472.0,14.73
2012-01-09,430.4,434.9,426.1,429.0,429.15,41579.0,179.11
2012-01-10,433.5,439.0,430.0,437.1,436.65,29006.0,126.18
2012-01-11,436.5,441.85,430.75,441.0,438.5,33928.0,148.03
2012-01-12,441.5,463.7,437.1,456.7,455.8,114344.0,521.11
2012-01-13,459.4,461.7,451.15,454.1,453.55,37599.0,171.46
2012-01-16,451.5,459.55,441.85,454.5,454.65,43361.0,194.91
2012-01-17,455.05,472.95,455.05,468.65,467.9,58075.0,270.48
2012-01-18,473.95,490.0,462.1,463.4,468.85,385352.0,1846.1
2012-01-19,476.0,484.3,467.0,470.95,469.95,158935.0,753.82
2012-01-20,479.0,479.0,451.5,455.0,453.55,41234.0,190.9
2012-01-23,456.0,458.5,444.0,447.6,449.6,28896.0,130.52
2012-01-24,454.0,472.95,445.05,454.1,452.0,94457.0,433.03
2012-01-25,456.0,458.75,452.0,455.3,455.7,20555.0,93.8
2012-01-27,458.0,464.9,454.5,455.5,457.65,27617.0,127.07
2012-01-30,454.0,459.0,433.0,434.0,436.35,25007.0,111.29
2012-01-31,440.0,454.5,429.6,445.4,449.2,39193.0,174.48
2012-02-01,450.0,466.0,450.0,461.2,458.95,71169.0,327.1
2012-02-02,463.7,464.45,451.1,456.5,455.9,23140.0,106.14
2012-02-03,451.0,506.6,446.4,492.2,494.25,524349.0,2578.11
2012-02-06,499.0,504.75,482.25,488.0,488.45,114522.0,566.82
2012-02-07,490.0,517.0,480.2,493.0,493.4,209679.0,1058.63
2012-02-08,497.4,509.8,488.1,507.65,504.45,78252.0,391.74
2012-02-09,508.95,519.4,508.95,511.0,514.05,112096.0,576.55
2012-02-10,509.0,518.45,500.55,505.7,507.15,71573.0,365.21
2012-02-13,505.0,519.3,465.0,510.0,508.6,53467.0,273.02
2012-02-14,510.0,525.9,508.0,515.85,513.1,85488.0,441.05
2012-02-15,515.0,532.0,515.0,524.1,526.15,121309.0,634.08
2012-02-16,526.65,534.0,517.0,527.5,529.85,56217.0,295.32
2012-02-17,532.0,554.7,531.0,543.5,544.05,193006.0,1053.27
2012-02-21,526.5,592.5,526.5,580.0,580.55,307403.0,1777.43
2012-02-22,585.0,597.7,572.95,579.0,578.9,195948.0,1140.41
2012-02-23,575.0,594.8,571.1,589.0,585.0,291668.0,1696.79
2012-02-24,585.85,593.35,575.75,580.0,579.7,89891.0,523.15
2012-02-27,584.0,589.85,566.75,574.2,579.45,146327.0,848.55
