Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-01-02,201.85,201.85,197.9,198.15,198.65,1907226.0,3806.1
2012-01-03,199.85,201.55,199.3,199.6,200.35,4043727.0,8112.8
2012-01-04,201.5,201.7,198.5,199.6,199.55,7916722.0,15812.68
2012-01-05,199.05,200.0,197.6,199.95,199.8,7576326.0,15065.75
2012-01-06,199.05,203.1,198.35,202.6,202.1,5858808.0,11750.51
2012-01-07,202.5,202.5,201.45,201.45,201.65,165015.0,333.02
2012-01-09,201.65,202.3,199.7,201.85,202.0,4938828.0,9935.04
2012-01-10,202.2,205.75,202.2,205.5,205.15,3608264.0,7372.83
2012-01-11,205.15,205.6,202.5,203.5,203.3,5409346.0,11034.58
2012-01-12,203.0,205.4,202.75,204.85,204.95,4928446.0,10064.17
2012-01-13,204.9,207.7,204.3,207.35,207.05,7659686.0,15775.87
2012-01-16,206.85,209.7,206.5,209.0,209.1,6266184.0,13058.86
2012-01-17,209.0,210.2,206.8,209.05,208.4,6819914.0,14232.26
2012-01-18,207.35,210.7,207.0,210.5,209.8,6663762.0,13888.33
2012-01-19,210.35,211.0,208.25,208.55,209.2,6212887.0,13049.85
2012-01-20,209.95,211.3,199.8,200.0,201.3,17214445.0,35274.45
2012-01-23,201.65,205.0,198.4,204.95,204.6,8841886.0,17955.22
2012-01-24,205.1,207.25,204.2,205.2,205.95,6226383.0,12814.99
2012-01-25,206.5,207.0,204.75,205.5,206.05,6942848.0,14301.29
2012-01-27,207.5,207.5,199.7,202.1,201.8,10222210.0,20791.59
2012-01-30,202.0,203.65,199.65,200.95,200.85,8274991.0,16623.36
2012-01-31,202.9,204.8,201.3,203.95,203.95,7740553.0,15759.83
2012-02-01,203.35,203.4,200.3,201.35,201.6,5807833.0,11690.74
2012-02-02,202.05,202.25,198.4,199.55,199.05,7334867.0,14663.22
2012-02-03,199.0,201.25,197.0,200.65,200.65,8618287.0,17126.16
2012-02-06,202.0,202.9,200.25,202.35,202.4,7062320.0,14239.23
2012-02-07,204.4,205.9,202.1,205.45,205.55,8022551.0,16416.9
2012-02-08,205.95,207.45,202.0,204.5,204.45,7568941.0,15462.92
2012-02-09,203.55,204.9,202.0,203.65,203.9,5069955.0,10296.1
2012-02-10,203.85,204.8,202.0,203.85,203.8,6842829.0,13915.92
2012-02-13,203.8,204.75,202.15,202.75,202.8,4725635.0,9603.88
2012-02-14,202.6,203.7,202.0,202.65,202.55,4253995.0,8621.78
2012-02-15,203.1,204.0,202.1,202.4,203.15,10361166.0,21053.12
2012-02-16,203.5,204.6,202.1,204.2,203.95,9189449.0,18710.92
2012-02-17,204.15,205.9,203.1,205.05,205.45,11001504.0,22507.16
2012-02-21,205.45,208.7,205.45,207.5,207.4,10273757.0,21307.94
2012-02-22,207.0,209.4,206.1,209.0,208.55,8611052.0,17932.53
2012-02-23,208.85,210.1,205.65,207.55,208.6,10898786.0,22791.22
2012-02-24,208.6,210.95,208.3,209.6,209.4,6058192.0,12689.1
2012-02-27,210.0,212.9,208.5,212.2,212.3,11607765.0,24556.81
2012-02-28,212.15,213.5,210.05,210.45,210.7,8765810.0,18557.96
2012-02-29,211.0,213.0,206.65,208.15,207.65,8858532.0,18607.64
2012-03-01,207.6,209.9,204.8,206.6,206.85,5070835.0,10483.29
2012-03-02,207.1,207.55,203.4,205.85,205.25,5706546.0,11698.64
2012-03-03,205.05,205.8,204.0,205.15,205.0,200669.0,410.95
2012-03-05,205.1,207.95,203.7,207.8,207.0,8038320.0,16514.41
2012-03-06,206.65,211.7,205.2,210.2,210.4,10048671.0,21029.16
2012-03-07,210.0,211.0,208.1,210.0,209.95,5248773.0,11024.23
2012-03-09,211.15,212.75,207.55,208.25,208.25,9885548.0,20762.0
2012-03-12,210.4,210.4,206.1,207.25,206.8,3826603.0,7928.26
2012-03-13,207.0,209.5,207.0,209.5,209.05,5823384.0,12130.65
2012-03-14,210.0,213.35,210.0,212.2,212.5,6543945.0,13875.59
2012-03-15,212.0,213.1,207.8,210.05,208.9,10388513.0,21759.97
2012-03-16,208.25,225.0,208.25,218.2,216.15,43904777.0,94919.14
2012-03-19,217.0,223.7,215.45,220.3,220.5,23669325.0,52196.01
2012-03-20,220.45,224.5,219.1,223.45,223.6,10724442.0,23874.58
2012-03-21,223.6,224.9,220.85,224.5,223.85,10739660.0,23938.82
2012-03-22,223.7,226.7,218.15,218.7,219.7,11018175.0,24626.71
2012-03-23,221.4,224.75,219.75,222.85,222.45,7854104.0,17507.58
2012-03-26,223.0,224.3,221.0,222.9,222.7,6889026.0,15328.46
2012-03-27,223.85,227.25,222.0,225.95,226.05,7574034.0,16986.53
2012-03-28,226.0,227.9,224.6,227.35,226.8,5893088.0,13349.78
2012-03-29,224.0,227.35,221.75,225.9,224.55,11150899.0,24967.64
2012-03-30,224.6,227.85,224.45,226.15,226.9,9142238.0,20705.97
2012-04-02,227.4,228.35,225.65,226.95,226.95,9730938.0,22076.13
2012-04-03,228.15,228.35,226.55,227.1,227.1,5878860.0,13360.21
2012-04-04,226.5,228.9,225.6,227.1,227.4,4768324.0,10824.76
2012-04-09,225.6,227.05,223.25,224.0,224.05,3459734.0,7798.55
2012-04-10,224.2,230.0,223.25,229.4,229.35,5486262.0,12494.49
2012-04-11,228.9,230.1,226.4,229.3,229.75,6314618.0,14431.1
2012-04-12,228.65,235.0,228.65,234.75,234.75,13035281.0,30390.79
2012-04-13,234.75,240.85,232.8,236.6,236.25,9700711.0,22943.74
2012-04-16,235.75,242.0,234.65,242.0,241.05,3966776.0,9508.26
2012-04-17,245.6,247.5,239.55,246.75,246.2,5438647.0,13259.86
2012-04-18,246.3,248.05,240.7,242.4,241.75,8680740.0,21104.72
2012-04-19,242.7,244.8,238.75,244.3,244.05,6366771.0,15406.65
2012-04-20,243.6,247.4,242.65,246.15,245.2,4222144.0,10339.93
2012-04-23,245.5,247.7,244.05,245.5,244.75,6591577.0,16157.61
2012-04-24,245.15,245.75,237.85,245.2,245.05,6259594.0,15227.81
2012-04-25,245.4,246.8,242.55,246.5,245.95,4195082.0,10281.46
2012-04-26,246.4,249.9,244.5,249.75,249.05,7036330.0,17422.86
2012-04-27,248.7,252.85,244.95,246.5,245.8,6188196.0,15380.73
2012-04-28,246.95,247.75,246.5,246.8,246.9,100455.0,248.23
2012-04-30,248.0,249.3,245.1,245.55,245.5,3186520.0,7854.89
2012-05-02,245.55,247.85,243.5,244.5,244.6,4783847.0,11757.43
2012-05-03,245.4,245.95,241.0,241.7,241.7,3768087.0,9153.64
2012-05-04,241.4,244.95,237.35,238.1,238.15,6393528.0,15344.38
2012-05-07,235.0,239.0,233.35,236.7,236.35,5053478.0,11888.7
2012-05-08,237.0,241.9,223.85,226.8,226.9,11351753.0,26265.13
2012-05-09,230.0,241.0,227.1,239.9,239.9,13316581.0,31556.12
