Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-01-01,1905.35,1911.85,1884.9,1896.0,1897.35,104950.0,1993.54
2013-01-02,1930.0,1939.25,1900.0,1905.0,1905.35,353260.0,6756.21
2013-01-03,1917.1,1921.9,1881.0,1884.0,1887.95,334607.0,6357.53
2013-01-04,1884.0,1895.0,1870.1,1891.5,1887.95,163808.0,3084.15
2013-01-07,1892.0,1909.9,1886.65,1896.1,1897.3,371288.0,7055.66
2013-01-08,1896.0,1901.6,1870.1,1880.0,1881.1,302516.0,5694.36
2013-01-09,1894.9,1894.9,1841.45,1844.0,1847.7,600024.0,11185.31
2013-01-10,1852.25,1865.0,1842.1,1843.5,1848.75,182991.0,3393.81
2013-01-11,1850.25,1857.3,1823.0,1831.0,1839.45,324710.0,5982.01
2013-01-14,1821.0,1854.2,1820.0,1845.0,1843.2,321117.0,5903.44
2013-01-15,1831.05,1855.0,1808.1,1852.0,1844.6,529832.0,9699.98
2013-01-16,1835.25,1851.7,1826.4,1837.0,1834.6,342851.0,6290.75
2013-01-17,1821.0,1844.9,1801.0,1823.1,1818.7,881628.0,16020.46
2013-01-18,1750.1,1782.2,1720.05,1771.0,1764.1,1406385.0,24620.42
2013-01-21,1769.0,1782.2,1754.35,1774.05,1771.95,271002.0,4802.36
2013-01-22,1764.9,1769.65,1750.1,1762.05,1762.55,280941.0,4946.34
2013-01-23,1755.5,1789.8,1750.3,1780.0,1782.7,347240.0,6150.12
2013-01-24,1779.0,1779.0,1752.4,1775.1,1770.3,307598.0,5436.9
2013-01-25,1765.1,1783.0,1750.65,1761.0,1764.9,149298.0,2635.68
2013-01-28,1761.0,1810.0,1761.0,1800.1,1798.35,207424.0,3728.61
2013-01-29,1799.45,1823.8,1792.1,1810.95,1809.95,342333.0,6192.94
2013-01-30,1824.0,1826.1,1785.25,1800.0,1796.1,314117.0,5644.66
2013-01-31,1800.0,1834.9,1783.45,1803.0,1822.1,517873.0,9377.61
2013-02-01,1825.0,1825.0,1794.5,1810.0,1810.05,339772.0,6136.7
2013-02-04,1825.0,1832.5,1807.0,1821.0,1817.8,326544.0,5936.51
2013-02-05,1812.0,1812.0,1781.4,1793.0,1791.65,401852.0,7198.18
2013-02-06,1808.95,1809.0,1772.3,1781.0,1780.2,390307.0,6944.95
2013-02-07,1771.9,1772.0,1747.55,1753.0,1755.9,285256.0,5009.87
2013-02-08,1760.0,1763.8,1708.05,1720.0,1719.25,230149.0,4003.6
2013-02-11,1724.0,1724.0,1686.1,1710.0,1704.8,272983.0,4652.74
2013-02-12,1705.0,1732.2,1687.2,1705.0,1702.15,249220.0,4247.24
2013-02-13,1698.0,1710.25,1635.5,1693.05,1694.25,196764.0,3338.61
2013-02-14,1703.9,1707.4,1658.0,1667.0,1670.45,283632.0,4735.28
2013-02-15,1665.05,1690.0,1644.9,1670.0,1680.1,248567.0,4133.2
2013-02-18,1671.1,1704.85,1668.05,1694.9,1693.35,122997.0,2078.67
2013-02-19,1690.2,1706.9,1655.1,1668.0,1672.6,216417.0,3633.94
2013-02-20,1670.25,1699.0,1670.25,1697.0,1695.15,144186.0,2438.09
