Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2014-01-01,239.0,243.0,237.8,239.1,239.7,88996.0,213.92
2014-01-02,238.5,244.9,234.0,236.0,235.1,654062.0,1557.52
2014-01-03,233.0,241.45,228.05,239.8,239.3,259601.0,611.01
2014-01-06,239.0,242.0,236.25,238.4,238.3,107098.0,255.38
2014-01-07,238.9,241.65,235.9,239.0,238.2,198812.0,472.27
2014-01-08,239.7,254.0,236.8,245.0,245.25,592579.0,1461.47
2014-01-09,246.0,250.0,239.95,243.0,244.45,173164.0,424.19
2014-01-10,245.0,247.4,237.55,239.25,240.25,163444.0,397.26
2014-01-13,240.55,244.2,234.1,235.5,235.7,119196.0,285.02
2014-01-14,234.5,238.95,230.05,232.75,231.75,246820.0,577.24
2014-01-15,233.7,233.7,226.55,227.5,228.35,298766.0,684.07
2014-01-16,227.55,231.7,226.0,226.05,226.55,361045.0,821.52
2014-01-17,227.25,228.95,220.6,223.25,223.85,257728.0,576.36
2014-01-20,224.85,231.7,223.0,228.1,228.7,226925.0,518.59
2014-01-21,229.8,241.45,229.05,235.9,234.3,308172.0,720.84
2014-01-22,235.35,242.5,232.45,237.0,236.85,615258.0,1465.44
2014-01-23,238.0,238.2,228.75,231.0,231.3,278004.0,645.96
2014-01-24,231.0,231.0,222.1,224.95,225.7,359482.0,810.64
2014-01-27,221.4,222.8,211.0,218.0,216.25,663106.0,1424.07
2014-01-28,215.6,227.0,215.6,220.65,221.85,224509.0,499.07
2014-01-29,222.05,224.95,220.5,221.0,221.25,142875.0,317.76
2014-01-30,212.05,214.25,203.0,206.35,205.8,328047.0,683.64
2014-01-31,205.1,208.7,204.2,206.15,206.3,409172.0,845.27
2014-02-03,205.7,206.7,200.05,201.95,202.0,347672.0,704.09
2014-02-04,199.65,203.5,197.3,200.5,200.5,345354.0,690.61
2014-02-05,200.5,203.95,199.0,200.3,200.7,148053.0,297.94
2014-02-06,201.0,205.0,200.0,200.7,200.55,179929.0,363.63
2014-02-07,203.7,205.8,200.0,204.9,203.25,1042917.0,2095.31
2014-02-10,204.0,207.25,198.0,198.5,199.85,165714.0,335.78
2014-02-11,201.35,202.25,195.5,196.5,197.0,232763.0,463.87
2014-02-12,196.1,200.5,196.1,196.5,196.25,202301.0,399.84
2014-02-13,197.4,198.35,190.2,191.85,192.1,344971.0,664.88
2014-02-14,192.9,194.35,189.0,191.25,190.9,287891.0,553.95
2014-02-17,191.85,194.0,187.05,193.0,192.2,84483.0,161.33
2014-02-18,192.85,194.95,187.5,191.05,191.95,375046.0,717.99
2014-02-19,191.95,193.35,190.1,190.5,190.85,419333.0,802.72
2014-02-20,189.75,192.0,188.0,189.9,190.05,445039.0,849.11
2014-02-21,190.05,195.45,190.0,192.05,191.9,734541.0,1412.29
2014-02-24,193.0,193.0,188.0,188.15,188.95,519403.0,992.43
2014-02-25,189.75,199.0,189.75,197.0,196.85,2870187.0,5541.89
2014-02-26,195.3,201.0,193.2,195.0,195.75,463850.0,909.37
2014-02-28,195.75,195.75,189.0,191.5,191.55,500610.0,963.13
2014-03-03,191.4,193.95,188.8,188.85,189.4,160064.0,306.62
2014-03-04,189.8,193.2,189.35,192.25,192.2,170836.0,327.58
2014-03-05,193.5,196.45,191.25,193.0,193.3,312644.0,605.4
2014-03-06,193.25,204.8,191.5,204.0,202.95,1026030.0,2040.82
2014-03-07,204.0,212.0,202.1,205.95,206.9,739283.0,1525.86
2014-03-10,205.0,206.2,192.65,202.0,202.8,748394.0,1489.19
2014-03-11,201.5,206.75,198.65,199.8,199.8,463775.0,942.18
2014-03-12,199.0,205.9,197.55,202.5,201.65,409095.0,822.51
2014-03-13,201.2,226.3,199.95,214.95,214.8,1537706.0,3328.98
2014-03-14,213.1,216.6,206.7,214.95,213.1,598226.0,1268.96
2014-03-18,214.7,220.25,213.6,219.95,219.65,427471.0,933.5
2014-03-19,220.15,223.95,218.5,222.4,221.45,378433.0,839.98
2014-03-20,220.45,223.0,215.1,218.35,216.15,1054899.0,2317.67
2014-03-21,219.0,223.9,216.1,218.65,218.85,953851.0,2098.07
