Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-01-01,1968.95,1982.0,1956.9,1971.0,1974.4,500691.0,9870.31
2015-01-02,1972.0,2019.05,1972.0,2017.95,2013.2,1694580.0,33946.69
2015-01-05,2009.9,2030.0,1977.5,1996.0,1995.9,2484256.0,49799.11
2015-01-06,1980.0,1985.0,1934.1,1965.1,1954.2,2416829.0,47244.58
2015-01-07,1965.0,1974.75,1950.0,1966.05,1963.55,1812479.0,35571.62
2015-01-08,1985.6,1997.0,1950.0,1979.25,1973.45,3391230.0,66901.6
2015-01-09,1980.1,2109.0,1913.05,2075.3,2074.45,11215832.0,228543.89
2015-01-12,2092.0,2119.2,2075.0,2112.95,2115.95,3189722.0,66965.16
2015-01-13,2107.8,2107.8,2075.0,2092.0,2088.9,2200309.0,45973.74
2015-01-14,2098.5,2133.0,2092.6,2129.0,2128.65,2480315.0,52356.38
2015-01-15,2135.2,2152.8,2112.25,2130.0,2134.25,2085613.0,44579.11
2015-01-16,2148.0,2160.0,2112.0,2115.0,2118.3,1672740.0,35558.58
2015-01-19,2120.0,2132.35,2094.6,2105.0,2102.5,1021936.0,21507.13
2015-01-20,2107.0,2133.0,2101.45,2119.2,2124.2,1701126.0,36032.58
2015-01-21,2131.5,2175.95,2118.0,2172.0,2169.9,2123727.0,45626.28
2015-01-22,2174.8,2203.0,2161.3,2194.95,2196.45,2489599.0,54599.51
2015-01-23,2200.0,2225.0,2165.1,2211.9,2215.05,2371582.0,52046.24
2015-01-27,2221.0,2221.0,2130.1,2137.55,2136.5,3434992.0,73730.22
2015-01-28,2150.0,2154.8,2130.3,2144.45,2144.55,3283589.0,70410.41
2015-01-29,2145.0,2149.9,2127.6,2147.8,2145.5,3842356.0,82290.76
2015-01-30,2161.5,2162.55,2126.95,2141.85,2141.9,2708436.0,58080.66
2015-02-02,2141.5,2152.0,2126.05,2137.0,2136.85,2175635.0,46619.58
2015-02-03,2136.85,2139.95,2102.0,2124.0,2120.9,1316489.0,27882.17
2015-02-04,2139.9,2150.0,2126.4,2143.8,2142.85,1290004.0,27643.78
2015-02-05,2150.8,2220.0,2148.0,2186.0,2193.8,2968984.0,65009.12
2015-02-06,2205.0,2247.8,2188.5,2228.0,2230.5,1863432.0,41545.34
2015-02-09,2200.0,2254.0,2200.0,2245.0,2248.9,1634217.0,36585.97
2015-02-10,2243.0,2298.0,2241.0,2268.0,2278.3,2129230.0,48352.42
2015-02-11,2280.5,2293.2,2256.25,2287.8,2284.85,1449243.0,33040.09
2015-02-12,2283.0,2321.95,2273.0,2309.9,2311.2,1571884.0,36178.97
2015-02-13,2299.6,2326.7,2286.0,2294.0,2296.1,1414379.0,32585.72
2015-02-16,2280.3,2306.9,2265.25,2282.0,2278.75,1561069.0,35637.51
2015-02-18,2290.55,2304.95,2258.15,2292.05,2296.5,2153441.0,49148.57
2015-02-19,2294.0,2334.0,2292.05,2323.2,2324.7,2418406.0,56159.38
2015-02-20,2328.5,2336.0,2276.9,2280.5,2283.1,1742907.0,40054.41
2015-02-23,2300.0,2309.2,2248.1,2265.0,2265.6,1272622.0,29084.61
2015-02-24,2279.0,2295.95,2257.6,2270.2,2272.8,1609419.0,36713.14
2015-02-25,2288.9,2334.8,2280.0,2314.0,2317.6,1511243.0,35012.82
2015-02-26,2307.5,2309.0,2245.4,2259.65,2258.1,1611444.0,36605.44
2015-02-27,2274.9,2280.65,2251.5,2268.7,2265.75,1950269.0,44244.91
2015-02-28,2274.75,2307.9,2256.2,2298.0,2296.45,799334.0,18233.2
2015-03-02,2303.0,2308.5,2278.05,2287.5,2291.7,1760248.0,40310.21
2015-03-03,2290.0,2302.95,2278.3,2298.0,2297.85,1226388.0,28125.87
2015-03-04,2300.0,2313.9,2251.9,2275.0,2274.65,1093807.0,25006.53
2015-03-05,2267.05,2298.75,2233.35,2249.0,2247.6,1421229.0,32084.55
2015-03-09,2259.0,2259.0,2179.0,2188.0,2190.05,1996180.0,43942.35
2015-03-10,2198.1,2206.95,2160.2,2200.0,2198.0,1582479.0,34770.01
2015-03-11,2194.1,2240.0,2169.1,2179.9,2182.2,1695228.0,37412.32
2015-03-12,2179.0,2226.45,2177.0,2215.05,2218.3,1422141.0,31420.73
2015-03-13,2225.0,2230.0,2192.4,2220.0,2220.4,1544921.0,34200.87
2015-03-16,2210.55,2282.0,2210.55,2261.0,2266.65,1704658.0,38464.42
2015-03-17,2266.65,2279.5,2217.25,2245.0,2240.5,1384828.0,31085.4
2015-03-18,2254.5,2262.85,2222.55,2233.0,2229.5,1226391.0,27451.0
2015-03-19,2234.6,2249.0,2222.75,2230.65,2230.45,1722935.0,38451.3
