Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-01-01,494.5,499.45,492.25,498.55,498.45,934528.0,4642.34
2015-01-02,497.25,517.4,497.25,513.5,511.8,4148596.0,21165.15
2015-01-05,510.1,526.0,506.7,524.1,523.8,6686952.0,34678.5
2015-01-06,514.35,514.35,499.25,502.0,501.4,7894918.0,39851.7
2015-01-07,495.0,500.4,489.2,493.7,493.85,9134678.0,45172.69
2015-01-08,504.0,514.8,501.0,510.0,512.0,5476843.0,27817.92
2015-01-09,521.25,524.95,515.5,521.0,522.3,4010545.0,20890.58
2015-01-12,518.5,524.7,511.25,520.95,522.3,2533395.0,13134.64
2015-01-13,520.35,525.7,515.25,518.85,519.45,4282874.0,22279.97
2015-01-14,521.5,526.65,513.95,520.2,520.35,6006186.0,31215.46
2015-01-15,528.3,536.0,523.75,529.05,532.95,6829305.0,36251.52
2015-01-16,531.1,535.8,522.4,525.5,525.75,4205034.0,22137.93
2015-01-19,526.5,539.6,523.15,536.95,538.5,4568341.0,24373.7
2015-01-20,538.75,561.0,534.75,559.95,559.2,6075180.0,33338.43
2015-01-21,556.85,558.45,546.0,550.45,551.5,6452158.0,35603.11
2015-01-22,550.65,568.7,548.55,566.1,566.5,5946787.0,33438.23
2015-01-23,575.0,591.15,574.0,586.1,588.45,7682336.0,44749.85
2015-01-27,596.05,607.7,596.05,606.0,604.55,7136967.0,42904.11
2015-01-28,599.0,599.2,587.0,588.05,589.2,8209728.0,48607.92
2015-01-29,586.0,600.7,580.6,597.0,598.6,5812166.0,34532.48
2015-01-30,601.4,604.7,581.1,586.4,585.15,4136616.0,24331.8
2015-02-02,587.8,595.9,580.85,592.25,592.5,4316925.0,25382.71
2015-02-03,597.65,612.4,596.2,598.15,603.3,6035606.0,36499.24
2015-02-04,606.65,606.65,588.2,592.0,591.4,3362648.0,19980.01
2015-02-05,591.0,602.9,582.0,587.6,589.2,6774777.0,40209.09
2015-02-06,567.05,572.0,552.2,559.95,559.6,12091509.0,67598.54
2015-02-09,550.0,554.45,541.3,542.8,542.65,4579430.0,25098.7
2015-02-10,544.0,568.0,543.35,563.7,564.1,5557625.0,30918.77
2015-02-11,567.0,571.4,553.35,560.15,558.9,4588336.0,25621.9
2015-02-12,562.2,566.0,552.5,563.15,561.8,5430678.0,30399.01
2015-02-13,562.7,567.2,555.0,565.2,565.55,3469320.0,19490.5
2015-02-16,569.0,580.45,565.5,574.0,574.15,5732125.0,32982.64
2015-02-18,572.7,587.0,560.65,583.1,584.3,5784461.0,33481.69
2015-02-19,586.0,592.55,572.1,578.0,576.55,4271131.0,24767.47
2015-02-20,579.5,585.0,572.25,580.0,579.9,3865784.0,22403.88
2015-02-23,582.0,584.45,572.05,575.5,574.2,3008142.0,17372.79
2015-02-24,577.0,578.0,559.95,566.0,564.4,4304190.0,24333.53
2015-02-25,566.7,576.0,564.0,567.0,568.2,3050026.0,17395.66
2015-02-26,570.1,572.05,557.35,562.4,560.65,3533029.0,19931.25
2015-02-27,567.05,581.0,563.5,574.0,575.15,4310800.0,24715.89
2015-02-28,576.85,598.95,563.8,597.5,593.35,4108469.0,23903.92
2015-03-02,597.4,601.0,573.1,584.15,585.0,4899347.0,28596.15
2015-03-03,582.5,582.5,572.0,573.0,574.1,3555077.0,20431.91
2015-03-04,581.5,592.1,570.1,574.6,574.1,6176534.0,35978.64
2015-03-05,576.0,577.8,567.7,570.6,570.7,3318912.0,18948.76
2015-03-09,571.0,573.6,562.0,563.1,565.1,3528212.0,20010.38
2015-03-10,567.9,572.7,558.7,561.0,560.2,3875591.0,21920.51
2015-03-11,561.0,565.2,548.2,551.1,550.9,3151043.0,17443.67
2015-03-12,554.9,566.95,554.3,564.95,563.9,3394342.0,19113.32
