Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-01-01,552.55,554.4,550.5,552.25,552.4,202978.0,1121.86
2015-01-02,553.4,560.25,553.0,558.9,557.3,787304.0,4389.68
2015-01-05,557.05,565.0,555.5,558.55,558.3,719738.0,4030.31
2015-01-06,555.0,556.4,542.1,545.5,545.25,2324381.0,12715.92
2015-01-07,543.2,545.0,538.35,541.5,541.1,1557297.0,8430.9
2015-01-08,556.15,558.9,543.2,545.0,545.0,1461025.0,7978.94
2015-01-09,549.2,560.0,543.25,552.5,553.5,2547585.0,14071.21
2015-01-12,550.0,559.0,547.7,556.0,556.05,829086.0,4578.19
2015-01-13,557.1,566.7,555.0,565.7,563.5,1183627.0,6636.61
2015-01-14,566.0,569.5,550.0,550.15,551.95,1823224.0,10168.82
2015-01-15,560.0,564.0,551.25,561.9,559.5,1311267.0,7347.64
2015-01-16,560.8,563.4,552.9,555.9,555.05,1557128.0,8679.6
2015-01-19,591.1,598.5,582.35,584.45,584.2,6062665.0,35727.85
2015-01-20,586.1,594.0,582.9,588.8,590.4,2510737.0,14759.46
2015-01-21,589.6,595.0,576.65,592.0,588.7,3319015.0,19494.37
2015-01-22,590.0,597.7,584.7,592.95,594.55,3648498.0,21607.98
2015-01-23,599.2,604.0,590.25,599.75,601.8,3614595.0,21631.82
2015-01-27,602.4,605.75,595.0,595.5,598.55,2955854.0,17756.97
2015-01-28,596.0,612.0,595.75,611.55,607.25,3144370.0,18934.99
2015-01-29,608.0,614.5,599.8,603.0,602.7,2529061.0,15311.87
2015-01-30,606.9,610.05,597.15,606.3,606.55,1761224.0,10633.29
2015-02-02,612.0,627.7,609.0,626.7,625.1,2990374.0,18533.52
2015-02-03,624.0,628.05,617.75,620.3,621.55,1587289.0,9874.2
2015-02-04,623.2,629.9,616.25,619.1,619.2,1673112.0,10431.04
2015-02-05,620.95,643.1,620.9,639.0,638.25,2299427.0,14612.32
2015-02-06,638.0,654.7,636.0,643.95,643.25,2076434.0,13423.98
2015-02-09,639.9,650.0,635.6,648.05,647.8,1273983.0,8194.45
2015-02-10,641.0,652.0,637.35,643.65,642.6,2088859.0,13413.62
2015-02-11,646.0,649.0,633.15,640.9,638.4,2656220.0,16931.05
2015-02-12,643.5,653.0,641.25,646.7,646.8,1807455.0,11687.4
2015-02-13,648.0,663.9,646.8,660.8,660.7,1732344.0,11396.19
2015-02-16,660.9,667.25,660.0,663.85,661.5,959525.0,6366.61
2015-02-18,662.0,671.0,655.5,668.7,669.0,1133545.0,7506.66
2015-02-19,669.0,669.0,655.0,659.55,659.5,1384133.0,9144.69
2015-02-20,659.5,661.0,647.5,650.05,650.0,909333.0,5920.48
2015-02-23,650.0,658.0,643.55,649.05,649.75,1066850.0,6952.32
2015-02-24,652.5,659.8,649.6,652.95,653.0,1581301.0,10331.07
2015-02-25,653.55,665.6,652.1,661.6,663.8,1842951.0,12160.55
2015-02-26,663.8,668.9,651.4,658.95,657.9,1964702.0,12932.0
2015-02-27,657.0,658.6,648.7,658.4,654.3,2299617.0,15009.77
2015-02-28,656.8,663.5,652.0,659.3,659.2,870141.0,5722.06
2015-03-02,660.1,674.4,654.0,663.45,664.5,1848683.0,12300.23
2015-03-03,665.0,677.0,663.0,671.9,672.45,1801839.0,12114.93
2015-03-04,672.25,673.75,656.3,661.9,659.5,1630010.0,10818.27
2015-03-05,659.9,669.9,655.25,666.9,667.8,1352490.0,9018.81
2015-03-09,667.0,667.0,656.05,660.0,660.1,1423829.0,9394.38
2015-03-10,651.0,661.8,645.0,660.35,654.3,1749075.0,11384.72
2015-03-11,657.55,677.6,650.5,652.25,654.75,2285766.0,15129.17
2015-03-12,655.8,656.95,646.5,655.1,655.3,1176692.0,7656.34
2015-03-13,658.4,658.4,631.95,642.25,639.25,1876432.0,12090.57
2015-03-16,641.2,650.95,636.6,645.35,646.25,1653857.0,10669.77
2015-03-17,650.0,651.4,639.25,642.4,643.4,1478033.0,9550.23
2015-03-18,647.0,648.0,628.75,629.95,631.4,1673555.0,10647.12
2015-03-19,637.7,642.7,632.5,635.7,635.05,1471576.0,9387.09
2015-03-20,638.7,656.7,636.65,653.0,652.65,2257073.0,14651.25
2015-03-23,652.7,660.5,641.2,646.15,645.1,1149989.0,7466.28
2015-03-24,645.0,658.5,643.1,650.1,652.25,1314563.0,8582.54
2015-03-25,651.0,663.95,646.55,660.7,661.1,1098652.0,7198.76
2015-03-26,657.9,657.9,625.2,635.0,631.9,2292616.0,14654.35
2015-03-27,639.7,641.6,608.55,611.8,612.15,2559929.0,15944.96
2015-03-30,620.0,624.95,616.2,624.85,623.4,1277713.0,7932.22
2015-03-31,623.05,634.6,618.2,627.1,628.85,1689533.0,10594.44
2015-04-01,623.4,636.45,620.2,632.0,633.2,1191542.0,7513.48
2015-04-06,628.95,628.95,617.4,620.35,621.15,1476030.0,9169.1
2015-04-07,623.4,627.9,609.15,615.15,615.05,1854541.0,11425.85
2015-04-08,614.0,623.0,613.1,616.15,616.3,1788943.0,11048.5
2015-04-09,621.5,624.3,612.05,616.55,617.15,1321860.0,8159.34
2015-04-10,620.25,621.9,614.55,618.45,617.7,1075974.0,6641.08
2015-04-13,618.9,625.75,614.85,624.15,624.2,866150.0,5381.3
2015-04-15,623.0,623.0,600.75,606.45,606.65,1371735.0,8399.82
2015-04-16,607.0,608.2,590.05,602.6,601.95,2451912.0,14637.46
2015-04-17,596.05,596.7,585.0,587.5,586.85,1564242.0,9209.05
2015-04-20,586.85,591.05,570.5,570.5,575.4,1485403.0,8618.27
2015-04-21,568.0,588.4,550.55,578.15,578.15,3946681.0,22483.2
2015-04-22,562.0,563.25,542.0,543.85,544.55,6270181.0,34585.87
2015-04-23,548.95,548.95,532.55,533.05,534.25,3043814.0,16401.4
2015-04-24,535.55,538.65,512.5,531.0,523.2,3565799.0,18879.03
2015-04-27,528.6,535.75,518.15,531.8,533.8,1840543.0,9753.76
2015-04-28,533.0,537.55,525.0,531.0,532.25,3071168.0,16300.68
2015-04-29,533.0,546.7,530.2,541.75,541.65,2817203.0,15203.94
2015-04-30,537.05,542.05,533.75,539.05,538.6,3178167.0,17101.83
2015-05-04,539.1,544.6,534.55,544.0,541.15,987086.0,5315.38
2015-05-05,545.05,548.35,541.25,544.55,544.9,1617499.0,8813.18
2015-05-06,543.75,543.75,529.45,532.7,532.35,2779652.0,14836.7
2015-05-07,531.0,542.7,525.1,538.8,538.15,2274572.0,12169.03
2015-05-08,541.1,544.5,536.1,540.0,540.5,1556955.0,8423.36
2015-05-11,542.95,544.3,537.1,542.0,541.5,2101092.0,11347.95
2015-05-12,542.5,544.4,530.65,534.25,533.85,1432110.0,7647.65
2015-05-13,535.0,543.4,529.65,542.0,542.25,1504313.0,8100.3
2015-05-14,542.8,542.8,533.05,537.0,536.5,1025608.0,5496.44
2015-05-15,536.0,541.6,535.0,538.0,538.45,1010864.0,5434.36
2015-05-18,539.0,545.0,535.4,544.4,544.25,1064875.0,5750.42
2015-05-19,545.0,554.75,543.6,552.05,552.6,2316793.0,12780.14
2015-05-20,554.75,564.9,552.65,562.2,564.0,1471459.0,8245.25
2015-05-21,566.0,566.1,558.5,565.0,564.25,1459842.0,8219.41
2015-05-22,560.55,562.9,554.6,560.3,560.5,1983773.0,11080.28
2015-05-25,561.0,565.5,557.5,562.5,563.1,1552433.0,8724.15
2015-05-26,560.55,563.8,556.1,559.7,558.25,1204749.0,6740.15
2015-05-27,556.25,557.7,546.05,553.05,552.35,1677377.0,9254.23
2015-05-28,553.5,557.7,541.25,556.0,554.55,2317827.0,12818.54
2015-05-29,554.6,565.0,554.6,563.5,561.7,3310309.0,18582.54
2015-06-01,560.0,567.95,558.75,561.5,563.55,836468.0,4718.18
2015-06-02,561.95,562.0,546.05,550.0,548.8,1017819.0,5621.19
2015-06-03,550.25,558.25,544.05,544.8,545.6,1863451.0,10233.22
2015-06-04,547.0,560.9,547.0,556.2,552.7,2328406.0,12901.91
2015-06-05,554.3,564.95,550.6,555.5,555.8,1696683.0,9485.19
