Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-01-01,261.0,268.3,260.1,267.15,267.55,1347893.0,3574.48
2016-01-04,264.45,266.5,257.0,257.0,257.95,2536252.0,6648.88
2016-01-05,259.2,260.3,254.25,254.7,255.7,2815055.0,7229.63
2016-01-06,253.0,257.3,250.55,251.2,251.8,2029467.0,5151.73
2016-01-07,245.65,247.5,241.5,244.9,245.0,4244402.0,10392.33
2016-01-08,245.3,247.25,239.35,241.35,241.4,4219352.0,10213.79
2016-01-11,237.0,238.7,232.5,233.5,234.05,2995719.0,7055.48
2016-01-12,234.2,240.5,234.1,237.25,236.6,3544439.0,8398.61
2016-01-13,238.75,239.8,222.8,230.2,230.2,4137056.0,9479.74
2016-01-14,227.0,232.95,224.7,227.25,227.8,2802513.0,6397.71
2016-01-15,228.5,229.45,216.5,220.3,218.25,3286291.0,7264.9
2016-01-18,211.1,225.9,209.8,219.5,219.3,4116330.0,8966.02
2016-01-19,222.8,233.9,218.7,232.6,232.85,3713322.0,8478.51
2016-01-20,229.05,229.35,216.05,219.7,219.4,4087126.0,9010.26
2016-01-21,224.0,224.0,215.1,221.75,221.3,7664473.0,16847.33
2016-01-22,223.0,225.0,216.45,221.0,221.75,5622627.0,12410.2
2016-01-25,223.0,225.8,217.75,218.05,218.4,1804218.0,4008.54
2016-01-27,219.95,220.05,214.5,214.9,215.35,2189628.0,4738.17
2016-01-28,216.0,219.95,207.15,210.25,210.85,12022147.0,25418.52
2016-01-29,211.35,216.75,208.6,210.8,212.25,4589849.0,9794.05
2016-02-01,213.25,221.8,212.75,220.6,221.1,3982611.0,8718.56
2016-02-02,221.95,223.95,211.7,214.5,213.25,2971041.0,6511.36
2016-02-03,212.0,214.5,208.0,210.4,210.2,3026403.0,6384.82
2016-02-04,212.55,218.0,211.65,216.0,215.7,2023624.0,4351.64
2016-02-05,215.7,218.0,209.1,211.8,211.1,3022383.0,6414.64
2016-02-08,211.45,216.9,210.0,211.0,212.05,2723554.0,5814.31
2016-02-09,210.0,212.75,208.55,210.0,210.4,1954496.0,4112.74
2016-02-10,209.85,209.9,198.4,202.65,202.85,3393463.0,6868.83
2016-02-11,203.0,204.8,182.5,190.0,186.85,3670827.0,7149.01
2016-02-12,187.95,190.7,169.15,176.8,178.05,12168356.0,21797.74
2016-02-15,184.45,194.0,184.0,191.25,191.15,9208050.0,17536.48
2016-02-16,195.5,204.35,193.75,200.4,200.35,9113057.0,18308.71
2016-02-17,201.05,214.3,196.3,212.1,212.5,6728882.0,13862.35
2016-02-18,214.5,215.8,205.75,210.5,210.4,4659211.0,9829.35
2016-02-19,208.9,210.8,205.75,210.4,209.4,2019974.0,4206.55
2016-02-22,209.05,211.7,204.25,206.05,205.9,2342159.0,4835.79
2016-02-23,205.95,208.65,203.0,203.1,204.2,2174859.0,4463.87
2016-02-24,202.85,203.75,198.85,200.15,200.15,3502611.0,7026.38
2016-02-25,201.3,201.9,195.45,200.5,198.45,4868927.0,9608.67
2016-02-26,201.9,204.45,196.65,201.0,200.1,2188367.0,4380.0
2016-02-29,201.0,204.0,195.8,196.15,196.7,3939877.0,7819.23
2016-03-01,198.0,208.0,196.35,206.85,206.9,2152599.0,4382.53
2016-03-02,209.0,222.55,208.85,218.3,218.8,4228824.0,9194.98
2016-03-03,220.85,229.45,217.65,227.9,227.5,3290989.0,7392.48
2016-03-04,228.85,228.85,222.2,225.65,225.15,4768604.0,10732.78
2016-03-08,224.0,231.7,222.3,228.9,228.25,3066086.0,7018.45
2016-03-09,228.0,232.65,221.3,225.7,226.0,4117976.0,9310.04
2016-03-10,228.8,228.8,224.2,226.8,226.45,1543894.0,3495.26
2016-03-11,226.45,232.85,226.0,231.0,231.2,2649095.0,6110.86
2016-03-14,233.0,237.5,229.65,233.15,232.4,2722628.0,6349.85
2016-03-15,233.1,233.6,227.2,228.6,228.25,1913147.0,4398.23
2016-03-16,229.0,229.5,222.75,227.9,228.55,2172701.0,4923.57
2016-03-17,231.4,239.5,231.05,235.95,235.7,5383866.0,12735.17
2016-03-18,236.45,243.2,235.75,242.9,241.95,4606790.0,11017.64
2016-03-21,238.95,245.0,236.75,243.2,243.85,3240298.0,7824.24
2016-03-22,242.0,243.3,236.5,239.05,239.55,3153670.0,7537.95
2016-03-23,239.75,243.2,237.35,237.55,238.3,2083410.0,4997.78
2016-03-28,240.4,242.95,232.7,237.2,235.65,2756755.0,6560.68
2016-03-29,236.45,242.2,233.3,238.55,237.85,2043092.0,4861.43
2016-03-30,240.0,248.5,239.55,248.25,245.95,2883662.0,7054.07
2016-03-31,247.1,250.0,242.5,248.3,247.7,4192902.0,10330.73
2016-04-01,248.0,248.0,239.5,243.3,242.9,1772898.0,4307.12
2016-04-04,249.45,249.45,241.2,242.0,242.55,1986415.0,4854.84
2016-04-05,242.4,242.45,223.85,226.5,226.25,4836504.0,11139.93
2016-04-06,227.0,229.75,221.15,224.5,224.35,6273776.0,14054.47
2016-04-07,225.5,228.0,216.0,216.75,216.8,4171133.0,9177.05
2016-04-08,216.0,220.0,214.7,219.05,219.25,1631016.0,3562.54
2016-04-11,220.9,229.9,218.75,228.85,229.05,2417006.0,5457.81
2016-04-12,229.0,234.8,226.3,233.55,233.6,2704639.0,6278.5
2016-04-13,235.0,237.95,232.0,233.0,233.55,2830268.0,6628.45
2016-04-18,235.85,236.75,228.05,230.65,231.3,5479038.0,12760.19
2016-04-20,232.0,236.3,231.5,233.6,233.5,2111521.0,4928.91
2016-04-21,234.1,236.0,228.4,229.5,229.35,2990447.0,6912.78
2016-04-22,229.5,233.4,227.3,231.3,230.1,7431640.0,17026.85
2016-04-25,231.0,233.7,230.25,232.7,231.8,1454607.0,3369.63
2016-04-26,232.2,232.9,227.0,229.0,229.1,2703783.0,6215.67
2016-04-27,230.0,242.0,227.65,241.4,241.25,7177265.0,16839.1
2016-04-28,241.7,241.7,234.35,236.2,235.45,5899252.0,13961.48
2016-04-29,236.0,240.1,232.75,237.85,238.2,2160232.0,5104.96
2016-05-02,237.0,237.25,231.8,232.95,232.95,2312439.0,5402.37
2016-05-03,235.25,242.45,232.5,232.7,235.5,5328996.0,12702.7
2016-05-04,234.5,234.5,205.5,207.25,208.25,22904231.0,48841.46
2016-05-05,209.65,210.7,196.7,197.9,198.0,17225029.0,34537.86
2016-05-06,198.0,199.5,190.55,193.9,194.55,15642446.0,30478.42
