Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-01-01,16879.0,17689.6,16772.7,17400.0,17370.85,59966.0,10380.72
2016-01-04,17519.95,17974.9,17440.05,17475.0,17495.3,91743.0,16244.95
2016-01-05,17575.0,17771.15,17110.9,17180.0,17159.9,56349.0,9762.25
2016-01-06,17287.0,17614.95,17220.0,17480.0,17525.05,48794.0,8502.66
2016-01-07,17390.0,17448.35,16919.5,16919.5,17035.65,49624.0,8523.63
2016-01-08,17060.0,17480.0,17060.0,17180.0,17241.4,28252.0,4876.41
2016-01-11,17160.0,17410.0,16903.0,17265.0,17239.1,30291.0,5222.74
2016-01-12,17399.85,17400.0,16980.95,17070.05,17066.8,29690.0,5103.1
2016-01-13,17288.0,17288.0,16674.7,17050.0,17062.7,45070.0,7653.8
2016-01-14,16890.0,17095.2,16749.95,16948.05,16988.0,37067.0,6283.44
2016-01-15,17010.0,17188.0,16051.05,16180.0,16240.8,33970.0,5664.7
2016-01-18,16247.3,16276.95,15250.0,15250.0,15459.5,48522.0,7632.03
2016-01-19,15450.0,15911.4,14800.0,15901.2,15823.75,62933.0,9747.57
2016-01-20,15601.0,15735.45,15030.0,15700.0,15538.85,43884.0,6729.62
2016-01-21,15788.85,15911.9,15380.0,15680.0,15552.2,45859.0,7218.12
2016-01-22,15885.0,16583.05,15705.1,16460.5,16472.45,55039.0,8932.67
2016-01-25,16777.5,16777.5,16355.55,16381.05,16416.15,22832.0,3785.33
2016-01-27,16454.0,16476.7,16112.0,16180.0,16232.1,26550.0,4327.49
2016-01-28,16232.0,16288.0,15889.0,16000.0,15958.95,37067.0,5930.98
2016-01-29,16000.0,16650.9,15844.1,16625.0,16546.6,57402.0,9341.74
2016-02-01,16800.0,17109.0,16600.25,17090.0,17073.85,43914.0,7428.12
2016-02-02,17199.0,17397.0,17002.0,17130.0,17197.1,49134.0,8466.55
2016-02-03,17010.0,17218.0,16617.4,16701.05,16754.2,64166.0,10854.45
2016-02-04,16901.0,17297.0,16750.0,17050.0,16894.35,46813.0,7964.58
2016-02-05,17060.0,18450.0,16898.45,18175.0,18119.15,216944.0,38836.21
2016-02-08,18374.0,18888.65,18230.0,18320.0,18384.75,103277.0,19108.99
2016-02-09,18200.0,18368.7,17977.55,18200.0,18175.8,36583.0,6649.53
2016-02-10,18137.0,18231.5,17810.0,17859.0,17909.95,48806.0,8767.33
2016-02-11,17750.0,18000.0,17562.15,17650.0,17619.3,125878.0,22245.02
2016-02-12,17720.0,18250.0,17397.8,18010.0,17993.7,81774.0,14544.49
2016-02-15,18275.35,18900.0,18275.35,18700.0,18772.25,56482.0,10541.03
2016-02-16,18900.0,18910.9,18636.0,18675.0,18690.3,85974.0,16131.88
2016-02-17,18700.0,19250.0,18519.0,18789.95,18802.5,182056.0,34253.82
2016-02-18,18999.95,18999.95,18523.55,18640.0,18694.6,60123.0,11262.91
2016-02-19,18550.0,18898.95,18223.55,18634.8,18626.45,28356.0,5274.43
2016-02-22,18798.0,19000.0,18675.05,18880.0,18918.65,25491.0,4813.79
2016-02-23,19101.0,19194.9,18900.0,18937.15,19003.8,47605.0,9043.55
2016-02-24,18937.15,19420.0,18777.35,19116.0,19094.65,38130.0,7278.93
2016-02-25,19049.2,19189.85,18653.0,18900.0,18888.75,71703.0,13546.78
2016-02-26,19001.0,19160.85,18790.2,18865.0,18885.55,43518.0,8229.35
2016-02-29,18820.0,19400.0,18450.3,18920.05,18900.6,53194.0,10084.56
2016-03-01,18950.0,19360.0,18900.0,19180.3,19184.35,79542.0,15283.38
2016-03-02,19500.0,19500.0,19223.2,19285.0,19321.9,73864.0,14274.58
2016-03-03,19430.0,19431.0,19252.0,19325.0,19328.4,45045.0,8706.47
2016-03-04,19400.0,19400.0,19101.0,19260.0,19258.5,23201.0,4467.65
2016-03-08,19200.0,19995.0,19150.0,19995.0,19802.05,103545.0,20291.36
2016-03-09,19836.0,20272.5,19777.45,19925.0,19933.75,79969.0,15932.52
2016-03-10,19950.0,20010.0,19700.2,19770.0,19799.95,94239.0,18773.47
2016-03-11,19820.0,20127.75,19715.0,20000.0,20004.0,47331.0,9465.29
2016-03-14,20200.0,20250.0,19800.0,19800.65,19849.85,72891.0,14611.31
2016-03-15,19874.85,19874.85,19461.0,19521.0,19548.3,135959.0,26703.11
2016-03-16,19540.95,19540.95,18655.0,18695.0,18693.45,94011.0,17758.17
2016-03-17,18780.0,18800.0,17995.0,18003.1,18036.2,93859.0,17140.43
2016-03-18,18051.0,18494.0,17895.0,18470.0,18413.45,73659.0,13427.23
2016-03-21,18564.0,18600.0,18180.0,18438.0,18356.35,45715.0,8398.51
2016-03-22,18500.0,18500.0,18002.0,18180.0,18236.7,35649.0,6504.5
2016-03-23,18299.0,18699.8,18003.0,18475.0,18554.05,45827.0,8395.16
2016-03-28,18597.0,18654.5,18330.0,18348.9,18410.3,28647.0,5297.26
2016-03-29,18450.0,18750.0,18181.05,18607.5,18633.45,40170.0,7411.36
2016-03-30,18799.85,18833.0,18533.45,18685.0,18736.8,54147.0,10128.74
2016-03-31,18825.0,19350.0,18549.4,19200.0,19180.6,163329.0,31066.66
2016-04-01,19080.6,19450.0,18910.85,19230.0,19254.05,80018.0,15369.65
2016-04-04,19384.0,19571.0,19285.1,19450.0,19503.9,50596.0,9833.42
2016-04-05,19400.0,19448.9,18642.1,18719.0,18735.5,48652.0,9239.0
2016-04-06,18834.0,19225.4,18635.5,19170.0,19179.85,33880.0,6443.81
2016-04-07,19150.0,19197.95,18779.85,18800.0,18884.1,20678.0,3929.06
2016-04-08,18935.0,19290.85,18805.1,19252.0,19181.2,25630.0,4888.82
2016-04-11,19160.0,19425.0,19000.0,19371.1,19388.9,28504.0,5486.14
2016-04-12,19320.0,19600.0,19311.0,19509.0,19557.85,54241.0,10549.76
