Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-01-01,860.0,862.0,853.5,856.6,856.55,230366.0,1976.3
2016-01-04,856.55,868.7,851.15,856.35,859.0,828876.0,7122.02
2016-01-05,857.3,859.05,845.5,846.55,847.95,1118709.0,9495.92
2016-01-06,850.0,850.0,840.95,840.95,843.05,2135092.0,18032.53
2016-01-07,840.0,840.95,817.5,818.4,820.25,1353969.0,11146.98
2016-01-08,819.0,831.5,807.7,810.3,809.85,1324046.0,10830.74
2016-01-11,806.0,819.7,801.35,811.75,811.75,1514504.0,12296.42
2016-01-12,808.5,822.15,804.55,818.0,819.7,1110037.0,9025.95
2016-01-13,821.8,836.2,813.75,833.0,832.75,1338356.0,11047.58
2016-01-14,829.5,837.9,818.55,830.95,827.25,1531002.0,12699.73
2016-01-15,827.25,828.95,776.65,803.3,804.25,3249884.0,26211.18
2016-01-18,796.3,816.65,795.0,809.25,809.95,1525578.0,12334.54
2016-01-19,813.0,821.75,807.65,810.0,810.45,867289.0,7068.37
2016-01-20,805.0,815.0,785.0,801.35,795.05,1543575.0,12235.14
2016-01-21,797.2,799.0,774.2,776.95,775.6,1679165.0,13100.3
2016-01-22,780.5,783.5,770.0,773.0,771.5,1465143.0,11346.48
2016-01-25,772.0,784.75,769.7,782.2,783.3,1036869.0,8090.86
2016-01-27,781.0,783.85,766.4,768.0,767.9,1291178.0,9955.94
2016-01-28,769.8,797.0,766.5,791.0,791.75,1967418.0,15487.63
2016-01-29,791.1,820.0,791.1,817.75,816.9,1733695.0,14061.26
2016-02-01,816.0,817.4,799.0,800.0,800.95,1025869.0,8266.41
2016-02-02,809.5,809.95,796.95,801.45,800.1,960236.0,7718.32
2016-02-03,795.5,828.5,795.5,823.05,821.6,1843081.0,15115.38
2016-02-04,824.5,838.4,816.55,835.2,834.8,1698770.0,14105.71
2016-02-05,830.0,855.5,830.0,844.35,844.95,2043434.0,17309.34
2016-02-08,844.0,848.2,826.45,832.05,828.9,490426.0,4112.18
2016-02-09,826.35,842.15,824.7,829.1,826.35,964658.0,8020.84
2016-02-10,826.0,832.1,820.1,825.0,824.55,781041.0,6446.26
2016-02-11,823.9,828.0,791.2,792.85,802.6,1010277.0,8213.87
2016-02-12,800.5,816.7,795.0,814.0,812.6,1318480.0,10653.16
2016-02-15,817.0,821.95,798.0,803.6,804.7,1206980.0,9744.49
2016-02-16,810.0,811.85,799.45,800.5,803.2,926079.0,7454.94
2016-02-17,800.5,814.0,789.75,811.5,812.55,783633.0,6310.03
2016-02-18,814.05,830.5,812.5,825.0,827.4,1179011.0,9710.96
2016-02-19,831.85,831.85,813.45,827.5,827.6,620200.0,5101.18
2016-02-22,827.0,866.0,826.35,858.0,861.65,1883688.0,16079.86
2016-02-23,858.45,858.45,834.2,834.5,836.85,590731.0,4971.63
2016-02-24,836.9,844.9,828.2,839.0,836.75,1062120.0,8893.22
2016-02-25,837.7,846.2,832.4,844.0,842.8,859877.0,7229.16
2016-02-26,848.0,852.65,841.1,847.0,849.9,1191495.0,10101.48
2016-02-29,851.0,851.7,823.5,826.0,830.4,1974971.0,16506.75
2016-03-01,829.85,829.85,818.1,825.5,824.15,1777318.0,14663.59
2016-03-02,830.0,855.0,830.0,849.5,849.25,1221727.0,10357.77
2016-03-03,855.5,856.1,845.75,848.0,848.9,746384.0,6341.66
2016-03-04,848.5,855.9,841.45,849.0,848.75,1331537.0,11311.15
2016-03-08,848.0,848.0,824.0,825.1,826.25,1342346.0,11121.7
2016-03-09,826.55,843.9,826.55,842.2,839.65,1929618.0,16080.6
2016-03-10,837.0,841.0,829.0,837.0,837.55,1140147.0,9492.13
2016-03-11,842.0,857.95,831.5,856.0,851.6,1527676.0,12886.36
2016-03-14,855.05,860.0,845.0,855.75,857.15,825367.0,7040.16
2016-03-15,852.1,856.8,835.55,843.75,840.8,1330602.0,11222.47
2016-03-16,844.9,845.85,831.0,840.95,844.15,1511400.0,12660.65
2016-03-17,848.1,855.0,843.0,845.5,849.65,1970969.0,16779.45
2016-03-18,850.0,852.0,838.0,845.45,848.35,1848223.0,15598.64
2016-03-21,847.1,883.0,847.1,880.1,879.65,1587554.0,13767.57
2016-03-22,876.05,880.65,862.4,866.5,870.15,2024654.0,17585.38
2016-03-23,870.0,877.35,860.55,872.7,873.6,1373555.0,11941.81
2016-03-28,876.0,876.1,860.2,861.9,863.65,2033190.0,17612.71
2016-03-29,860.3,871.35,858.6,859.15,861.15,1389839.0,11995.33
2016-03-30,862.0,878.95,858.9,860.3,861.65,1453623.0,12637.62
2016-03-31,855.5,875.7,855.5,872.7,869.5,2635929.0,22876.05
2016-04-01,867.1,874.9,856.0,866.9,867.8,1096484.0,9478.51
2016-04-04,863.1,874.95,861.3,870.1,872.2,960124.0,8326.44
2016-04-05,870.2,882.85,862.3,864.9,868.5,1096886.0,9584.45
2016-04-06,869.0,872.9,863.0,870.0,871.7,1041648.0,9063.04
2016-04-07,870.0,874.85,855.05,857.6,860.0,848064.0,7336.45
2016-04-08,861.0,863.0,845.8,850.9,850.4,712487.0,6063.62
2016-04-11,853.0,867.85,845.1,865.35,864.3,943737.0,8060.12
2016-04-12,866.9,874.4,860.2,871.5,872.5,867406.0,7541.31
2016-04-13,875.0,899.6,873.5,896.0,897.7,1897529.0,16887.24
2016-04-18,900.2,904.95,886.5,899.75,899.15,1091523.0,9789.98
2016-04-20,899.1,906.0,893.15,906.0,904.1,1424850.0,12795.17
2016-04-21,905.0,906.9,896.0,902.1,904.05,1162870.0,10495.8
2016-04-22,897.8,904.3,883.0,883.5,884.2,1078366.0,9642.93
2016-04-25,880.5,889.0,875.5,886.0,884.15,828061.0,7286.06
2016-04-26,881.6,896.0,880.7,883.2,885.75,1214609.0,10786.25
2016-04-27,884.4,894.0,880.9,893.25,892.2,778693.0,6911.08
2016-04-28,893.2,896.8,871.0,875.3,876.25,2715410.0,23870.04
2016-04-29,876.0,879.35,859.2,869.0,867.9,1581281.0,13701.8
2016-05-02,867.0,867.0,855.0,863.6,863.95,787156.0,6765.18
2016-05-03,863.95,869.0,848.0,848.6,851.0,1305303.0,11170.56
2016-05-04,850.0,855.9,844.0,855.0,853.4,568460.0,4840.47
2016-05-05,859.0,861.9,846.8,851.0,850.15,760873.0,6491.95
2016-05-06,848.0,856.5,846.75,851.7,853.4,411253.0,3504.87
2016-05-09,851.0,869.7,839.2,848.0,845.5,3215773.0,27484.15
2016-05-10,848.8,867.9,845.6,862.8,862.45,1523285.0,13130.67
2016-05-11,855.0,866.8,851.1,865.0,862.55,697299.0,6001.46
2016-05-12,858.4,862.0,849.35,853.3,853.0,730642.0,6233.13
2016-05-13,852.95,852.95,821.95,830.3,831.8,2369627.0,19691.32
2016-05-16,833.0,848.5,817.0,845.5,846.25,1940183.0,16143.89
2016-05-17,850.0,850.35,831.0,837.3,834.05,1434067.0,11976.27
2016-05-18,833.7,834.55,823.0,826.0,825.5,1428456.0,11817.2
2016-05-19,826.1,829.85,810.35,811.85,815.1,1866764.0,15316.52
2016-05-20,820.0,821.0,806.15,812.55,812.4,1624617.0,13231.89
2016-05-23,817.0,825.75,813.05,818.7,819.6,1118741.0,9176.78
2016-05-24,819.0,824.45,815.45,824.0,823.1,946784.0,7779.94
2016-05-25,828.0,841.45,827.05,838.4,840.1,1127694.0,9424.93
2016-05-26,840.2,854.0,832.0,850.0,850.35,2479387.0,20994.25
