Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-01-01,428.1,434.7,428.0,432.0,433.25,625734.0,2706.59
2016-01-04,433.0,433.25,422.0,424.7,426.45,1002958.0,4276.94
2016-01-05,427.85,446.0,426.5,444.9,442.65,1321074.0,5779.83
2016-01-06,444.9,456.0,441.0,448.5,450.85,2421177.0,10899.67
2016-01-07,444.4,452.35,435.3,440.5,441.55,2252684.0,9995.75
2016-01-08,441.25,451.0,441.25,446.55,446.8,1441127.0,6438.77
2016-01-11,445.0,448.7,438.45,441.9,442.9,1091832.0,4843.54
2016-01-12,444.4,449.0,438.35,441.0,440.0,1320122.0,5862.91
2016-01-13,444.8,446.25,429.55,438.5,439.2,951563.0,4166.14
2016-01-14,435.15,441.9,432.5,435.0,435.4,1385054.0,6069.9
2016-01-15,438.9,441.7,424.25,426.8,426.65,1134027.0,4926.13
2016-01-18,426.5,434.35,415.05,417.0,416.9,1216661.0,5176.12
2016-01-19,420.0,420.0,410.3,414.6,415.0,780098.0,3240.75
2016-01-20,412.5,414.7,398.25,407.3,403.2,1328658.0,5402.97
2016-01-21,406.15,412.4,393.25,397.5,396.15,926582.0,3719.41
2016-01-22,399.7,410.4,396.05,405.95,406.4,1143609.0,4653.0
2016-01-25,407.0,409.45,390.7,396.5,395.5,992503.0,3945.73
2016-01-27,397.5,404.0,393.85,397.7,397.0,1202502.0,4821.71
2016-01-28,396.3,407.35,393.95,400.1,398.55,2843588.0,11371.81
2016-01-29,399.0,407.0,398.8,399.2,402.3,1928498.0,7799.3
2016-02-01,405.0,406.1,394.0,402.15,403.75,1498848.0,6010.03
2016-02-02,403.0,405.6,397.25,400.3,398.6,712131.0,2856.0
2016-02-03,397.0,402.3,392.0,395.0,396.35,1163500.0,4628.31
2016-02-04,401.0,401.0,385.25,389.55,389.45,896673.0,3510.85
2016-02-05,390.0,398.95,383.25,397.05,394.55,850725.0,3326.43
2016-02-08,398.0,399.55,388.05,388.05,390.35,709652.0,2789.61
2016-02-09,385.0,393.45,385.0,389.0,388.4,514628.0,2010.9
2016-02-10,386.1,390.0,377.75,384.0,384.05,702853.0,2692.85
2016-02-11,387.95,387.95,366.45,368.0,372.2,1170549.0,4442.61
2016-02-12,372.0,377.9,344.9,367.95,364.55,2109644.0,7624.31
2016-02-15,372.05,401.0,372.0,391.3,388.6,1511665.0,5889.33
2016-02-16,394.75,394.9,372.15,377.95,377.55,1036510.0,3952.21
2016-02-17,381.0,385.15,375.5,385.15,382.5,1233248.0,4703.04
2016-02-18,385.0,392.2,383.85,391.5,391.25,983721.0,3821.92
2016-02-19,388.5,389.9,371.25,372.2,373.25,1173690.0,4429.79
2016-02-22,376.0,380.0,372.0,377.95,378.4,827319.0,3125.65
2016-02-23,372.4,375.75,360.05,362.0,362.7,869612.0,3187.68
2016-02-24,365.0,372.2,363.05,370.25,370.85,1219238.0,4503.08
2016-02-25,371.35,375.0,358.45,363.7,364.1,2599979.0,9540.13
2016-02-26,366.5,370.7,362.15,363.95,364.3,1226783.0,4503.54
2016-02-29,364.8,379.9,357.0,366.7,367.65,1958013.0,7202.11
2016-03-01,372.9,389.1,371.0,383.85,386.0,2053068.0,7796.56
2016-03-02,389.9,397.5,385.1,386.45,389.1,1704332.0,6681.16
2016-03-03,390.0,397.0,386.2,393.25,394.5,1667645.0,6564.69
2016-03-04,392.6,398.85,386.5,387.15,389.0,1581343.0,6199.74
2016-03-08,387.0,403.5,385.0,396.1,398.1,1321707.0,5256.52
2016-03-09,399.0,401.55,386.45,389.9,389.75,2132175.0,8378.01
2016-03-10,390.2,394.7,385.0,387.3,386.1,633312.0,2461.93
2016-03-11,384.5,392.45,384.5,384.65,385.9,851187.0,3302.6
2016-03-14,387.0,391.0,381.7,385.35,385.2,524943.0,2022.43
2016-03-15,385.7,394.25,385.7,393.0,392.2,908054.0,3558.13
2016-03-16,393.0,394.5,386.7,387.8,388.6,612548.0,2391.17
2016-03-17,393.4,405.0,393.4,397.0,398.55,1887943.0,7574.07
2016-03-18,399.2,402.65,389.3,391.5,391.05,1609915.0,6367.01
2016-03-21,393.7,398.8,392.5,395.0,394.55,1395213.0,5512.42
2016-03-22,395.05,401.0,392.4,394.3,393.75,744254.0,2949.24
2016-03-23,396.0,397.65,390.95,393.0,393.1,1071188.0,4215.67
