Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-01-01,239.9,243.4,238.1,241.55,242.5,1847985.0,4460.82
2016-01-04,241.0,244.8,235.65,238.5,238.05,2083421.0,5012.29
2016-01-05,240.0,244.25,239.05,241.8,241.85,2430875.0,5875.77
2016-01-06,242.0,242.3,234.65,237.0,237.55,2004807.0,4797.84
2016-01-07,231.0,233.9,224.05,226.0,226.6,5072924.0,11497.24
2016-01-08,228.0,231.8,225.65,231.2,230.15,4598879.0,10559.38
2016-01-11,226.0,227.25,222.15,225.65,225.5,4275597.0,9627.78
2016-01-12,224.0,224.3,220.0,222.1,221.35,3695782.0,8167.21
2016-01-13,223.0,223.95,217.55,223.55,223.2,3589717.0,7936.13
2016-01-14,220.95,225.5,216.6,223.6,223.25,4349051.0,9643.26
2016-01-15,224.4,224.4,217.8,218.1,219.45,3008388.0,6640.2
2016-01-18,217.0,218.0,211.25,214.8,214.4,3822690.0,8200.83
2016-01-19,215.6,219.4,211.5,218.0,218.0,2531939.0,5466.09
2016-01-20,214.1,215.1,209.2,214.0,213.3,4345939.0,9215.77
2016-01-21,213.65,214.75,205.95,206.2,207.3,5919729.0,12358.95
2016-01-22,211.95,217.0,209.8,216.3,216.25,4835825.0,10351.25
2016-01-25,220.4,221.25,216.55,219.8,219.65,3242696.0,7111.31
2016-01-27,219.7,221.75,217.0,218.5,218.4,4496043.0,9891.0
2016-01-28,218.0,220.8,215.25,219.3,219.9,5840671.0,12787.46
2016-01-29,221.3,227.85,221.0,225.5,226.25,8506493.0,19157.33
2016-02-01,227.8,227.8,221.55,224.75,225.05,2548494.0,5712.04
2016-02-02,222.2,224.4,215.4,217.2,216.55,4600320.0,10080.58
2016-02-03,213.7,217.0,210.3,214.4,213.05,3229311.0,6874.55
2016-02-04,217.9,220.5,216.25,219.75,220.0,4011027.0,8799.31
2016-02-05,220.3,221.85,217.55,220.6,219.95,3807113.0,8364.2
2016-02-08,220.0,220.2,211.65,212.0,214.05,1842740.0,3989.03
2016-02-09,210.9,219.55,210.5,216.8,218.15,2434497.0,5264.04
2016-02-10,213.85,216.0,210.8,214.2,213.5,2711173.0,5789.78
2016-02-11,213.8,213.9,200.05,201.45,203.15,5858032.0,12053.79
2016-02-12,200.0,200.0,187.75,193.55,193.25,6735103.0,13042.03
2016-02-15,198.6,201.2,194.65,199.25,200.35,4771870.0,9501.63
2016-02-16,203.65,206.1,198.1,199.6,199.95,6994009.0,14130.12
2016-02-17,200.0,202.0,197.2,200.0,200.35,4860013.0,9716.24
2016-02-18,203.65,210.6,203.0,207.6,209.1,5199775.0,10802.7
2016-02-19,206.95,212.1,206.0,211.0,211.15,3612713.0,7541.41
2016-02-22,212.0,215.1,210.7,215.0,214.4,2401228.0,5125.16
2016-02-23,215.7,217.8,211.85,213.8,214.6,2395578.0,5154.07
2016-02-24,212.8,212.8,208.2,208.95,209.4,1745437.0,3667.02
2016-02-25,212.4,217.8,209.6,217.0,216.25,3852323.0,8249.78
2016-02-26,217.4,218.55,214.1,215.35,216.05,2803883.0,6064.3
2016-02-29,217.25,221.1,192.5,192.8,194.1,15873238.0,32222.41
2016-03-01,193.9,193.9,188.55,192.0,191.5,15412098.0,29445.84
2016-03-02,194.4,197.3,192.1,195.0,194.95,10349971.0,20151.3
2016-03-03,196.5,200.85,193.75,197.15,197.2,11244497.0,22185.06
2016-03-04,199.9,204.4,199.0,200.95,200.7,15015364.0,30310.43
2016-03-08,202.75,206.35,201.0,201.85,201.85,8172531.0,16640.36
2016-03-09,202.0,206.0,201.3,205.85,205.25,5125877.0,10463.0
2016-03-10,208.95,208.95,204.35,205.0,205.7,8978582.0,18536.09
2016-03-11,207.6,207.6,202.2,205.55,205.1,9508077.0,19422.0
2016-03-14,207.5,209.0,205.75,207.7,208.25,4999098.0,10374.07
2016-03-15,206.0,207.9,205.05,207.6,207.4,3669637.0,7573.85
2016-03-16,207.3,208.75,204.9,206.15,206.5,3459103.0,7142.02
2016-03-17,208.55,214.9,208.5,211.3,212.25,5596216.0,11873.61
2016-03-18,213.75,215.0,212.5,214.2,214.6,4517487.0,9684.52
2016-03-21,214.0,217.5,213.0,217.0,216.65,3867830.0,8350.91
2016-03-22,216.65,219.15,215.0,216.25,216.1,4407038.0,9534.66
2016-03-23,216.4,217.75,211.9,214.5,214.6,3985485.0,8522.35
2016-03-28,216.5,218.7,212.4,214.0,213.95,4803983.0,10294.45
2016-03-29,215.95,216.0,210.7,212.25,212.25,3335457.0,7076.77
2016-03-30,213.0,219.0,212.3,217.8,217.9,3899882.0,8456.69
2016-03-31,214.7,217.55,212.15,214.15,214.1,12174420.0,26098.88
2016-04-01,214.5,214.95,208.1,209.35,208.8,6844130.0,14363.2
2016-04-04,208.45,208.65,204.55,207.8,207.3,3662685.0,7549.49
2016-04-05,206.0,208.5,204.05,205.5,205.5,3271181.0,6722.35
2016-04-06,206.7,208.0,204.0,207.0,206.1,2878339.0,5911.36
2016-04-07,209.05,209.5,206.7,207.1,207.75,3363385.0,6991.82
2016-04-08,207.8,209.45,205.65,206.15,206.15,1612169.0,3339.43
2016-04-11,208.6,209.25,205.2,207.7,207.6,3461763.0,7172.65
2016-04-12,207.85,212.65,207.15,210.85,211.35,4228853.0,8902.73
2016-04-13,215.0,215.4,212.8,213.0,213.35,4291748.0,9192.49
2016-04-18,211.75,211.75,206.1,207.15,207.55,3300134.0,6848.91
2016-04-20,208.9,210.7,208.05,209.65,209.85,3213606.0,6742.53
2016-04-21,212.15,214.45,211.75,213.1,212.95,4691426.0,10005.46
2016-04-22,215.9,217.35,212.65,215.65,216.1,2998135.0,6466.92
2016-04-25,216.45,216.45,211.7,212.5,212.3,1875884.0,4007.18
2016-04-26,212.2,215.6,210.95,214.8,214.3,2760063.0,5900.13
2016-04-27,216.0,223.75,215.9,221.75,221.8,7024295.0,15560.58
2016-04-28,222.3,225.4,215.25,218.1,216.85,7731894.0,16972.86
2016-04-29,218.05,220.75,215.6,217.35,217.25,4058978.0,8856.25
2016-05-02,218.0,220.9,216.0,217.9,217.75,3274574.0,7154.08
2016-05-03,219.05,219.7,213.0,215.45,215.3,3870928.0,8388.14
2016-05-04,214.8,215.3,210.0,210.15,210.65,2831831.0,6009.77
2016-05-05,211.95,213.25,210.0,210.2,210.5,3060130.0,6469.88
2016-05-06,210.55,210.65,207.1,208.3,208.45,2218549.0,4625.97
2016-05-09,209.9,212.5,209.1,212.4,211.6,2672433.0,5635.99
