Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-01-01,438.1,442.75,435.6,440.1,440.35,215763.0,949.83
2016-01-04,436.5,445.0,426.8,433.2,433.85,707107.0,3070.01
2016-01-05,436.5,437.65,427.55,435.9,435.3,840235.0,3634.76
2016-01-06,434.65,445.2,433.35,442.65,443.35,944180.0,4156.57
2016-01-07,441.5,441.5,412.2,419.0,417.4,1104380.0,4678.21
2016-01-08,421.0,428.55,417.55,428.0,425.45,584362.0,2472.25
2016-01-11,420.0,427.85,417.3,425.25,424.9,641044.0,2715.66
2016-01-12,426.2,432.6,419.75,425.5,424.9,850649.0,3622.61
2016-01-13,430.15,430.15,404.3,411.0,411.1,1079341.0,4477.44
2016-01-14,404.1,405.9,391.65,399.7,398.55,1283876.0,5100.6
2016-01-15,401.0,405.0,388.55,390.0,390.35,1364926.0,5432.84
2016-01-18,385.6,394.25,374.65,389.0,388.0,951035.0,3665.29
2016-01-19,389.0,398.9,387.1,392.95,391.95,768965.0,3019.72
2016-01-20,385.0,388.45,370.35,373.95,373.45,1847785.0,6982.35
2016-01-21,372.1,382.4,372.0,377.25,377.7,1406889.0,5316.89
2016-01-22,382.65,402.25,380.25,398.9,399.2,1035614.0,4097.85
2016-01-25,402.8,405.1,394.25,399.9,401.6,720941.0,2886.82
2016-01-27,404.0,416.7,401.0,411.2,413.15,1484018.0,6121.86
2016-01-28,413.1,421.0,409.05,411.0,410.65,1468535.0,6097.35
2016-01-29,413.95,438.9,410.9,437.9,437.15,2515714.0,10732.2
2016-02-01,441.0,441.95,430.5,436.05,438.15,897004.0,3925.99
2016-02-02,437.0,438.0,412.6,413.0,416.0,1139482.0,4826.62
2016-02-03,409.0,413.85,402.85,408.5,409.1,737736.0,3013.07
2016-02-04,414.7,418.25,397.5,404.8,405.25,870586.0,3555.56
2016-02-05,407.85,414.85,403.55,413.5,412.0,912361.0,3729.23
2016-02-08,413.5,418.0,401.05,401.05,403.55,466188.0,1916.36
2016-02-09,399.5,405.05,386.3,390.0,390.3,679610.0,2661.33
2016-02-10,385.0,397.95,384.2,397.0,395.3,942150.0,3689.76
2016-02-11,393.0,397.75,376.8,389.95,387.7,1242801.0,4796.37
2016-02-12,388.85,393.3,367.25,385.0,379.4,1044446.0,3948.71
2016-02-15,385.0,408.9,385.0,407.0,405.0,896406.0,3585.7
