Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-01-02,1209.45,1210.1,1192.05,1198.05,1197.1,927164.0,11108.16
2017-01-03,1200.8,1201.95,1185.75,1190.0,1189.9,961875.0,11470.35
2017-01-04,1189.85,1192.0,1183.8,1188.8,1185.5,1741780.0,20689.9
2017-01-05,1189.0,1194.5,1183.1,1185.0,1186.2,1694096.0,20107.74
2017-01-06,1190.1,1198.4,1188.2,1194.5,1193.65,1381315.0,16478.97
2017-01-09,1198.85,1204.15,1192.15,1194.6,1195.2,1143449.0,13692.44
2017-01-10,1196.2,1216.8,1195.3,1215.8,1214.35,1386529.0,16755.3
2017-01-11,1217.5,1238.1,1215.5,1230.6,1234.0,2335851.0,28714.48
2017-01-12,1235.0,1243.7,1225.5,1235.0,1235.0,729079.0,8987.54
2017-01-13,1239.0,1239.7,1228.6,1234.85,1232.5,962603.0,11849.38
2017-01-16,1233.5,1249.45,1232.8,1249.4,1247.65,941466.0,11703.99
2017-01-17,1247.0,1252.4,1236.25,1238.0,1238.5,889903.0,11035.76
2017-01-18,1240.9,1256.0,1240.85,1245.0,1242.6,1153222.0,14368.9
2017-01-19,1244.9,1244.9,1235.0,1236.0,1236.3,878103.0,10872.54
2017-01-20,1236.0,1245.0,1230.0,1236.0,1236.35,3485517.0,43102.95
2017-01-23,1236.0,1250.0,1235.8,1247.9,1244.65,1198462.0,14900.25
2017-01-24,1250.0,1271.5,1249.25,1269.8,1267.55,2565466.0,32315.23
2017-01-25,1272.6,1295.6,1270.1,1285.0,1290.6,3909246.0,50168.54
2017-01-27,1299.0,1300.0,1288.0,1292.25,1291.9,1713059.0,22168.96
2017-01-30,1292.95,1292.95,1280.55,1283.0,1284.95,1329907.0,17078.33
2017-01-31,1282.4,1292.7,1277.0,1284.0,1286.65,1525260.0,19621.19
2017-02-01,1286.2,1310.0,1280.5,1307.05,1305.7,2727666.0,35356.48
2017-02-02,1305.7,1305.7,1292.6,1299.9,1298.7,1492909.0,19370.97
2017-02-03,1299.0,1316.0,1296.5,1308.25,1311.05,2001276.0,26175.3
2017-02-06,1312.3,1320.0,1311.45,1313.75,1314.1,1077555.0,14175.69
2017-02-07,1316.0,1318.0,1302.95,1307.0,1307.15,852980.0,11160.01
2017-02-08,1307.55,1318.7,1298.15,1313.4,1305.65,1235240.0,16163.64
2017-02-09,1309.4,1319.9,1292.55,1299.7,1297.65,1116344.0,14517.24
2017-02-10,1298.35,1308.75,1298.0,1306.95,1303.6,824184.0,10740.61
2017-02-13,1307.55,1315.0,1299.2,1311.25,1310.2,698948.0,9143.64
2017-02-14,1314.0,1314.0,1304.0,1312.25,1311.1,611515.0,8014.07
2017-02-15,1312.0,1324.0,1307.45,1320.1,1322.2,1531735.0,20206.29
2017-02-16,1323.0,1333.0,1320.25,1328.25,1327.9,1260925.0,16741.16
2017-02-17,1445.0,1454.0,1360.45,1375.0,1377.05,100564990.0,1426399.96
2017-02-20,1361.2,1415.45,1359.15,1411.35,1409.1,2641679.0,36759.66
2017-02-21,1406.05,1421.8,1397.4,1412.0,1415.55,1565007.0,22031.47
2017-02-22,1415.0,1418.8,1394.85,1403.8,1399.15,1324194.0,18620.53
2017-02-23,1403.8,1421.35,1387.05,1391.0,1394.3,8623745.0,121160.54
2017-02-27,1390.9,1398.35,1378.6,1390.0,1393.6,1170344.0,16286.52
2017-02-28,1392.9,1396.25,1384.5,1390.1,1390.1,732002.0,10177.17
2017-03-01,1396.45,1396.5,1386.4,1393.05,1391.65,870434.0,12103.1
2017-03-02,1394.55,1396.0,1376.25,1377.15,1380.1,1150497.0,15973.34
2017-03-03,1384.5,1384.5,1369.0,1376.95,1377.0,623206.0,8558.24
2017-03-06,1376.8,1389.9,1373.1,1381.85,1380.75,919781.0,12720.18
2017-03-07,1382.25,1387.5,1376.2,1387.0,1386.2,778219.0,10768.92
2017-03-08,1387.9,1399.2,1381.05,1392.8,1392.2,945536.0,13155.14
2017-03-09,1381.65,1398.7,1381.65,1396.0,1394.2,877329.0,12205.44
2017-03-10,1395.0,1408.0,1393.15,1407.45,1400.1,1465176.0,20493.87
2017-03-14,1422.1,1424.15,1406.65,1406.65,1410.7,1788755.0,25257.04
2017-03-15,1410.95,1420.0,1410.55,1418.95,1416.6,1067965.0,15116.21
2017-03-16,1418.1,1422.85,1413.65,1421.0,1417.35,1245027.0,17651.72
2017-03-17,1418.55,1427.5,1412.85,1426.5,1425.85,847616.0,12061.54
2017-03-20,1426.65,1439.85,1425.95,1436.0,1436.1,2035586.0,29238.48
2017-03-21,1434.0,1445.0,1434.0,1442.8,1440.95,1389320.0,20025.08
2017-03-22,1427.7,1437.0,1425.8,1429.0,1430.9,1409136.0,20160.93
2017-03-23,1434.4,1435.0,1422.9,1430.0,1430.9,1230618.0,17582.22
2017-03-24,1433.0,1434.45,1422.0,1424.0,1424.35,952591.0,13598.61
2017-03-27,1424.0,1424.0,1404.05,1411.95,1409.85,1466021.0,20704.26
2017-03-28,1418.3,1424.7,1413.1,1421.1,1420.2,2015350.0,28652.04
2017-03-29,1420.8,1434.8,1420.0,1429.55,1428.6,2143943.0,30628.98
2017-03-30,1428.0,1479.95,1425.05,1460.0,1466.2,8580273.0,125450.28
2017-03-31,1453.8,1454.0,1436.55,1440.0,1442.55,2412848.0,34793.61
2017-04-03,1446.0,1450.1,1426.0,1430.9,1433.2,1037263.0,14867.6
2017-04-05,1435.25,1446.5,1427.55,1427.55,1432.35,1436020.0,20642.95
2017-04-06,1431.5,1443.0,1425.05,1435.35,1438.5,1531104.0,21967.59
2017-04-07,1431.05,1445.0,1428.6,1440.0,1438.85,1162090.0,16725.17
2017-04-10,1443.0,1443.0,1432.65,1435.0,1434.15,848469.0,12189.81
2017-04-11,1434.0,1441.2,1431.5,1436.0,1439.5,1089065.0,15639.53
2017-04-12,1439.0,1449.95,1435.5,1441.25,1443.7,891273.0,12866.46
2017-04-13,1443.0,1448.9,1437.05,1440.0,1440.3,1201059.0,17316.05
2017-04-17,1440.3,1443.8,1428.25,1439.55,1436.8,1784264.0,25575.91
2017-04-18,1440.0,1455.0,1438.0,1443.2,1447.3,909715.0,13179.41
2017-04-19,1447.0,1456.75,1438.0,1453.0,1449.0,1084536.0,15688.71
2017-04-20,1453.0,1466.05,1452.95,1462.3,1462.15,1445343.0,21126.89
2017-04-21,1466.0,1499.0,1453.3,1498.7,1496.6,4314508.0,63943.53
2017-04-24,1498.1,1539.0,1497.0,1532.0,1533.05,5051738.0,77152.54
2017-04-25,1535.05,1545.5,1529.6,1539.25,1537.05,2264445.0,34820.0
2017-04-26,1542.95,1553.0,1468.45,1552.95,1550.65,1948963.0,30133.53
2017-04-27,1546.1,1573.95,1546.1,1554.0,1568.6,4045105.0,63311.91
2017-04-28,1559.9,1559.9,1537.1,1545.0,1546.5,1359432.0,21000.77
2017-05-02,1547.0,1550.9,1530.35,1542.85,1540.6,1001760.0,15435.18
2017-05-03,1554.25,1554.25,1539.35,1541.05,1544.3,626991.0,9680.31
2017-05-04,1539.25,1542.9,1522.6,1533.5,1534.8,1282757.0,19617.83
2017-05-05,1542.1,1542.9,1526.3,1531.0,1532.2,689474.0,10561.77
2017-05-08,1538.0,1540.0,1528.55,1532.6,1534.8,936813.0,14366.57
2017-05-09,1534.8,1545.6,1532.65,1533.9,1535.75,836459.0,12863.68
2017-05-10,1540.0,1555.0,1537.05,1554.0,1551.8,585561.0,9065.4
2017-05-11,1551.0,1560.0,1541.0,1543.0,1546.4,968936.0,15032.28
2017-05-12,1545.9,1556.9,1536.2,1554.0,1551.65,1536901.0,23703.9
2017-05-15,1550.0,1557.2,1542.25,1553.0,1553.4,701195.0,10873.68
2017-05-16,1555.0,1562.0,1548.25,1561.85,1559.65,897594.0,13958.57
2017-05-17,1558.8,1565.4,1551.5,1557.5,1557.15,868118.0,13521.03
2017-05-18,1549.0,1561.5,1548.1,1557.5,1557.1,776820.0,12095.0
2017-05-19,1559.5,1569.9,1545.25,1568.05,1561.25,713534.0,11109.26
2017-05-22,1565.1,1580.0,1563.1,1579.0,1576.0,715013.0,11243.32
2017-05-23,1580.0,1583.55,1565.0,1569.0,1569.1,770043.0,12128.9
2017-05-24,1569.05,1575.45,1562.0,1567.0,1566.75,866847.0,13581.44
2017-05-25,1567.1,1629.4,1567.1,1613.25,1617.15,5022701.0,80627.57
2017-05-26,1606.65,1632.0,1601.1,1623.0,1626.0,1360789.0,22011.59
2017-05-29,1619.8,1648.0,1617.65,1626.65,1631.9,1479085.0,24182.1
2017-05-30,1630.0,1633.5,1616.15,1631.4,1629.05,1108546.0,17988.9
2017-05-31,1625.0,1643.0,1623.15,1640.0,1636.2,1329728.0,21694.3
2017-06-01,1639.0,1639.85,1620.55,1627.0,1628.6,839885.0,13697.8
2017-06-02,1634.0,1646.1,1626.2,1631.85,1634.25,803386.0,13143.7
2017-06-05,1633.7,1638.95,1625.0,1638.5,1635.55,724975.0,11840.84
2017-06-06,1635.0,1643.8,1630.0,1639.0,1638.95,1250658.0,20492.01
2017-06-07,1640.4,1644.9,1630.35,1641.3,1640.8,638569.0,10461.39
2017-06-08,1643.9,1659.4,1641.65,1643.6,1644.75,1062192.0,17508.08
2017-06-09,1640.1,1670.0,1640.1,1669.9,1666.8,1326318.0,22022.1
2017-06-12,1664.0,1676.0,1660.0,1666.0,1668.75,992853.0,16546.29
2017-06-13,1661.75,1691.9,1661.0,1674.0,1676.7,1262905.0,21218.6
2017-06-14,1675.0,1679.95,1667.0,1672.85,1671.2,964590.0,16128.24
2017-06-15,1668.0,1675.6,1653.6,1665.0,1664.35,881673.0,14654.14
2017-06-16,1665.0,1674.7,1658.1,1667.0,1669.25,938776.0,15638.72
2017-06-19,1671.0,1696.0,1668.4,1690.7,1692.9,956383.0,16099.58
2017-06-20,1690.0,1694.0,1679.85,1681.55,1686.55,915066.0,15430.85
2017-06-21,1682.6,1701.25,1679.6,1696.9,1698.7,852733.0,14432.98
2017-06-22,1694.95,1716.0,1691.2,1699.0,1698.0,1668865.0,28460.17
2017-06-23,1702.0,1702.75,1675.2,1681.1,1678.65,1304367.0,21970.62
2017-06-27,1689.0,1695.0,1656.25,1667.55,1667.65,1500108.0,25102.9
2017-06-28,1665.0,1675.0,1657.8,1666.5,1666.45,1112259.0,18531.15
2017-06-29,1667.0,1681.9,1651.1,1655.0,1663.05,2296927.0,38271.59
2017-06-30,1653.8,1660.0,1643.0,1654.85,1652.05,1082608.0,17909.9
2017-07-03,1652.6,1667.5,1647.25,1660.0,1658.6,876083.0,14526.03
2017-07-04,1660.25,1666.7,1652.0,1653.0,1653.35,941520.0,15595.79
2017-07-05,1653.1,1659.5,1645.0,1647.15,1648.75,1003550.0,16568.78
2017-07-06,1652.55,1663.0,1651.35,1658.95,1658.15,1142919.0,18958.08
2017-07-07,1660.85,1669.6,1658.0,1665.0,1667.2,1379349.0,22943.76
2017-07-10,1670.7,1748.0,1661.05,1674.0,1676.35,334769.0,5605.35
2017-07-11,1677.55,1690.8,1667.1,1676.15,1680.4,1102570.0,18540.82
2017-07-12,1680.0,1685.0,1658.55,1680.55,1681.25,1434723.0,24038.0
2017-07-13,1688.0,1693.3,1679.65,1681.05,1683.55,1120251.0,18903.9
