Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-01-02,344.95,346.85,342.05,344.0,344.2,569696.0,1959.71
2017-01-03,344.2,345.95,338.15,341.5,341.5,1121894.0,3827.12
2017-01-04,342.0,354.0,337.0,352.25,352.35,2191385.0,7670.15
2017-01-05,349.2,353.5,343.55,350.15,350.1,1530517.0,5322.93
2017-01-06,351.9,357.4,351.05,354.3,354.25,792191.0,2810.59
2017-01-09,354.25,355.3,347.75,349.3,349.2,210597.0,739.16
2017-01-10,351.0,355.4,349.6,353.65,353.55,1066409.0,3770.55
2017-01-11,352.7,358.0,351.45,355.55,353.25,1590588.0,5632.25
2017-01-12,357.8,361.05,353.9,359.5,358.85,1760215.0,6291.21
2017-01-13,357.05,358.65,351.4,353.9,353.8,901856.0,3197.03
2017-01-16,354.0,358.85,352.55,355.9,355.55,368089.0,1311.6
2017-01-17,355.7,358.0,350.4,351.0,353.3,670873.0,2373.25
2017-01-18,352.85,354.5,349.2,350.0,350.55,587389.0,2067.92
2017-01-19,350.2,359.9,348.85,355.05,358.25,1209153.0,4316.46
2017-01-20,357.0,357.85,350.45,351.4,353.2,766197.0,2705.25
2017-01-23,352.15,352.9,346.0,347.65,346.8,1309561.0,4552.14
2017-01-24,350.95,352.55,344.3,351.4,350.65,1219473.0,4250.49
2017-01-25,354.75,354.75,348.45,352.75,351.75,1602532.0,5637.45
2017-01-27,352.25,356.7,352.25,353.0,353.9,570512.0,2024.49
2017-01-30,351.55,356.0,327.0,327.5,328.7,3144910.0,10662.97
2017-01-31,333.0,333.0,282.7,293.0,293.8,17048162.0,50311.96
2017-02-01,293.0,303.4,289.6,293.0,294.35,7891966.0,23290.87
2017-02-02,294.4,296.0,286.6,292.45,292.5,7705049.0,22492.28
2017-02-03,294.2,303.95,294.2,298.9,299.85,7370171.0,22149.03
2017-02-06,303.0,308.35,300.65,304.05,304.55,3337319.0,10149.08
2017-02-07,304.0,312.4,299.15,301.0,301.3,5227806.0,16091.17
2017-02-08,300.5,311.0,299.25,310.0,310.05,3978420.0,12227.15
2017-02-09,311.0,322.45,308.75,318.0,319.0,6834703.0,21603.92
2017-02-10,320.0,323.75,313.9,315.9,317.05,3484508.0,11073.11
2017-02-13,318.2,324.6,317.25,320.95,320.5,1831990.0,5871.96
2017-02-14,323.0,323.5,315.6,319.0,318.75,2197759.0,6994.32
2017-02-15,319.05,327.75,318.0,323.0,323.75,4532295.0,14560.42
2017-02-16,323.2,323.75,316.7,318.15,319.25,3318662.0,10602.93
2017-02-17,320.0,321.05,306.0,307.5,307.75,3909443.0,12200.35
2017-02-20,308.0,310.3,306.2,308.0,308.75,1472524.0,4543.7
2017-02-21,308.7,309.85,294.15,295.6,295.6,4464223.0,13316.8
2017-02-22,296.0,303.0,296.0,301.3,300.75,4005464.0,12052.07
2017-02-23,301.0,303.5,295.95,296.95,297.9,5179738.0,15485.14
2017-02-27,300.0,300.95,287.1,288.75,288.15,5404804.0,15763.5
2017-02-28,290.05,294.0,281.75,284.0,284.25,12472499.0,35839.76
2017-03-01,285.0,292.05,285.0,289.0,288.95,5145017.0,14863.45
2017-03-02,292.4,293.75,287.8,289.2,289.8,2879156.0,8381.78
2017-03-03,295.0,310.0,294.05,307.6,307.9,12442632.0,37881.64
2017-03-06,308.85,312.75,305.75,308.95,310.1,5737310.0,17756.78
2017-03-07,310.4,314.9,309.0,310.25,310.1,3416663.0,10657.94
2017-03-08,311.5,311.5,306.35,310.5,309.95,1818529.0,5622.67
2017-03-09,306.7,308.9,303.1,305.15,305.15,2492122.0,7605.09
2017-03-10,308.95,312.8,306.05,309.0,308.45,3372496.0,10433.07
2017-03-14,313.9,315.0,307.5,310.05,310.05,2549708.0,7920.39
2017-03-15,312.0,312.8,308.05,308.95,308.9,2640194.0,8195.55
2017-03-16,311.0,311.75,309.25,310.5,310.5,1573157.0,4884.27
2017-03-17,312.0,312.1,305.65,310.9,309.7,4625028.0,14265.37
