Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-01-02,393.45,408.35,388.9,406.2,406.75,5578129.0,22342.86
2017-01-03,407.05,408.9,401.25,402.35,403.3,3338806.0,13503.34
2017-01-04,404.1,409.0,401.4,405.2,405.45,3344043.0,13557.43
2017-01-05,409.1,422.5,407.3,419.05,419.3,7196279.0,29989.73
2017-01-06,420.5,425.4,415.6,420.0,419.55,4138078.0,17404.84
2017-01-09,423.7,424.2,419.35,421.15,422.0,3122769.0,13184.63
2017-01-10,422.7,432.5,422.6,431.9,431.9,5118565.0,21966.43
2017-01-11,435.3,450.95,434.65,448.25,448.25,11431250.0,51047.67
2017-01-12,449.0,451.15,443.25,447.65,447.55,5361474.0,23992.49
2017-01-13,450.0,450.4,441.2,446.3,446.35,4232151.0,18868.67
2017-01-16,444.25,459.5,443.25,459.5,458.45,6675950.0,30434.06
2017-01-17,459.05,459.6,450.9,454.7,454.25,3342717.0,15190.73
2017-01-18,454.75,470.0,454.25,468.95,468.35,9116932.0,42512.5
2017-01-19,468.7,468.8,462.35,466.85,467.15,3445069.0,16049.41
2017-01-20,466.0,467.8,452.6,455.5,454.5,4927321.0,22663.46
2017-01-23,450.9,464.0,450.6,462.0,461.8,4349975.0,20036.47
2017-01-24,462.0,466.5,458.55,464.15,464.25,3731789.0,17268.52
2017-01-25,467.0,476.75,466.1,468.5,469.5,6307571.0,29746.1
2017-01-27,469.85,473.8,463.35,468.55,469.3,4977414.0,23365.85
2017-01-30,468.5,468.5,460.15,462.2,462.05,3322749.0,15399.49
2017-01-31,460.2,471.4,460.1,463.5,463.05,4543771.0,21148.49
2017-02-01,464.05,475.9,457.15,474.0,474.6,5572616.0,26078.31
2017-02-02,473.5,480.9,466.25,477.2,476.95,5988117.0,28307.8
2017-02-03,476.9,480.0,468.15,472.15,472.8,5284757.0,25039.24
2017-02-06,474.4,477.6,469.15,472.55,473.4,4806869.0,22751.79
2017-02-07,475.1,479.8,470.05,473.5,472.8,4836631.0,22929.88
2017-02-08,485.0,485.4,467.45,468.0,470.65,11287445.0,53801.35
2017-02-09,469.65,473.4,456.5,460.3,459.85,6485765.0,29972.51
2017-02-10,467.0,471.8,460.55,467.05,468.2,7912091.0,36879.65
2017-02-13,473.15,477.0,470.1,472.35,472.6,4898780.0,23196.0
2017-02-14,473.9,474.85,466.1,472.95,472.4,3251700.0,15290.75
2017-02-15,472.7,474.75,457.25,461.55,460.1,4228709.0,19638.43
2017-02-16,464.7,471.5,455.65,471.45,469.95,4820369.0,22396.86
2017-02-17,472.3,474.85,466.65,468.2,468.2,3922122.0,18406.08
2017-02-20,468.0,489.0,464.75,486.4,487.05,8441156.0,40618.94
2017-02-21,488.95,495.9,485.0,490.5,490.95,8063716.0,39617.6
2017-02-22,490.45,491.45,480.6,484.05,484.05,5010536.0,24302.06
2017-02-23,485.1,487.9,478.15,485.0,485.75,4810464.0,23297.85
2017-02-27,485.2,488.15,479.5,480.45,480.6,2730887.0,13175.68
2017-02-28,481.5,485.75,480.45,483.0,482.7,3402886.0,16443.67
2017-03-01,485.0,502.5,483.4,500.05,500.35,7716571.0,38167.46
2017-03-02,502.0,505.6,492.25,494.55,494.65,5722550.0,28591.55
