Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-01-02,216.45,222.0,214.5,221.9,220.95,7344761.0,16100.32
2017-01-03,222.7,223.9,219.1,219.85,219.65,6963277.0,15391.57
2017-01-04,221.55,222.5,216.35,216.8,216.8,6764527.0,14821.9
2017-01-05,219.0,228.7,218.75,227.8,227.65,15074840.0,33910.04
2017-01-06,228.5,233.7,226.45,231.2,230.6,11996360.0,27658.93
2017-01-09,230.9,233.45,230.2,232.1,232.55,8181314.0,19002.01
2017-01-10,232.3,235.35,229.3,232.35,232.6,10164461.0,23615.35
2017-01-11,234.75,238.4,234.1,237.0,237.6,13171455.0,31207.09
2017-01-12,238.1,241.6,235.2,241.15,240.75,6798463.0,16260.53
2017-01-13,241.75,243.4,237.15,238.0,238.3,8225981.0,19708.53
2017-01-16,239.0,244.0,236.7,243.75,243.35,7271247.0,17536.5
2017-01-17,243.95,244.3,235.2,235.5,236.1,7220520.0,17229.67
2017-01-18,238.0,246.2,237.0,244.5,244.4,12128819.0,29441.18
2017-01-19,243.8,246.4,241.1,244.75,245.25,8091020.0,19738.21
2017-01-20,243.6,245.3,237.3,238.9,238.55,8761506.0,21054.01
2017-01-23,238.9,245.75,238.25,245.2,245.25,7508847.0,18262.52
2017-01-24,246.3,253.15,245.15,252.0,252.45,10381629.0,25885.14
2017-01-25,255.0,259.4,252.8,257.85,258.6,15675249.0,40182.13
2017-01-27,258.0,259.4,256.0,257.5,257.55,7166527.0,18467.18
2017-01-30,256.7,261.8,253.55,261.6,260.7,10211874.0,26413.98
2017-01-31,261.0,261.8,252.2,253.8,253.1,8807048.0,22662.33
2017-02-01,254.9,261.5,250.1,259.9,260.55,8526260.0,21799.47
2017-02-02,259.0,262.2,253.7,259.6,259.85,8017203.0,20723.04
2017-02-03,258.9,260.4,248.3,250.85,250.75,9854523.0,24907.94
2017-02-06,252.1,256.0,248.3,250.0,250.75,6348749.0,16015.67
2017-02-07,251.2,255.7,246.75,249.0,248.05,9233110.0,23211.91
2017-02-08,249.0,253.25,248.65,253.1,252.35,6387331.0,16032.81
2017-02-09,253.6,254.8,246.75,248.9,249.3,7214279.0,17984.0
2017-02-10,250.75,252.25,245.35,247.5,248.0,9070897.0,22529.86
2017-02-13,252.05,258.45,251.55,255.85,256.15,13320299.0,34112.35
2017-02-14,257.75,257.85,249.25,254.2,253.6,14729310.0,37270.29
2017-02-15,251.55,256.55,245.1,247.9,247.65,11609560.0,29053.93
2017-02-16,249.2,264.45,242.85,263.8,263.2,17458413.0,44637.0
2017-02-17,263.5,266.0,259.25,263.75,263.45,11546195.0,30381.81
2017-02-20,263.25,272.35,260.8,270.05,270.4,11942189.0,32029.39
2017-02-21,271.0,274.6,267.6,269.25,268.85,11722209.0,31764.74
2017-02-22,271.0,271.0,262.1,263.0,262.9,9040993.0,23995.97
2017-02-23,262.4,267.2,259.55,261.9,262.85,12089183.0,31796.13
2017-02-27,260.0,263.7,255.0,255.25,255.55,10760287.0,27703.89
2017-02-28,255.8,260.8,255.1,259.0,259.1,8429464.0,21794.63
2017-03-01,261.0,266.9,257.55,265.4,265.5,11659023.0,30585.42
2017-03-02,269.0,276.0,268.0,271.95,270.9,20340323.0,55451.53
2017-03-03,269.25,271.65,264.1,268.2,267.5,10162783.0,27143.8
2017-03-06,269.25,270.0,263.1,266.3,266.25,6902269.0,18383.58
2017-03-07,266.0,266.95,259.3,260.1,260.35,9252829.0,24179.78
2017-03-08,260.35,261.0,250.25,251.3,252.2,15429874.0,39115.69
2017-03-09,253.5,255.65,249.65,252.15,252.6,14714081.0,37188.28
2017-03-10,253.4,255.0,247.25,247.75,248.5,10464659.0,26119.6
2017-03-14,254.0,257.25,251.7,252.5,253.7,10922223.0,27805.36
