"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 12, 2018","584.90","589.05","601.60","581.00","10.69M","0.70%"
"Oct 11, 2018","580.85","555.00","585.80","550.10","11.22M","-1.42%"
"Oct 10, 2018","589.20","553.95","590.80","552.85","13.70M","6.58%"
"Oct 09, 2018","552.85","561.90","563.90","549.15","8.05M","-0.66%"
"Oct 08, 2018","556.55","570.00","574.50","546.10","12.92M","-2.10%"
"Oct 05, 2018","568.50","586.00","590.50","565.00","9.86M","-3.03%"
"Oct 04, 2018","586.25","565.00","590.55","553.80","16.88M","2.45%"
"Oct 03, 2018","572.25","592.60","592.60","569.10","18.39M","-3.57%"
"Oct 01, 2018","593.45","615.10","617.50","572.50","20.12M","-3.23%"
"Sep 28, 2018","613.25","598.50","619.80","594.05","16.75M","2.18%"
"Sep 27, 2018","600.15","617.35","619.75","597.00","9.68M","-2.80%"
"Sep 26, 2018","617.45","619.00","624.35","612.05","8.73M","0.50%"
"Sep 25, 2018","614.35","598.80","619.80","589.55","17.52M","2.85%"
"Sep 24, 2018","597.35","599.60","605.75","587.85","12.00M","-0.31%"
"Sep 21, 2018","599.20","618.95","634.00","563.40","24.79M","-1.58%"
"Sep 19, 2018","608.80","611.60","622.50","601.30","9.37M","0.03%"
"Sep 18, 2018","608.60","624.00","633.05","606.15","10.72M","-2.77%"
"Sep 17, 2018","625.95","633.70","634.00","622.00","6.64M","-1.64%"
"Sep 14, 2018","636.40","641.80","644.00","632.00","12.08M","0.15%"
"Sep 12, 2018","635.45","665.00","665.00","630.10","14.45M","-2.26%"
"Sep 11, 2018","650.15","651.65","665.70","647.45","19.16M","-0.25%"
"Sep 10, 2018","651.75","644.95","677.95","643.30","32.43M","0.96%"
"Sep 07, 2018","645.55","640.00","648.00","632.10","7.00M","1.15%"
"Sep 06, 2018","638.20","638.90","643.30","624.60","10.03M","0.09%"
"Sep 05, 2018","637.65","641.00","646.65","631.35","8.84M","-0.65%"
"Sep 04, 2018","641.80","631.00","644.40","622.75","9.31M","1.58%"
"Sep 03, 2018","631.80","655.45","655.45","629.60","6.49M","-2.69%"
"Aug 31, 2018","649.25","649.50","653.50","641.25","10.21M","-0.08%"
"Aug 30, 2018","649.75","661.85","661.85","643.05","14.87M","-1.09%"
"Aug 29, 2018","656.90","657.50","667.65","653.25","13.33M","-0.48%"
"Aug 28, 2018","660.05","652.00","662.80","642.00","9.89M","1.51%"
"Aug 27, 2018","650.20","643.00","651.50","642.00","9.82M","1.61%"
"Aug 24, 2018","639.90","638.05","643.40","634.00","15.04M","1.29%"
"Aug 23, 2018","631.75","644.65","644.65","628.55","12.70M","-0.63%"
"Aug 21, 2018","635.75","625.40","638.25","617.30","15.52M","1.82%"
"Aug 20, 2018","624.40","630.00","630.60","622.10","6.46M","-0.46%"
"Aug 17, 2018","627.30","630.00","632.45","620.30","13.41M","0.62%"
