"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 12, 2018","152.38","156.36","156.61","151.30","17.11M","-0.63%"
"Oct 11, 2018","153.35","150.13","154.81","149.16","35.34M","1.30%"
"Oct 10, 2018","151.38","156.82","157.69","151.31","30.61M","-4.13%"
"Oct 09, 2018","157.90","157.69","160.59","157.42","18.84M","0.41%"
"Oct 08, 2018","157.25","155.54","158.34","154.39","24.05M","-0.05%"
"Oct 05, 2018","157.33","159.21","160.90","156.20","25.74M","-0.96%"
"Oct 04, 2018","158.85","161.46","161.46","157.35","25.74M","-2.20%"
"Oct 03, 2018","162.43","160.00","163.66","159.53","23.11M","1.95%"
"Oct 02, 2018","159.33","161.58","162.28","158.67","36.03M","-1.91%"
"Oct 01, 2018","162.44","163.03","165.88","161.26","26.41M","-1.23%"
"Sep 28, 2018","164.46","168.33","168.79","162.56","34.27M","-2.59%"
"Sep 27, 2018","168.84","167.55","171.77","167.21","27.27M","1.13%"
"Sep 26, 2018","166.95","164.30","169.30","164.21","25.25M","1.24%"
"Sep 25, 2018","164.91","161.99","165.59","161.15","27.62M","-0.30%"
"Sep 24, 2018","165.41","161.03","165.70","160.88","19.22M","1.52%"
"Sep 21, 2018","162.93","166.64","167.25","162.81","45.99M","-1.86%"
"Sep 20, 2018","166.02","164.50","166.45","164.47","18.94M","1.82%"
"Sep 19, 2018","163.06","160.08","163.44","159.48","19.63M","1.72%"
"Sep 18, 2018","160.30","159.39","161.76","158.87","22.47M","-0.17%"
"Sep 17, 2018","160.58","161.92","162.06","159.77","21.01M","-1.07%"
"Sep 14, 2018","162.32","161.72","162.84","160.34","21.77M","0.59%"
"Sep 13, 2018","161.36","162.00","163.32","160.86","25.45M","-0.40%"
"Sep 12, 2018","162.00","163.25","164.49","161.80","24.08M","-2.37%"
"Sep 11, 2018","165.94","163.94","167.19","163.72","20.46M","1.07%"
"Sep 10, 2018","164.18","163.51","165.01","162.16","20.20M","0.70%"
"Sep 07, 2018","163.04","160.31","164.63","160.16","24.30M","0.31%"
"Sep 06, 2018","162.53","166.98","166.98","160.00","41.51M","-2.78%"
"Sep 05, 2018","167.18","169.49","171.12","166.67","31.23M","-2.33%"
"Sep 04, 2018","171.16","173.50","173.89","168.80","29.81M","-2.60%"
"Aug 31, 2018","175.73","177.15","177.62","174.98","18.07M","-1.08%"
"Aug 30, 2018","177.64","175.90","179.79","175.70","24.22M","0.99%"
"Aug 29, 2018","175.90","176.29","176.79","174.75","18.68M","-0.20%"
"Aug 28, 2018","176.26","178.10","178.24","175.83","15.91M","-0.68%"
"Aug 27, 2018","177.46","175.99","178.67","175.79","17.92M","1.61%"
"Aug 24, 2018","174.65","173.70","174.82","172.92","14.63M","1.01%"
"Aug 23, 2018","172.90","173.09","175.55","172.83","18.05M","-0.43%"
"Aug 22, 2018","173.64","172.21","174.24","172.13","16.89M","0.59%"
"Aug 21, 2018","172.62","172.81","174.17","171.39","19.58M","0.07%"
"Aug 20, 2018","172.50","174.04","174.57","170.91","21.52M","-0.75%"
"Aug 17, 2018","173.80","174.50","176.22","172.04","24.89M","-0.52%"
"Aug 16, 2018","174.70","180.42","180.50","174.01","31.35M","-2.69%"
"Aug 15, 2018","179.53","179.34","180.87","174.78","33.02M","-0.87%"
"Aug 14, 2018","181.11","180.71","181.99","178.62","19.10M","0.59%"
"Aug 13, 2018","180.05","180.10","182.61","178.90","17.42M","-0.12%"
"Aug 10, 2018","180.26","182.04","182.10","179.42","21.50M","-1.55%"
"Aug 09, 2018","183.09","185.85","186.57","182.48","19.73M","-1.13%"
"Aug 08, 2018","185.18","184.75","186.85","183.76","22.21M","0.75%"
"Aug 07, 2018","183.81","186.50","188.30","183.72","33.40M","-1.01%"
"Aug 06, 2018","185.69","178.97","185.79","178.38","49.72M","4.45%"
"Aug 03, 2018","177.78","177.69","178.85","176.15","24.76M","0.80%"
"Aug 02, 2018","176.37","170.68","176.79","170.27","32.40M","2.75%"
"Aug 01, 2018","171.65","173.93","175.08","170.90","34.04M","-0.54%"
