"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 12, 2018","12.26","12.53","12.83","12.21","91.13M","-3.62%"
"Oct 11, 2018","12.72","13.12","13.29","12.66","116.16M","-4.22%"
"Oct 10, 2018","13.28","13.39","13.66","13.23","91.94M","-1.99%"
"Oct 09, 2018","13.55","13.71","13.78","13.41","110.45M","-0.44%"
"Oct 08, 2018","13.61","13.52","13.64","13.26","172.65M","3.26%"
"Oct 05, 2018","13.18","12.88","13.30","12.86","151.16M","4.11%"
"Oct 04, 2018","12.66","12.41","12.68","12.34","74.91M","1.44%"
"Oct 03, 2018","12.48","12.34","12.63","12.28","82.97M","1.30%"
"Oct 02, 2018","12.32","12.32","12.48","11.77","148.71M","1.90%"
"Oct 01, 2018","12.09","13.02","13.07","11.94","308.11M","7.09%"
"Sep 28, 2018","11.29","11.44","11.51","11.25","76.57M","-2.08%"
"Sep 27, 2018","11.53","11.37","11.75","11.36","82.20M","1.23%"
"Sep 26, 2018","11.39","11.25","11.55","11.21","93.37M","1.06%"
"Sep 25, 2018","11.27","11.73","11.76","11.22","133.69M","-4.00%"
"Sep 24, 2018","11.74","12.10","12.10","11.60","148.59M","-3.53%"
"Sep 21, 2018","12.17","12.40","12.56","12.16","95.42M","-2.33%"
"Sep 20, 2018","12.46","12.59","12.69","12.36","88.33M","-3.11%"
"Sep 19, 2018","12.86","12.62","12.99","12.56","62.10M","1.58%"
"Sep 18, 2018","12.66","12.67","12.75","12.56","42.89M","-0.31%"
"Sep 17, 2018","12.70","12.61","12.89","12.60","50.67M","0.16%"
"Sep 14, 2018","12.68","12.53","12.75","12.38","69.97M","-0.24%"
"Sep 13, 2018","12.71","12.67","12.75","12.43","54.67M","0.79%"
"Sep 12, 2018","12.61","12.30","12.63","12.22","40.19M","2.27%"
"Sep 11, 2018","12.33","12.44","12.47","12.23","40.15M","-1.44%"
"Sep 10, 2018","12.51","12.36","12.70","12.35","43.37M","0.89%"
"Sep 07, 2018","12.40","12.39","12.44","12.27","45.87M","-0.88%"
"Sep 06, 2018","12.51","12.50","12.80","12.50","40.62M","-0.40%"
"Sep 05, 2018","12.56","12.45","12.58","12.23","55.07M","-0.87%"
"Sep 04, 2018","12.67","12.88","12.88","12.63","44.84M","-2.09%"
"Aug 31, 2018","12.94","12.73","12.95","12.70","50.40M","1.33%"
"Aug 30, 2018","12.77","12.87","12.97","12.75","44.67M","-1.54%"
"Aug 29, 2018","12.97","12.77","12.98","12.67","47.79M","1.65%"
"Aug 28, 2018","12.76","12.77","12.89","12.72","59.07M","-0.08%"
"Aug 27, 2018","12.77","12.48","12.78","12.45","44.69M","2.16%"
"Aug 24, 2018","12.50","12.52","12.56","12.47","38.67M","-0.32%"
"Aug 23, 2018","12.54","12.41","12.56","12.39","38.05M","0.56%"
"Aug 22, 2018","12.47","12.61","12.62","12.42","43.45M","-1.27%"
"Aug 21, 2018","12.63","12.34","12.69","12.33","57.95M","2.68%"
"Aug 20, 2018","12.30","12.27","12.39","12.14","37.76M","0.00%"
"Aug 17, 2018","12.30","12.26","12.34","12.21","46.95M","0.00%"
"Aug 16, 2018","12.30","12.26","12.36","12.21","51.98M","0.65%"
"Aug 15, 2018","12.22","12.27","12.36","11.94","64.71M","-1.05%"
