"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 12, 2018","319.40","313.85","323.95","313.85","25.93M","2.47%"
"Oct 11, 2018","311.70","310.00","315.45","304.00","21.69M","-2.55%"
"Oct 10, 2018","319.85","307.10","322.95","304.50","23.97M","4.44%"
"Oct 09, 2018","306.25","311.45","311.90","303.00","14.85M","-1.48%"
"Oct 08, 2018","310.85","307.30","314.05","298.60","20.49M","1.16%"
"Oct 05, 2018","307.30","314.65","321.85","299.35","36.13M","-2.91%"
"Oct 04, 2018","316.50","299.00","321.25","294.80","56.27M","4.21%"
"Oct 03, 2018","303.70","311.10","314.50","302.45","19.11M","-3.28%"
"Oct 01, 2018","314.00","306.30","315.05","300.55","21.10M","2.77%"
"Sep 28, 2018","305.55","309.10","311.60","301.80","26.29M","-0.36%"
"Sep 27, 2018","306.65","315.65","316.00","305.30","24.89M","-2.06%"
"Sep 26, 2018","313.10","315.00","315.30","305.10","23.22M","0.64%"
"Sep 25, 2018","311.10","307.00","313.50","300.05","30.47M","0.76%"
"Sep 24, 2018","308.75","316.80","316.80","305.55","24.38M","-2.63%"
"Sep 21, 2018","317.10","323.45","333.70","308.35","34.17M","-1.20%"
"Sep 19, 2018","320.95","320.00","324.70","317.00","15.94M","0.66%"
"Sep 18, 2018","318.85","324.25","328.05","317.70","14.83M","-2.10%"
"Sep 17, 2018","325.70","327.30","327.50","321.35","7.23M","-0.81%"
"Sep 14, 2018","328.35","327.20","332.00","324.15","10.74M","1.69%"
"Sep 12, 2018","322.90","327.00","327.05","318.50","15.26M","-1.12%"
"Sep 11, 2018","326.55","333.70","336.70","325.10","13.01M","-1.91%"
"Sep 10, 2018","332.90","331.80","335.75","330.40","16.67M","-0.66%"
"Sep 07, 2018","335.10","327.45","336.40","322.45","16.44M","1.96%"
"Sep 06, 2018","328.65","330.00","331.25","325.50","11.32M","-0.30%"
"Sep 05, 2018","329.65","327.00","331.35","324.60","14.55M","0.35%"
"Sep 04, 2018","328.50","334.80","336.45","327.25","15.47M","-1.69%"
"Sep 03, 2018","334.15","343.60","344.00","332.55","12.86M","-2.47%"
"Aug 31, 2018","342.60","343.00","346.80","338.50","19.81M","-0.51%"
"Aug 30, 2018","344.35","339.20","345.45","337.70","22.35M","1.09%"
"Aug 29, 2018","340.65","336.35","342.65","335.80","18.87M","0.52%"
"Aug 28, 2018","338.90","342.00","343.50","336.30","16.43M","-0.29%"
"Aug 27, 2018","339.90","331.00","342.30","330.95","28.08M","2.95%"
"Aug 24, 2018","330.15","334.40","335.50","327.30","17.81M","-2.09%"
"Aug 23, 2018","337.20","336.55","338.70","334.75","18.87M","-0.49%"
"Aug 21, 2018","338.85","338.30","341.85","334.05","16.01M","0.12%"
"Aug 20, 2018","338.45","340.00","342.45","336.70","13.03M","-0.46%"
"Aug 17, 2018","340.00","336.80","342.20","335.85","24.09M","1.71%"
"Aug 16, 2018","334.30","329.55","339.20","328.75","37.46M","0.56%"
"Aug 14, 2018","332.45","324.70","333.50","324.70","15.31M","2.32%"
"Aug 13, 2018","324.90","324.00","327.45","322.00","15.33M","-1.13%"
"Aug 10, 2018","328.60","334.05","340.30","325.35","36.32M","-1.32%"
"Aug 09, 2018","333.00","320.25","345.85","320.25","76.42M","4.49%"
"Aug 08, 2018","318.70","313.00","320.00","308.25","17.92M","1.77%"
"Aug 07, 2018","313.15","313.95","318.15","310.40","20.75M","-0.62%"
"Aug 06, 2018","315.10","306.95","318.00","306.80","25.85M","3.31%"
"Aug 03, 2018","305.00","300.00","306.75","297.55","14.48M","2.16%"
"Aug 02, 2018","298.55","295.00","300.75","294.10","14.09M","-0.25%"
"Aug 01, 2018","299.30","302.60","305.65","296.80","15.58M","-1.63%"
"Jul 31, 2018","304.25","304.30","308.50","302.20","20.82M","-1.01%"
"Jul 30, 2018","307.35","300.00","308.45","294.25","56.12M","4.83%"
"Jul 27, 2018","293.20","284.90","295.15","282.20","30.93M","2.64%"
"Jul 26, 2018","285.65","275.00","286.50","273.25","36.63M","4.01%"
"Jul 25, 2018","274.65","273.00","276.60","272.25","17.95M","0.11%"
"Jul 24, 2018","274.35","273.65","277.90","273.35","12.01M","-0.44%"
"Jul 23, 2018","275.55","265.35","276.30","265.35","16.92M","3.67%"
"Jul 20, 2018","265.80","261.80","267.70","261.80","13.79M","1.76%"
"Jul 19, 2018","261.20","263.95","264.35","259.40","15.15M","-0.57%"
"Jul 18, 2018","262.70","266.00","267.35","261.00","22.91M","-1.41%"
"Jul 17, 2018","266.45","260.25","267.50","260.00","15.13M","2.78%"
"Jul 16, 2018","259.25","265.30","266.60","256.50","29.79M","-3.17%"
"Jul 13, 2018","267.75","273.00","273.30","266.05","19.16M","-1.67%"
"Jul 12, 2018","272.30","270.40","273.70","269.05","15.84M","1.32%"
"Jul 11, 2018","268.75","274.55","274.90","267.50","12.72M","-1.70%"
"Jul 10, 2018","273.40","272.00","275.95","271.90","14.45M","0.81%"
"Jul 09, 2018","271.20","273.90","274.70","270.00","18.37M","0.43%"
"Jul 06, 2018","270.05","271.10","271.95","267.05","26.03M","-0.55%"
"Jul 05, 2018","271.55","273.00","275.50","270.75","7.51M","-0.62%"
"Jul 04, 2018","273.25","274.20","274.85","271.00","8.23M","0.13%"
"Jul 03, 2018","272.90","275.90","276.80","272.20","14.02M","-1.62%"
"Jul 02, 2018","277.40","274.00","279.90","271.00","69.73M","0.73%"
"Jun 29, 2018","275.40","272.00","276.00","269.60","20.93M","1.47%"
"Jun 28, 2018","271.40","278.00","278.40","269.80","34.20M","-2.74%"
"Jun 27, 2018","279.05","287.90","287.90","274.00","25.32M","-3.14%"
"Jun 26, 2018","288.10","287.55","289.10","284.70","11.61M","-0.55%"
"Jun 25, 2018","289.70","299.80","300.50","288.80","15.46M","-3.64%"
"Jun 22, 2018","300.65","298.20","302.70","295.65","17.49M","0.91%"
"Jun 21, 2018","297.95","294.80","300.35","294.55","30.19M","1.62%"
"Jun 20, 2018","293.20","292.60","294.60","291.00","20.36M","0.14%"
"Jun 19, 2018","292.80","295.50","295.50","288.35","27.18M","-0.07%"
"Jun 18, 2018","293.00","284.00","294.20","283.40","27.79M","3.72%"
"Jun 15, 2018","282.50","287.20","288.50","280.00","47.19M","-0.79%"
"Jun 14, 2018","284.75","290.85","290.85","284.10","11.40M","-2.06%"
"Jun 13, 2018","290.75","289.00","292.90","286.40","10.93M","1.17%"
"Jun 12, 2018","287.40","288.55","289.15","285.25","14.26M","0.35%"
"Jun 11, 2018","286.40","285.40","290.35","283.20","16.88M","-0.64%"
"Jun 08, 2018","288.25","290.10","290.90","285.50","11.34M","-0.91%"
"Jun 07, 2018","290.90","287.50","293.05","287.15","20.30M","2.47%"
"Jun 06, 2018","283.90","285.70","286.90","281.10","16.87M","-0.07%"
"Jun 05, 2018","284.10","288.00","288.00","283.10","12.38M","-0.92%"
"Jun 04, 2018","286.75","293.30","293.30","285.55","17.19M","-0.88%"
"Jun 01, 2018","289.30","295.00","299.95","286.85","29.68M","1.22%"
"May 31, 2018","285.80","285.00","288.95","279.30","23.70M","0.32%"
