"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 12, 2018","107.98","109.19","109.30","107.13","29.40M","1.95%"
"Oct 11, 2018","105.91","105.35","108.93","104.20","63.90M","-0.24%"
"Oct 10, 2018","106.16","111.24","111.50","105.79","61.38M","-5.43%"
"Oct 09, 2018","112.26","111.14","113.08","110.80","26.20M","1.27%"
"Oct 08, 2018","110.85","111.66","112.03","109.34","29.64M","-1.14%"
"Oct 05, 2018","112.13","112.63","113.17","110.64","29.07M","-0.59%"
"Oct 04, 2018","112.79","114.61","114.76","111.63","34.82M","-2.07%"
"Oct 03, 2018","115.17","115.42","116.18","114.93","16.65M","0.02%"
"Oct 02, 2018","115.15","115.30","115.84","114.44","20.79M","-0.40%"
"Oct 01, 2018","115.61","114.75","115.68","114.73","18.88M","1.08%"
"Sep 28, 2018","114.37","114.19","114.57","113.68","21.65M","-0.03%"
"Sep 27, 2018","114.41","114.78","114.91","114.20","19.09M","0.38%"
"Sep 26, 2018","113.98","114.47","115.06","113.74","19.35M","-0.41%"
"Sep 25, 2018","114.45","114.80","115.10","113.75","22.67M","-0.19%"
"Sep 24, 2018","114.67","113.03","114.90","112.22","27.33M","0.36%"
"Sep 21, 2018","114.26","114.00","115.29","113.51","71.23M","0.61%"
"Sep 20, 2018","113.57","112.28","113.80","111.93","23.71M","1.67%"
"Sep 19, 2018","111.70","113.05","113.32","111.03","21.73M","-1.33%"
"Sep 18, 2018","113.21","112.19","113.69","111.72","22.17M","0.95%"
"Sep 17, 2018","112.14","113.69","113.70","111.86","20.74M","-1.08%"
"Sep 14, 2018","113.37","113.36","113.73","112.44","19.12M","0.41%"
"Sep 13, 2018","112.91","112.12","113.72","112.12","26.06M","1.07%"
"Sep 12, 2018","111.71","111.43","111.85","110.51","18.89M","0.42%"
"Sep 11, 2018","111.24","108.90","111.59","108.89","24.30M","1.70%"
"Sep 10, 2018","109.38","108.84","109.64","108.36","20.73M","1.08%"
"Sep 07, 2018","108.21","108.23","108.72","107.23","22.50M","-0.49%"
"Sep 06, 2018","108.74","108.25","108.99","107.51","23.48M","0.23%"
"Sep 05, 2018","108.49","111.01","111.42","108.10","32.87M","-2.88%"
"Sep 04, 2018","111.71","110.85","111.95","110.22","22.63M","-0.55%"
"Aug 31, 2018","112.33","111.69","112.78","111.52","23.22M","0.34%"
"Aug 30, 2018","111.95","111.67","112.61","111.44","22.80M","-0.06%"
"Aug 29, 2018","112.02","110.45","112.03","110.27","20.82M","1.60%"
"Aug 28, 2018","110.26","109.94","110.50","109.79","19.15M","0.60%"
"Aug 27, 2018","109.60","109.27","109.64","108.51","19.66M","1.11%"
"Aug 24, 2018","108.40","107.67","108.56","107.56","17.23M","0.78%"
"Aug 23, 2018","107.56","107.15","108.18","106.87","18.17M","0.47%"
"Aug 22, 2018","107.06","105.85","107.34","105.78","18.00M","1.02%"
"Aug 21, 2018","105.98","106.92","107.35","105.85","22.88M","-0.83%"
"Aug 20, 2018","106.87","107.51","107.90","106.48","17.91M","-0.66%"
