"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 12, 2018","335.01","340.21","341.24","329.12","11.56M","4.33%"
"Oct 11, 2018","321.10","324.94","334.20","315.81","16.08M","-1.47%"
"Oct 10, 2018","325.89","353.52","355.15","325.39","17.18M","-8.38%"
"Oct 09, 2018","355.71","348.48","358.72","347.09","8.75M","1.89%"
"Oct 08, 2018","349.10","345.18","352.94","338.11","12.38M","-0.64%"
"Oct 05, 2018","351.35","359.77","363.50","343.00","13.52M","-3.38%"
"Oct 04, 2018","363.65","375.88","375.92","360.40","9.07M","-3.55%"
"Oct 03, 2018","377.05","378.53","380.93","374.88","5.80M","-0.02%"
"Oct 02, 2018","377.14","384.38","386.80","373.83","8.64M","-1.12%"
"Oct 01, 2018","381.43","375.85","386.11","375.59","8.38M","1.95%"
"Sep 28, 2018","374.13","379.24","380.80","373.73","7.11M","-1.73%"
"Sep 27, 2018","380.71","379.87","383.20","376.00","7.33M","0.75%"
"Sep 26, 2018","377.88","373.59","382.00","370.88","13.80M","2.29%"
"Sep 25, 2018","369.43","370.23","371.34","364.49","6.80M","-0.05%"
"Sep 24, 2018","369.61","359.00","373.64","354.33","9.32M","2.33%"
"Sep 21, 2018","361.19","366.59","372.22","360.74","11.93M","-1.14%"
"Sep 20, 2018","365.36","370.26","370.26","363.17","6.77M","-0.44%"
"Sep 19, 2018","366.96","373.95","377.61","359.17","11.88M","-0.19%"
"Sep 18, 2018","367.65","353.67","368.15","351.56","10.41M","4.94%"
"Sep 17, 2018","350.35","364.22","367.33","349.57","7.07M","-3.90%"
"Sep 14, 2018","364.56","368.55","371.09","363.46","4.76M","-0.98%"
"Sep 13, 2018","368.15","371.91","374.09","366.84","8.37M","-0.49%"
"Sep 12, 2018","369.95","359.08","370.43","356.24","10.48M","3.94%"
"Sep 11, 2018","355.93","344.67","356.15","343.90","6.20M","2.16%"
"Sep 10, 2018","348.41","352.27","352.50","343.08","5.75M","-0.08%"
"Sep 07, 2018","348.68","342.20","355.75","341.25","9.11M","0.64%"
"Sep 06, 2018","346.46","347.44","356.00","341.99","13.05M","1.55%"
"Sep 05, 2018","341.18","360.00","363.39","335.83","13.09M","-6.17%"
"Sep 04, 2018","363.60","366.47","368.88","361.26","7.61M","-1.11%"
"Aug 31, 2018","367.68","370.66","376.00","367.08","7.94M","-0.89%"
"Aug 30, 2018","370.98","365.00","376.81","363.54","10.98M","0.80%"
"Aug 29, 2018","368.04","367.20","369.86","362.91","8.12M","-0.12%"
"Aug 28, 2018","368.49","367.23","369.99","360.38","9.22M","1.07%"
"Aug 27, 2018","364.58","367.15","374.49","360.00","17.43M","1.61%"
"Aug 24, 2018","358.82","346.00","359.15","344.54","14.73M","5.79%"
"Aug 23, 2018","339.17","348.11","350.08","337.65","11.34M","-1.53%"
