"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 12, 2018","25,395.85","25,008.45","25,481.45","25,008.45","200.51K","2.47%"
"Oct 11, 2018","24,783.95","24,541.75","24,940.10","24,493.70","255.41K","-2.12%"
"Oct 10, 2018","25,321.70","24,596.60","25,371.15","24,559.90","227.01K","3.24%"
"Oct 09, 2018","24,527.65","24,703.65","24,759.90","24,464.90","175.37K","-0.37%"
"Oct 08, 2018","24,618.35","24,470.75","24,745.35","24,240.05","223.87K","0.72%"
"Oct 05, 2018","24,443.45","24,741.65","25,080.20","24,250.65","230.43K","-1.51%"
"Oct 04, 2018","24,819.30","24,735.15","24,893.40","24,501.05","245.81K","-1.00%"
"Oct 03, 2018","25,069.90","25,290.55","25,470.05","25,026.35","261.06K","-1.17%"
"Oct 01, 2018","25,367.00","24,943.90","25,412.15","24,707.65","304.70K","0.98%"
"Sep 28, 2018","25,119.85","25,135.80","25,354.70","24,919.25","367.11K","0.31%"
"Sep 27, 2018","25,042.15","25,442.10","25,452.50","25,007.05","262.82K","-1.32%"
"Sep 26, 2018","25,376.30","25,525.10","25,525.10","25,197.35","215.06K","0.18%"
"Sep 25, 2018","25,330.35","24,947.70","25,406.95","24,678.25","329.55K","1.44%"
"Sep 24, 2018","24,970.35","25,645.05","25,649.70","24,904.50","272.40K","-2.45%"
"Sep 21, 2018","25,596.90","26,331.05","26,490.40","25,053.35","547.29K","-2.59%"
"Sep 19, 2018","26,277.35","26,532.00","26,611.60","26,235.70","244.39K","-0.62%"
"Sep 18, 2018","26,441.45","26,757.00","26,901.05","26,407.45","308.58K","-1.41%"
"Sep 17, 2018","26,820.30","27,002.60","27,002.60","26,743.40","115.28K","-1.26%"
"Sep 14, 2018","27,163.85","27,059.85","27,205.75","26,989.80","136.63K","1.29%"
"Sep 12, 2018","26,819.20","26,895.15","26,895.15","26,555.15","174.20K","0.04%"
"Sep 11, 2018","26,807.50","27,295.20","27,318.45","26,772.25","160.83K","-1.45%"
"Sep 10, 2018","27,201.75","27,395.20","27,404.85","27,142.55","178.15K","-1.02%"
"Sep 07, 2018","27,481.45","27,439.25","27,512.50","27,232.80","144.91K","0.05%"
"Sep 06, 2018","27,468.70","27,464.25","27,552.80","27,246.25","120.29K","0.34%"
"Sep 05, 2018","27,376.05","27,409.30","27,506.30","27,136.05","131.88K","-0.20%"
"Sep 04, 2018","27,430.75","27,845.55","27,875.15","27,385.85","165.86K","-1.40%"
"Sep 03, 2018","27,819.50","28,199.45","28,203.20","27,777.40","127.01K","-0.86%"
"Aug 31, 2018","28,061.75","27,998.00","28,157.35","27,940.95","229.62K","-0.15%"
