"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 12, 2018","2,741.25","2,757.00","2,785.00","2,732.25","-","-0.15%"
"Oct 11, 2018","2,745.50","2,776.50","2,798.75","2,712.25","3.93M","-1.28%"
"Oct 10, 2018","2,781.00","2,886.75","2,891.25","2,771.50","3.46M","-3.71%"
"Oct 09, 2018","2,888.25","2,892.25","2,900.00","2,874.50","1.77M","-0.19%"
"Oct 08, 2018","2,893.75","2,897.50","2,898.25","2,866.00","1.76M","-0.01%"
"Oct 05, 2018","2,894.00","2,910.00","2,915.50","2,873.25","2.29M","-0.47%"
"Oct 04, 2018","2,907.75","2,926.00","2,926.25","2,887.75","2.17M","-0.81%"
"Oct 03, 2018","2,931.50","2,929.00","2,944.75","2,924.75","1.24M","0.10%"
"Oct 02, 2018","2,928.50","2,929.25","2,936.00","2,917.50","1.13M","-0.05%"
"Oct 01, 2018","2,930.00","2,922.50","2,942.00","2,922.50","1.24M","0.38%"
"Sep 28, 2018","2,919.00","2,922.25","2,925.50","2,908.00","1.43M","-0.03%"
"Sep 27, 2018","2,920.00","2,911.50","2,932.00","2,907.50","1.21M","0.29%"
"Sep 26, 2018","2,911.50","2,922.50","2,936.00","2,907.50","1.31M","-0.33%"
"Sep 25, 2018","2,921.25","2,926.50","2,934.25","2,918.25","1.03M","-0.15%"
"Sep 24, 2018","2,925.50","2,929.50","2,930.25","2,917.75","1.16M","-0.51%"
"Sep 21, 2018","2,940.45","2,934.75","2,944.00","2,932.25","38.48K","0.22%"
"Sep 20, 2018","2,934.00","2,911.25","2,935.75","2,908.25","360.70K","0.82%"
"Sep 19, 2018","2,910.00","2,907.75","2,913.75","2,900.75","563.50K","0.12%"
"Sep 18, 2018","2,906.50","2,890.50","2,912.50","2,878.50","986.83K","0.54%"
"Sep 17, 2018","2,891.00","2,903.50","2,906.25","2,887.25","1.16M","-0.52%"
"Sep 14, 2018","2,906.25","2,904.75","2,912.25","2,896.75","1.20M","0.03%"
"Sep 13, 2018","2,905.25","2,887.00","2,907.00","2,884.75","1.64M","0.58%"
"Sep 12, 2018","2,888.50","2,890.00","2,895.25","2,879.50","1.58M","-0.04%"
"Sep 11, 2018","2,889.75","2,879.75","2,893.00","2,867.25","1.27M","0.33%"
"Sep 10, 2018","2,880.25","2,873.75","2,888.25","2,873.25","1.25M","0.19%"
"Sep 07, 2018","2,874.75","2,877.75","2,885.00","2,865.00","1.69M","-0.15%"
"Sep 06, 2018","2,879.00","2,888.50","2,893.00","2,868.00","1.63M","-0.32%"
"Sep 05, 2018","2,888.25","2,898.75","2,900.50","2,877.50","1.60M","-0.35%"
"Sep 04, 2018","2,898.25","2,906.50","2,912.50","2,885.50","1.61M","-0.28%"
"Sep 03, 2018","2,906.25","2,906.50","2,912.50","2,902.50","-","-0.01%"
"Sep 02, 2018","2,906.50","2,906.75","2,907.00","2,904.75","-","0.16%"
"Aug 31, 2018","2,902.00","2,898.00","2,907.50","2,891.75","1.32M","0.00%"
"Aug 30, 2018","2,902.00","2,915.75","2,916.25","2,895.50","1.33M","-0.44%"
"Aug 29, 2018","2,914.75","2,900.50","2,917.50","2,897.50","1.11M","0.53%"
"Aug 28, 2018","2,899.25","2,899.00","2,906.25","2,894.25","902.71K","0.03%"
"Aug 27, 2018","2,898.50","2,877.75","2,899.50","2,876.75","961.50K","0.76%"
