"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 12, 2018","263.75","265.80","267.50","261.85","42.97M","0.61%"
"Oct 11, 2018","262.15","268.00","271.50","260.60","46.29M","-5.92%"
"Oct 10, 2018","278.65","261.60","280.45","261.20","31.77M","5.97%"
"Oct 09, 2018","262.95","268.00","268.15","260.00","16.01M","-1.05%"
"Oct 08, 2018","265.75","259.75","268.50","258.35","21.10M","2.86%"
"Oct 05, 2018","258.35","271.00","271.00","256.00","36.63M","-4.79%"
"Oct 04, 2018","271.35","267.95","272.70","265.70","17.75M","-0.13%"
"Oct 03, 2018","271.70","273.35","278.70","270.60","19.71M","-0.79%"
"Oct 01, 2018","273.85","265.50","275.20","264.10","17.71M","3.15%"
"Sep 28, 2018","265.50","266.40","273.50","262.50","33.80M","0.06%"
"Sep 27, 2018","265.35","264.50","268.60","263.75","24.83M","0.57%"
"Sep 26, 2018","263.85","274.00","274.00","262.75","23.95M","-2.60%"
"Sep 25, 2018","270.90","264.00","272.95","260.80","28.95M","2.48%"
"Sep 24, 2018","264.35","272.70","273.00","262.60","24.63M","-2.31%"
"Sep 21, 2018","270.60","274.20","279.45","253.40","39.31M","-0.33%"
"Sep 19, 2018","271.50","275.40","282.85","270.50","40.76M","-0.84%"
"Sep 18, 2018","273.80","285.00","286.90","272.40","33.90M","-4.03%"
"Sep 17, 2018","285.30","288.50","288.50","284.10","16.09M","-1.84%"
"Sep 14, 2018","290.65","290.10","291.80","288.70","15.15M","1.88%"
"Sep 12, 2018","285.30","284.00","286.70","280.00","22.72M","0.96%"
"Sep 11, 2018","282.60","287.35","291.45","281.65","28.36M","-0.79%"
"Sep 10, 2018","284.85","290.65","293.25","283.80","23.35M","-2.33%"
"Sep 07, 2018","291.65","295.90","295.90","289.45","23.72M","-1.62%"
"Sep 06, 2018","296.45","298.00","299.85","294.50","18.00M","-0.03%"
"Sep 05, 2018","296.55","296.50","298.85","290.40","22.92M","0.05%"
"Sep 04, 2018","296.40","306.80","307.45","295.45","42.86M","-3.25%"
"Sep 03, 2018","306.35","312.50","312.50","304.80","14.71M","-1.05%"
"Aug 31, 2018","309.60","307.90","310.65","304.55","18.10M","0.32%"
"Aug 30, 2018","308.60","309.30","310.50","306.00","19.94M","-0.36%"
"Aug 29, 2018","309.70","306.80","312.00","305.75","24.32M","1.42%"
"Aug 28, 2018","305.35","308.05","310.25","303.40","16.89M","-0.86%"
"Aug 27, 2018","308.00","304.00","310.35","303.30","28.11M","2.51%"
"Aug 24, 2018","300.45","300.60","305.70","299.00","18.87M","-0.66%"
"Aug 23, 2018","302.45","306.95","306.95","298.30","22.72M","-1.48%"
"Aug 21, 2018","307.00","308.30","308.85","303.35","14.14M","-0.21%"
"Aug 20, 2018","307.65","304.10","308.70","303.60","20.24M","1.84%"
"Aug 17, 2018","302.10","295.00","302.70","294.05","21.93M","3.21%"
"Aug 16, 2018","292.70","293.50","298.40","290.25","31.08M","-0.75%"
"Aug 14, 2018","294.90","296.70","298.95","293.35","25.29M","0.25%"
"Aug 13, 2018","294.15","296.00","302.80","291.10","58.13M","-3.38%"
"Aug 10, 2018","304.45","317.65","326.40","300.50","111.51M","-4.08%"
"Aug 09, 2018","317.40","312.95","319.85","310.15","46.46M","2.82%"
"Aug 08, 2018","308.70","304.05","310.90","303.05","20.50M","1.53%"
"Aug 07, 2018","304.05","309.85","311.70","303.05","23.93M","-1.44%"
"Aug 06, 2018","308.50","300.60","311.35","300.60","31.58M","3.09%"
"Aug 03, 2018","299.25","294.60","299.95","294.50","18.25M","1.82%"
