"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 12, 2018","80.70","82.10","82.17","80.27","8.07M","-1.10%"
"Oct 11, 2018","81.60","83.94","84.17","81.17","20.32M","-3.45%"
"Oct 10, 2018","84.52","86.73","86.82","84.50","16.57M","-2.30%"
"Oct 09, 2018","86.51","86.38","86.88","85.74","10.18M","0.44%"
"Oct 08, 2018","86.13","84.79","86.31","84.65","13.24M","0.93%"
"Oct 05, 2018","85.34","85.31","85.70","84.93","9.22M","-0.28%"
"Oct 04, 2018","85.58","85.50","86.08","85.25","10.20M","-0.66%"
"Oct 03, 2018","86.15","86.51","86.89","85.97","10.21M","-0.36%"
"Oct 02, 2018","86.46","85.80","86.67","85.62","8.45M","0.76%"
"Oct 01, 2018","85.81","85.35","86.03","85.25","8.57M","0.93%"
"Sep 28, 2018","85.02","85.25","85.93","84.99","9.88M","-0.87%"
"Sep 27, 2018","85.77","86.08","86.38","85.59","7.90M","-0.01%"
"Sep 26, 2018","85.78","86.02","86.50","85.69","10.28M","-0.83%"
"Sep 25, 2018","86.50","87.03","87.36","86.37","12.20M","-0.12%"
"Sep 24, 2018","86.60","85.79","87.08","85.72","13.55M","1.68%"
"Sep 21, 2018","85.17","85.01","85.43","84.52","26.64M","0.41%"
"Sep 20, 2018","84.82","84.86","85.34","84.54","11.20M","0.22%"
"Sep 19, 2018","84.63","83.64","84.77","83.64","10.41M","1.20%"
"Sep 18, 2018","83.63","83.90","84.13","83.45","9.22M","0.26%"
"Sep 17, 2018","83.41","83.00","83.61","82.99","8.40M","0.59%"
"Sep 14, 2018","82.92","82.42","83.15","82.27","9.44M","0.73%"
"Sep 13, 2018","82.32","83.15","83.25","82.01","11.16M","-0.97%"
"Sep 12, 2018","83.13","83.25","83.78","82.87","11.56M","0.33%"
"Sep 11, 2018","82.86","81.96","83.19","81.63","11.89M","1.41%"
"Sep 10, 2018","81.71","82.24","82.74","81.66","10.82M","-0.15%"
"Sep 07, 2018","81.83","80.15","81.93","79.82","16.42M","1.70%"
"Sep 06, 2018","80.46","81.11","81.64","80.34","13.32M","-1.11%"
"Sep 05, 2018","81.36","79.90","81.43","79.60","13.88M","1.33%"
"Sep 04, 2018","80.29","80.41","80.69","79.81","8.86M","0.15%"
"Aug 31, 2018","80.17","80.24","80.46","79.77","10.70M","-0.42%"
"Aug 30, 2018","80.51","80.45","80.78","80.12","7.45M","-0.43%"
"Aug 29, 2018","80.86","80.44","81.04","80.09","8.00M","0.72%"
"Aug 28, 2018","80.28","80.58","80.82","80.20","8.82M","-0.15%"
"Aug 27, 2018","80.40","79.91","80.47","79.86","6.67M","0.98%"
"Aug 24, 2018","79.62","79.52","80.05","79.42","6.55M","0.68%"
"Aug 23, 2018","79.08","79.56","79.63","78.89","7.20M","-1.10%"
"Aug 22, 2018","79.96","79.11","80.05","79.02","10.10M","1.43%"
"Aug 21, 2018","78.83","79.05","79.58","78.67","9.19M","0.03%"
"Aug 20, 2018","78.81","78.26","79.00","78.17","8.15M","0.70%"
"Aug 17, 2018","78.26","78.34","78.49","77.80","10.18M","0.33%"
"Aug 16, 2018","78.00","77.28","78.10","77.20","11.52M","1.38%"
"Aug 15, 2018","76.94","77.78","77.90","76.51","16.31M","-1.75%"
"Aug 14, 2018","78.31","78.99","79.07","78.08","8.01M","-0.32%"
"Aug 13, 2018","78.56","79.45","79.75","78.43","10.31M","-1.08%"
"Aug 10, 2018","79.42","79.51","79.52","78.86","12.95M","-1.12%"
"Aug 09, 2018","80.32","80.73","80.91","80.11","9.83M","-0.51%"
"Aug 08, 2018","80.73","81.02","81.23","80.35","7.28M","-0.66%"
"Aug 07, 2018","81.27","80.91","81.59","80.31","10.70M","1.36%"
"Aug 06, 2018","80.18","80.25","80.43","79.74","10.04M","-0.02%"
"Aug 03, 2018","80.20","79.97","80.30","79.63","7.81M","0.36%"
"Aug 02, 2018","79.91","79.89","80.25","79.45","8.36M","-0.60%"
"Aug 01, 2018","80.39","80.89","80.93","80.22","8.94M","-1.37%"
"Jul 31, 2018","81.51","81.64","82.15","81.44","11.72M","-0.28%"
"Jul 30, 2018","81.74","82.13","82.13","80.71","11.28M","-0.22%"
"Jul 27, 2018","81.92","80.97","82.38","80.81","18.22M","-2.75%"
"Jul 26, 2018","84.24","83.83","84.40","83.37","13.21M","0.78%"
"Jul 25, 2018","83.59","83.01","83.74","82.51","9.73M","0.70%"
"Jul 24, 2018","83.01","81.52","83.02","81.48","11.12M","1.98%"
"Jul 23, 2018","81.40","81.95","82.00","81.18","8.43M","0.00%"
"Jul 20, 2018","81.40","81.72","81.93","81.25","9.21M","-0.74%"
"Jul 19, 2018","82.01","82.20","82.62","81.72","8.66M","-0.26%"
"Jul 18, 2018","82.22","81.80","82.32","81.49","8.71M","-0.11%"
"Jul 17, 2018","82.31","82.26","82.75","82.04","7.37M","-0.22%"
"Jul 16, 2018","82.49","82.52","82.79","82.00","8.31M","-0.98%"
"Jul 13, 2018","83.31","82.68","83.75","82.56","8.72M","0.75%"
"Jul 12, 2018","82.69","83.01","83.24","82.31","9.76M","0.12%"
"Jul 11, 2018","82.59","83.03","83.53","82.03","10.41M","-1.28%"
"Jul 10, 2018","83.66","83.70","84.12","83.51","8.81M","0.92%"
"Jul 09, 2018","82.90","82.81","83.12","82.56","7.16M","0.69%"
"Jul 06, 2018","82.33","81.96","82.70","81.66","7.64M","0.02%"
"Jul 05, 2018","82.31","82.59","82.77","82.05","9.04M","0.09%"
"Jul 03, 2018","82.24","82.58","83.45","82.08","7.20M","0.59%"
"Jul 02, 2018","81.76","81.89","82.13","81.32","10.00M","-1.17%"
"Jun 29, 2018","82.73","82.45","83.54","82.29","17.32M","0.93%"
"Jun 28, 2018","81.97","81.73","82.07","81.03","9.39M","0.32%"
"Jun 27, 2018","81.71","81.06","82.48","81.06","12.73M","1.33%"
"Jun 26, 2018","80.64","80.15","81.01","79.97","10.38M","1.13%"
"Jun 25, 2018","79.74","80.78","81.24","79.30","10.56M","-2.02%"
"Jun 22, 2018","81.38","81.16","81.94","80.92","16.71M","2.12%"
"Jun 21, 2018","79.69","80.02","80.38","79.33","10.99M","-0.94%"
"Jun 20, 2018","80.45","80.85","81.13","80.27","8.92M","-0.31%"
"Jun 19, 2018","80.70","79.89","80.96","79.71","8.76M","-0.15%"
"Jun 18, 2018","80.82","80.40","81.38","80.30","9.19M","0.20%"
"Jun 15, 2018","80.66","81.72","81.82","80.51","23.80M","-1.50%"
"Jun 14, 2018","81.89","81.94","82.30","81.50","11.48M","0.47%"
"Jun 13, 2018","81.51","82.44","82.60","81.47","12.05M","-1.10%"
"Jun 12, 2018","82.42","83.11","83.75","82.32","12.35M","-0.82%"
"Jun 11, 2018","83.10","83.72","83.79","82.93","10.83M","-0.60%"
