"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 12, 2018","246.45","248.25","253.95","245.05","43.54M","2.60%"
"Oct 11, 2018","240.20","222.00","268.95","216.65","94.68M","2.69%"
"Oct 10, 2018","233.90","229.00","237.00","219.40","52.35M","4.12%"
"Oct 09, 2018","224.65","225.50","233.80","222.60","49.48M","1.56%"
"Oct 08, 2018","221.20","210.00","226.60","207.40","62.35M","7.38%"
"Oct 05, 2018","206.00","215.00","218.50","203.10","40.55M","-4.19%"
"Oct 04, 2018","215.00","209.40","220.00","205.05","65.60M","1.06%"
"Oct 03, 2018","212.75","205.00","222.95","202.25","97.95M","5.92%"
"Oct 01, 2018","200.85","180.00","203.80","170.60","130.99M","9.37%"
"Sep 28, 2018","183.65","203.60","204.00","165.00","148.65M","-9.64%"
"Sep 27, 2018","203.25","226.00","227.00","202.05","91.20M","-9.16%"
"Sep 26, 2018","223.75","223.00","229.80","217.00","62.81M","1.84%"
"Sep 25, 2018","219.70","230.00","238.85","197.25","110.22M","-2.96%"
"Sep 24, 2018","226.40","236.50","237.50","215.85","105.70M","-0.04%"
"Sep 21, 2018","226.50","287.30","287.30","218.10","293.55M","-29.04%"
"Sep 19, 2018","319.20","326.00","328.75","318.05","16.19M","-1.34%"
"Sep 18, 2018","323.55","319.35","328.95","319.10","30.24M","1.55%"
"Sep 17, 2018","318.60","317.50","321.85","315.95","18.55M","-1.39%"
"Sep 14, 2018","323.10","318.50","328.50","316.70","36.62M","2.80%"
"Sep 12, 2018","314.30","318.00","319.95","310.60","26.12M","-0.73%"
"Sep 11, 2018","316.60","326.00","327.85","314.60","28.55M","-2.18%"
"Sep 10, 2018","323.65","323.65","328.90","316.00","43.30M","0.08%"
"Sep 07, 2018","323.40","341.00","341.05","321.80","48.83M","-4.66%"
"Sep 06, 2018","339.20","346.55","347.80","337.90","17.53M","-1.34%"
"Sep 05, 2018","343.80","332.90","344.90","332.25","24.81M","2.92%"
"Sep 04, 2018","334.05","340.75","343.40","332.55","22.06M","-1.47%"
"Sep 03, 2018","339.05","347.95","348.00","337.20","26.14M","-1.30%"
"Aug 31, 2018","343.50","343.00","350.00","336.25","84.02M","-5.04%"
"Aug 30, 2018","361.75","369.00","369.00","358.00","28.16M","-0.93%"
"Aug 29, 2018","365.15","373.65","378.55","362.00","30.54M","-1.47%"
"Aug 28, 2018","370.60","386.00","386.00","362.80","26.31M","-3.24%"
"Aug 27, 2018","383.00","378.00","384.65","377.00","9.56M","2.35%"
"Aug 24, 2018","374.20","387.00","388.70","372.85","16.30M","-3.71%"
"Aug 23, 2018","388.60","395.25","395.50","383.35","9.26M","-0.70%"
"Aug 21, 2018","391.35","396.00","397.45","389.50","9.99M","-0.67%"
"Aug 20, 2018","394.00","396.80","404.00","392.55","15.25M","0.20%"
"Aug 17, 2018","393.20","382.40","395.65","380.30","16.09M","3.90%"
"Aug 16, 2018","378.45","381.20","384.85","374.20","11.57M","-1.06%"
"Aug 14, 2018","382.50","369.00","384.30","368.15","12.35M","3.18%"
"Aug 13, 2018","370.70","379.00","383.00","368.30","9.21M","-3.17%"
"Aug 10, 2018","382.85","382.00","391.00","381.00","13.92M","0.47%"
"Aug 09, 2018","381.05","383.50","384.70","377.65","5.85M","-0.44%"
"Aug 08, 2018","382.75","382.60","385.75","379.55","6.77M","0.29%"
"Aug 07, 2018","381.65","380.00","386.40","376.50","13.53M","0.99%"
"Aug 06, 2018","377.90","374.00","380.70","373.45","12.02M","1.26%"
