code,name,description,refreshed_at,from_date,to_date
20MICRONS,20 Microns Limited,Historical prices for 20 Microns Limited<br><br>National Stock Exchange of India<br><br>Ticker: 20MICRONS<br><br>ISIN: INE144J01027,2018-12-10 13:38:52,2008-10-06,2018-12-10
21STCENMGM,21st Century Management Services Limited,Historical prices for 21st Century Management Services Limited<br><br>National Stock Exchange of India<br><br>Ticker: 21STCENMGM<br><br>ISIN: INE253B01015,2018-12-10 13:38:52,2018-01-11,2018-12-10
3IINFOTECH,3i Infotech Limited,Historical prices for 3i Infotech Limited<br><br>National Stock Exchange of India<br><br>Ticker: 3IINFOTECH<br><br>ISIN: INE748C01020,2018-12-10 13:38:52,2005-04-22,2018-12-10
3MINDIA,3M India Limited,Historical prices for 3M India Limited<br><br>National Stock Exchange of India<br><br>Ticker: 3MINDIA<br><br>ISIN: INE470A01017,2018-12-10 13:38:52,2004-06-15,2018-12-10
3PLAND,3P Land Holdings Limited,Historical prices for 3P Land Holdings Limited<br><br>National Stock Exchange of India<br><br>Ticker: 3PLAND<br><br>ISIN: INE105C01023,2018-12-10 13:38:52,2018-05-04,2018-12-10
5PAISA,5Paisa Capital Limited,Historical prices for 5Paisa Capital Limited<br><br>National Stock Exchange of India<br><br>Ticker: 5PAISA<br><br>ISIN: INE618L01018,2018-12-10 13:38:52,2017-11-16,2018-12-10
63MOONS,63 moons technologies limited,Historical prices for 63 moons technologies limited<br><br>National Stock Exchange of India<br><br>Ticker: 63MOONS<br><br>ISIN: INE111B01023,2018-12-10 13:38:52,2017-01-19,2018-12-10
8KMILES,8K Miles Software Services Limited,Historical prices for 8K Miles Software Services Limited<br><br>National Stock Exchange of India<br><br>Ticker: 8KMILES<br><br>ISIN: INE650K01021,2018-12-10 13:38:52,2014-01-29,2018-12-10
A2ZINFRA,A2Z Infra Engineering Limited,Historical prices for A2Z Infra Engineering Limited<br><br>National Stock Exchange of India<br><br>Ticker: A2ZINFRA<br><br>ISIN: INE619I01012,2018-12-10 13:38:52,2014-12-31,2018-12-10
A2ZMES,A2Z Maintenance & Engineering Services Limited,"Historical prices for A2Z Maintenance & Engineering Services Limited (A2ZMES), (ISIN: INE619I01012),  National Stock Exchange of India.",2015-03-09 09:30:10,2010-12-23,2014-12-30
AANJANEYA,Aanjaneya Lifecare Limited,"Historical prices for Aanjaneya Lifecare Limited (AANJANEYA), (ISIN: INE928K01013),  National Stock Exchange of India.",2013-11-28 16:18:32,2011-05-27,2013-08-30
AARTIDRUGS,Aarti Drugs Limited,Historical prices for Aarti Drugs Limited<br><br>National Stock Exchange of India<br><br>Ticker: AARTIDRUGS<br><br>ISIN: INE767A01016,2018-12-10 13:38:53,1998-03-19,2018-12-10
AARTIIND,Aarti Industries Limited,Historical prices for Aarti Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: AARTIIND<br><br>ISIN: INE769A01020,2018-12-10 13:38:53,1998-03-20,2018-12-10
AARVEEDEN,Aarvee Denims & Exports Limited,Historical prices for Aarvee Denims & Exports Limited<br><br>National Stock Exchange of India<br><br>Ticker: AARVEEDEN<br><br>ISIN: INE273D01019,2018-12-10 13:38:53,2006-11-21,2018-12-10
AAVAS,Aavas Financiers Limited,Historical prices for Aavas Financiers Limited<br><br>National Stock Exchange of India<br><br>Ticker: AAVAS<br><br>ISIN: INE216P01012,2018-12-10 13:38:53,2018-10-08,2018-12-10
ABAN,Aban Offshore Limited,Historical prices for Aban Offshore Limited<br><br>National Stock Exchange of India<br><br>Ticker: ABAN<br><br>ISIN: INE421A01028,2018-12-10 13:38:53,2006-08-18,2018-12-10
ABB,ABB India Limited,Historical prices for ABB India Limited<br><br>National Stock Exchange of India<br><br>Ticker: ABB<br><br>ISIN: INE117A01022,2018-12-10 13:38:53,1998-03-20,2018-12-10
ABBOTINDIA,Abbott India Limited,Historical prices for Abbott India Limited<br><br>National Stock Exchange of India<br><br>Ticker: ABBOTINDIA<br><br>ISIN: INE358A01014,2018-12-10 13:38:53,2010-01-08,2018-12-10
ABCAPITAL,Aditya Birla Capital Limited,Historical prices for Aditya Birla Capital Limited<br><br>National Stock Exchange of India<br><br>Ticker: ABCAPITAL<br><br>ISIN: INE674K01013,2018-12-10 13:38:53,2017-09-01,2018-12-10
ABCIL,Aditya Birla Chemicals (India) Limited,Historical prices for Aditya Birla Chemicals (India) Limited<br><br>National Stock Exchange of India<br><br>Ticker: ABCIL<br><br>ISIN: INE605B01016,2016-01-13 13:29:37,2009-03-09,2016-01-13
ABFRL,Aditya Birla Fashion and Retail Limited,Historical prices for Aditya Birla Fashion and Retail Limited<br><br>National Stock Exchange of India<br><br>Ticker: ABFRL<br><br>ISIN: INE647O01011,2018-12-10 13:38:53,2016-01-29,2018-12-10
ABGSHIP,ABG Shipyard Limited,Historical prices for ABG Shipyard Limited<br><br>National Stock Exchange of India<br><br>Ticker: ABGSHIP<br><br>ISIN: INE067H01016,2018-12-10 13:38:53,2007-04-11,2018-12-10
ABHISHEK,Abhishek Corporation Limited,"Historical prices for Abhishek Corporation Limited (ABHISHEK), (ISIN: INE004I01017),  National Stock Exchange of India.",2013-08-27 12:39:20,2008-06-26,2013-04-05
ABIRLANUVO,Aditya Birla Nuvo Limited,Historical prices for Aditya Birla Nuvo Limited<br><br>National Stock Exchange of India<br><br>Ticker: ABIRLANUVO<br><br>ISIN: INE069A01017,2017-07-04 13:19:26,2005-12-07,2017-07-04
ABMINTLTD,ABM International Limited,Historical prices for ABM International Limited<br><br>National Stock Exchange of India<br><br>Ticker: ABMINTLTD<br><br>ISIN: INE251C01017,2018-12-10 13:38:53,2017-01-30,2018-12-03
ACC,ACC Limited,Historical prices for ACC Limited<br><br>National Stock Exchange of India<br><br>Ticker: ACC<br><br>ISIN: INE012A01025,2018-12-10 13:38:53,1998-03-20,2018-12-10
ACCELYA,Accelya Kale Solutions Limited,Historical prices for Accelya Kale Solutions Limited<br><br>National Stock Exchange of India<br><br>Ticker: ACCELYA<br><br>ISIN: INE793A01012,2018-12-10 13:38:53,2012-09-06,2018-12-10
ACE,Action Construction Equipment Limited,Historical prices for Action Construction Equipment Limited<br><br>National Stock Exchange of India<br><br>Ticker: ACE<br><br>ISIN: INE731H01025,2018-12-10 13:38:53,2006-09-26,2018-12-10
ACKRUTI,Ackruti City Limited,"Historical prices for Ackruti City Limited (ACKRUTI), (ISIN: INE703H01016),  National Stock Eschange of India.",2017-03-10 21:56:56,2009-06-30,2011-11-14
ACROPETAL,Acropetal Technologies Limited,Historical prices for Acropetal Technologies Limited<br><br>National Stock Exchange of India<br><br>Ticker: ACROPETAL<br><br>ISIN: INE055L01013,2017-05-02 13:25:19,2011-03-10,2017-05-02
ADANIENT,Adani Enterprises Limited,Historical prices for Adani Enterprises Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADANIENT<br><br>ISIN: INE423A01024,2018-12-10 13:38:53,2006-09-20,2018-12-10
ADANIGAS,Adani Gas Limited,Historical prices for Adani Gas Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADANIGAS<br><br>ISIN: INE399L01023,2018-12-10 13:38:53,2018-11-05,2018-12-10
ADANIGREEN,Adani Green Energy Limited,Historical prices for Adani Green Energy Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADANIGREEN<br><br>ISIN: INE364U01010,2018-12-10 13:38:53,2018-06-18,2018-12-10
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Historical prices for Adani Ports and Special Economic Zone Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADANIPORTS<br><br>ISIN: INE742F01042,2018-12-10 13:38:53,2012-01-17,2018-12-10
ADANIPOWER,Adani Power Limited,Historical prices for Adani Power Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADANIPOWER<br><br>ISIN: INE814H01011,2018-12-10 13:38:53,2009-08-20,2018-12-10
ADANITRANS,Adani Transmission Limited,Historical prices for Adani Transmission Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADANITRANS<br><br>ISIN: INE931S01010,2018-12-10 13:38:53,2015-07-31,2018-12-10
ADFFOODS,ADF Foods Limited,Historical prices for ADF Foods Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADFFOODS<br><br>ISIN: INE982B01019,2018-12-10 13:38:53,2010-09-15,2018-12-10
ADHUNIK,Adhunik Metaliks Limited,Historical prices for Adhunik Metaliks Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADHUNIK<br><br>ISIN: INE400H01019,2018-12-10 13:38:53,2006-04-05,2018-12-10
ADHUNIKIND,Adhunik Industries Limited,Historical prices for Adhunik Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADHUNIKIND<br><br>ISIN: INE452L01012,2018-12-10 13:38:53,2016-07-01,2018-12-10
ADI,Adi Finechem Limited,Historical prices for Adi Finechem Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADI<br><br>ISIN: INE959A01019,2017-01-18 12:34:07,2015-05-08,2017-01-18
ADLABS,Adlabs Entertainment Limited,Historical prices for Adlabs Entertainment Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADLABS<br><br>ISIN: INE172N01012,2018-12-10 13:38:53,2015-04-06,2018-12-10
ADORWELD,Ador Welding Limited,Historical prices for Ador Welding Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADORWELD<br><br>ISIN: INE045A01017,2018-12-10 13:38:53,2004-09-27,2018-12-10
ADROITINFO,Adroit Infotech Limited,Historical prices for Adroit Infotech Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADROITINFO<br><br>ISIN: INE737B01033,2018-12-10 13:38:53,2018-04-19,2018-12-10
ADSL,Allied Digital Services Limited,Historical prices for Allied Digital Services Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADSL<br><br>ISIN: INE102I01027,2018-12-10 13:38:53,2007-07-25,2018-12-10
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Historical prices for Advani Hotels & Resorts (India) Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADVANIHOTR<br><br>ISIN: INE199C01026,2018-12-10 13:38:53,2007-06-25,2018-12-10
ADVANTA,Advanta Limited,Historical prices for Advanta Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADVANTA<br><br>ISIN: INE517H01028,2016-07-29 13:51:14,2007-04-19,2016-07-29
ADVENZYMES,Advanced Enzyme Technologies Limited,Historical prices for Advanced Enzyme Technologies Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADVENZYMES<br><br>ISIN: INE837H01020,2018-12-10 13:38:53,2016-08-01,2018-12-10
AEGISCHEM,Aegis Logistics Limited,Historical prices for Aegis Logistics Limited<br><br>National Stock Exchange of India<br><br>Ticker: AEGISCHEM<br><br>ISIN: INE208C01025,2018-12-10 13:38:53,1998-03-20,2018-12-10
AFL,Accel Frontline Limited,Historical prices for Accel Frontline Limited<br><br>National Stock Exchange of India<br><br>Ticker: AFL<br><br>ISIN: INE020G01017,2018-10-11 13:36:19,2006-10-30,2018-10-11
AFTEK,Aftek Limited,Historical prices for Aftek Limited<br><br>National Stock Exchange of India<br><br>Ticker: AFTEK<br><br>ISIN: INE796A01023,2015-11-30 15:26:37,2006-11-27,2015-03-05
AGARIND,Agarwal Industrial Corporation Limited,Historical prices for Agarwal Industrial Corporation Limited<br><br>National Stock Exchange of India<br><br>Ticker: AGARIND<br><br>ISIN: INE204E01012,2018-12-10 13:38:53,2014-05-26,2018-12-10
AGCNET,AGC Networks Limited,Historical prices for AGC Networks Limited<br><br>National Stock Exchange of India<br><br>Ticker: AGCNET<br><br>ISIN: INE676A01019,2018-12-10 13:38:53,2010-06-08,2018-12-10
AGLSL,Artemis Global Life Sciences Limited,Historical prices for Artemis Global Life Sciences Limited<br><br>National Stock Exchange of India<br><br>Ticker: AGLSL<br><br>ISIN: INE517U01013,2018-12-10 13:38:53,2017-07-20,2018-12-10
AGRE,Agre Developers Limited,"Historical prices for Agre Developers Limited (AGRE), (ISIN: INE360L01017),  National Stock Eschange of India.",2017-03-10 21:56:56,2010-12-31,2012-03-05
AGRITECH,Agri-Tech (India) Limited,Historical prices for Agri-Tech (India) Limited<br><br>National Stock Exchange of India<br><br>Ticker: AGRITECH<br><br>ISIN: INE449G01018,2018-12-10 13:38:53,2014-01-28,2018-12-10
AGRODUTCH,Agro Dutch Industries Limited,Historical prices for Agro Dutch Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: AGRODUTCH<br><br>ISIN: INE135B01014,2017-04-10 19:11:22,1998-03-09,2017-04-03
AHLEAST,Asian Hotels (East) Limited,Historical prices for Asian Hotels (East) Limited<br><br>National Stock Exchange of India<br><br>Ticker: AHLEAST<br><br>ISIN: INE926K01017,2018-12-10 13:38:53,2010-08-11,2018-12-10
AHLUCONT,Ahluwalia Contracts (India) Limited,Historical prices for Ahluwalia Contracts (India) Limited<br><br>National Stock Exchange of India<br><br>Ticker: AHLUCONT<br><br>ISIN: INE758C01029,2018-12-10 13:38:53,2009-12-14,2018-12-10
AHLWEST,Asian Hotels (West) Limited,Historical prices for Asian Hotels (West) Limited<br><br>National Stock Exchange of India<br><br>Ticker: AHLWEST<br><br>ISIN: INE915K01010,2018-12-10 13:38:54,2010-08-05,2018-12-10
AHMEDFORGE,Ahmednagar Forgings Limited,"Historical prices for Ahmednagar Forgings Limited (AHMEDFORGE), (ISIN: INE425A01011),  National Stock Exchange of India.",2015-07-23 20:13:33,1998-03-20,2015-05-29
AIAENG,AIA Engineering Limited,Historical prices for AIA Engineering Limited<br><br>National Stock Exchange of India<br><br>Ticker: AIAENG<br><br>ISIN: INE212H01026,2018-12-10 13:38:53,2005-12-14,2018-12-10
AICHAMP,AI Champdany Industries Limited,Historical prices for AI Champdany Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: AICHAMP<br><br>ISIN: INE768E01024,2018-10-09 13:36:40,2007-02-14,2018-10-08
AIFL,Ashapura Intimates Fashion Limited,Historical prices for Ashapura Intimates Fashion Limited<br><br>National Stock Exchange of India<br><br>Ticker: AIFL<br><br>ISIN: INE428O01016,2018-12-10 13:38:54,2015-12-02,2018-12-10
AIL,Alstom India Limited,Historical prices for Alstom India Limited<br><br>National Stock Exchange of India<br><br>Ticker: AIL<br><br>ISIN: INE878A01011,2016-09-13 12:38:25,2012-07-11,2016-09-12
AIONJSW,Monnet Ispat & Energy Limited,Historical prices for Monnet Ispat & Energy Limited<br><br>National Stock Exchange of India<br><br>Ticker: AIONJSW<br><br>ISIN: INE743C01021,2018-12-10 13:38:54,2018-09-14,2018-12-10
AJANTPHARM,Ajanta Pharma Limited,Historical prices for Ajanta Pharma Limited<br><br>National Stock Exchange of India<br><br>Ticker: AJANTPHARM<br><br>ISIN: INE031B01049,2018-12-10 13:38:54,2000-06-05,2018-12-10
AJMERA,Ajmera Realty & Infra India Limited,Historical prices for Ajmera Realty & Infra India Limited<br><br>National Stock Exchange of India<br><br>Ticker: AJMERA<br><br>ISIN: INE298G01027,2018-12-10 13:38:54,2009-06-23,2018-12-10
AKSHARCHEM,AksharChem India Limited,Historical prices for AksharChem India Limited<br><br>National Stock Exchange of India<br><br>Ticker: AKSHARCHEM<br><br>ISIN: INE542B01011,2018-12-10 13:38:54,2017-03-28,2018-12-10
AKSHOPTFBR,Aksh Optifibre Limited,Historical prices for Aksh Optifibre Limited<br><br>National Stock Exchange of India<br><br>Ticker: AKSHOPTFBR<br><br>ISIN: INE523B01011,2018-12-10 13:38:54,2000-08-23,2018-12-10
AKZOINDIA,Akzo Nobel India Limited,Historical prices for Akzo Nobel India Limited<br><br>National Stock Exchange of India<br><br>Ticker: AKZOINDIA<br><br>ISIN: INE133A01011,2018-12-10 13:38:54,2010-05-27,2018-12-10
ALANKIT,Alankit Limited,Historical prices for Alankit Limited<br><br>National Stock Exchange of India<br><br>Ticker: ALANKIT<br><br>ISIN: INE914E01040,2018-12-10 13:38:54,2015-06-30,2018-12-10
ALBERTDAVD,Albert David Limited,Historical prices for Albert David Limited<br><br>National Stock Exchange of India<br><br>Ticker: ALBERTDAVD<br><br>ISIN: INE155C01010,2018-12-10 13:38:54,2016-06-14,2018-12-10
ALBK,Allahabad Bank,Historical prices for Allahabad Bank<br><br>National Stock Exchange of India<br><br>Ticker: ALBK<br><br>ISIN: INE428A01015,2018-12-10 13:38:54,2002-11-29,2018-12-10
ALCHEM,Alchemist Limited,Historical prices for Alchemist Limited<br><br>National Stock Exchange of India<br><br>Ticker: ALCHEM<br><br>ISIN: INE964B01033,2018-12-10 13:38:54,2007-07-31,2018-12-10
ALEMBICLTD,Alembic Limited,Historical prices for Alembic Limited<br><br>National Stock Exchange of India<br><br>Ticker: ALEMBICLTD<br><br>ISIN: INE426A01027,2018-12-10 13:38:54,1999-09-22,2018-12-10
ALFALAVAL,Alfa Laval (India) Limited,"Historical prices for Alfa Laval (India) Limited (ALFALAVAL), (ISIN: INE427A01017), National Stock Eschange of India.",2017-02-09 18:28:55,1998-03-20,2012-04-11
ALICON,Alicon Castalloy Limited,Historical prices for Alicon Castalloy Limited<br><br>National Stock Exchange of India<br><br>Ticker: ALICON<br><br>ISIN: INE062D01024,2018-12-10 13:38:54,2011-03-07,2018-12-10
ALKALI,Alkali Metals Limited,Historical prices for Alkali Metals Limited<br><br>National Stock Exchange of India<br><br>Ticker: ALKALI<br><br>ISIN: INE773I01017,2018-12-10 13:38:54,2008-11-06,2018-12-10
ALKEM,Alkem Laboratories Limited,Historical prices for Alkem Laboratories Limited<br><br>National Stock Exchange of India<br><br>Ticker: ALKEM<br><br>ISIN: INE540L01014,2018-12-10 13:38:54,2015-12-23,2018-12-10
ALKYLAMINE,Alkyl Amines Chemicals Limited,Historical prices for Alkyl Amines Chemicals Limited<br><br>National Stock Exchange of India<br><br>Ticker: ALKYLAMINE<br><br>ISIN: INE150B01021,2018-12-10 13:38:54,1998-03-20,2018-12-10
ALLCARGO,Allcargo Logistics Limited,Historical prices for Allcargo Logistics Limited<br><br>National Stock Exchange of India<br><br>Ticker: ALLCARGO<br><br>ISIN: INE418H01029,2018-12-10 13:38:54,2006-06-23,2018-12-10
